outer_fold,session,channel,node_strength,diagonal_energy,off_diagonal_energy
2,0,C6,0.33296865202780607,0.54291952779045738,0.45708047220954218
2,0,CP5,0.22648292594099378,0.54291952779045738,0.45708047220954218
2,0,CP3,0.5008562323114486,0.54291952779045738,0.45708047220954218
2,0,CP1,0.44990552396168859,0.54291952779045738,0.45708047220954218
2,0,CPz,0.38965443054988297,0.54291952779045738,0.45708047220954218
2,0,CP2,0.40375696140528666,0.54291952779045738,0.45708047220954218
2,0,CP4,0.58785584225382514,0.54291952779045738,0.45708047220954218
2,0,CP6,0.28091189684234641,0.54291952779045738,0.45708047220954218
2,1,FC5,0.212263538890754,0.52817768233956086,0.47182231766043981
2,1,FC3,0.40314260380257527,0.52817768233956086,0.47182231766043981
2,1,FC1,0.53501694903042962,0.52817768233956086,0.47182231766043981
2,1,FC2,0.51129472259030262,0.52817768233956086,0.47182231766043981
2,1,FC4,0.47008137245421078,0.52817768233956086,0.47182231766043981
2,1,FC6,0.16632463440265138,0.52817768233956086,0.47182231766043981
2,1,C5,0.24243595702652496,0.52817768233956086,0.47182231766043981
2,1,C3,0.75035268249525477,0.52817768233956086,0.47182231766043981
2,1,C1,0.46524494641345421,0.52817768233956086,0.47182231766043981
2,1,Cz,0.44690089806734712,0.52817768233956086,0.47182231766043981
2,1,C2,0.53343319855552307,0.52817768233956086,0.47182231766043981
2,1,C4,0.93792374250962529,0.52817768233956086,0.47182231766043981
2,1,C6,0.27456751001593216,0.52817768233956086,0.47182231766043981
2,1,CP5,0.27629047417025498,0.52817768233956086,0.47182231766043981
2,1,CP3,0.49226207622627549,0.52817768233956086,0.47182231766043981
2,1,CP1,0.40558403890248401,0.52817768233956086,0.47182231766043981
2,1,CPz,0.42770252328157243,0.52817768233956086,0.47182231766043981
2,1,CP2,0.41411296825361477,0.52817768233956086,0.47182231766043981
2,1,CP4,0.60298333983767383,0.52817768233956086,0.47182231766043981
2,1,CP6,0.30441184887421985,0.52817768233956086,0.47182231766043981
3,0,FC5,0.22304504710453851,0.55347026556303092,0.44652973443697064
3,0,FC3,0.44175713143836326,0.55347026556303092,0.44652973443697064
3,0,FC1,0.51581226768089528,0.55347026556303092,0.44652973443697064
3,0,FC2,0.53255686334385188,0.55347026556303092,0.44652973443697064
