subject,session,outer_fold,trial_delta,beta,alpha,absolute_error,sign_agreement
35,0,4,0.06158426393666365,-0.14863702520386854,-0.61967150038565844,0.21022128914053217,False
35,1,4,-0.029574648525822644,-0.23897571393484152,-0.72236908932844224,0.20940106540901887,True
36,0,1,1.0146447634730571,0.79637503125713205,0.79284448243100414,0.21826973221592505,True
36,1,1,1.2912162973574413,1.0734976994404086,0.84296874264488131,0.21771859791703263,True
37,0,0,0.55464642895289262,0.33545385956521379,0.62298087038568839,0.21919256938767884,True
37,1,0,0.53178152348976326,0.30624714814764498,0.54132263608893982,0.22553437534211829,True
38,0,1,0.11241729204756137,-0.082142529470488626,-0.31967353970647283,0.19455982151805001,False
38,1,1,0.05634153427127192,-0.12443550239860758,-0.53415721694465412,0.18077703666987949,False
39,0,3,0.27701996765200282,0.068900935528256241,0.28010606390040632,0.20811903212374658,True
39,1,3,0.20283963165806257,0.0023944990281955479,0.0075616180405503539,0.20044513262986702,True
40,0,2,0.034416352774641445,-0.17963070561090771,-0.65299488242050008,0.21404705838554916,False
40,1,2,0.051620264925990103,-0.1633956999215064,-0.57447880614961544,0.21501596484749652,False
41,0,3,0.016669212407024882,-0.18201583271956706,-0.66921449989469017,0.19868504512659194,False
41,1,3,0.068102251547597109,-0.12604581896882927,-0.45581550520863512,0.19414807051642638,False
42,0,2,0.0848308262879022,-0.13143120699436334,-0.29718719732327914,0.21626203328226554,False
42,1,2,0.10068676877345301,-0.11636713209420121,-0.4048303448604969,0.21705390086765422,False
43,0,0,0.2290560010932271,0.022166461747862812,0.085715201224267512,0.2068895393453643,True
43,1,0,0.17417975158859744,-0.035851663586973781,-0.12708712575713635,0.21003141517557122,False
44,0,5,0.55405723377636606,0.32469585250726996,0.61741348100286697,0.22936138126909611,True
44,1,5,0.67727269097543319,0.44722178580100291,0.63857722425648322,0.23005090517443028,True
45,0,0,0.298425349730428,0.084210200851183234,0.14712838605074741,0.21421514887924475,True
45,1,0,0.44968599687501587,0.23228557821099666,0.58224374885603203,0.21740041866401921,True
46,0,0,0.191658757415546,-0.01399300935458074,-0.036862755063203613,0.20565176677012675,False
46,1,0,0.098900965868937374,-0.10998427688808282,-0.37275021468635355,0.2088852427570202,False
47,0,5,0.055309678511676494,-0.15900455729158577,-0.56328196433115085,0.21431423580326225,False
47,1,5,0.17891410223210771,-0.038482117956467214,-0.1175419646311458,0.21739622018857493,False
48,0,5,0.074969454751094761,-0.14032510244061636,-0.40856190294939476,0.21529455719171112,False
48,1,5,-0.0098895983941331908,-0.22042053163821546,-0.475392391706702,0.21053093324408226,True
49,0,1,0.13849250695694737,-0.058071792879868252,-0.20168786752974205,0.19656429983681561,False
49,1,1,0.13248917963411419,-0.050200034459977977,-0.20837011793334659,0.18268921409409217,False
50,0,2,0.0051396324000380703,-0.20877932976146757,-0.48741909410470113,0.21391896216150563,False
50,1,2,0.005457383231159272,-0.20841387643361567,-0.70841625515641415,0.21387125966477494,False
51,0,1,0.092240997664919805,-0.10346449235821978,-0.40768419863902461,0.19570549002313958,False
51,1,1,0.065178455329141197,-0.11577796869890652,-0.2977031615461434,0.18095642402804774,False
52,0,1,0.1840697153163886,-0.013067602840322885,-0.049456765160728555,0.19713731815671148,False
52,1,1,0.12264648764626612,-0.060457339409916773,-0.24551777172197428,0.18310382705618289,False
53,0,4,0.053643921718577514,-0.15780032471376687,-0.55776090580974458,0.21144424643234438,False
53,1,4,0.080589140691071787,-0.13277891432766784,-0.45021024557578881,0.21336805501873962,False
54,0,1,0.055981434521750834,-0.13714484176927144,-0.47711171964197446,0.19312627629102228,False
54,1,1,0.065470947300348192,-0.11571386982793977,-0.3259999244387608,0.18118481712828796,False
