dataset,direction,outer_fold,subject,method,balanced_accuracy,macro_f1,accuracy,nll,brier,ece10,recall_right_hand,recall_left_hand,recall_both_hand,recall_rest
stieger,chronological,1,19,LRCM,0.31436699857752493,0.31325915056656073,0.31333333333333335,1.3868145014977655,0.75142583755123615,0.073044494982611133,0.31578947368421051,0.15789473684210525,0.3783783783783784,0.40540540540540543
stieger,chronological,1,19,IDENTITY_RESIDUAL_CARRY,0.3662873399715505,0.36274078736658921,0.36666666666666664,1.3077775760654258,0.71190267146767605,0.056243303675571468,0.52631578947368418,0.26315789473684209,0.40540540540540543,0.27027027027027029
stieger,chronological,1,19,PAST_PROTOTYPE_DIRECT,0.33943812233285914,0.33396234380276935,0.34000000000000002,1.3126767677902667,0.71602409005251622,0.050182702214350082,0.52631578947368418,0.23684210526315788,0.24324324324324326,0.35135135135135137
stieger,chronological,1,19,POPULATION_ONLY,0.34086059743954478,0.34637105951974512,0.34000000000000002,1.4579916462225408,0.78106104249221719,0.1027258298214476,0.31578947368421051,0.23684210526315788,0.35135135135135137,0.45945945945945948
stieger,chronological,1,19,FULL_RIDGE_TRANSFER,0.33428165007112376,0.33758296033338475,0.33333333333333331,1.3690934403344666,0.74411633358242224,0.104551657457153,0.31578947368421051,0.21052631578947367,0.40540540540540543,0.40540540540540543
stieger,chronological,1,19,ENROLLMENT_PCA_TRANSFER,0.3077880512091038,0.30231958762886602,0.30666666666666664,1.4212494769006729,0.77008676372201779,0.14592695888796739,0.31578947368421051,0.13157894736842105,0.40540540540540543,0.3783783783783784
stieger,chronological,1,19,CLASS_INDEPENDENT_SUBJECT_OFFSET,0.34086059743954478,0.34637105951974512,0.34000000000000002,1.4579916462225408,0.78106104249221719,0.1027258298214476,0.31578947368421051,0.23684210526315788,0.35135135135135137,0.45945945945945948
stieger,chronological,1,22,LRCM,0.19434566145092461,0.17946530520698614,0.19333333333333333,1.4993219107625497,0.80070844813400432,0.16113977345498359,0.13157894736842105,0.13513513513513514,0.40540540540540543,0.10526315789473684
stieger,chronological,1,22,IDENTITY_RESIDUAL_CARRY,0.28680654338549072,0.27718880693936399,0.28666666666666668,1.520884148701662,0.80618393389125687,0.10450441767520374,0.13157894736842105,0.32432432432432434,0.27027027027027029,0.42105263157894735
stieger,chronological,1,22,PAST_PROTOTYPE_DIRECT,0.27293741109530584,0.24993547516989745,0.27333333333333332,1.4729406127528164,0.7906256290057736,0.13524177606584853,0.10526315789473684,0.35135135135135137,0.13513513513513514,0.5
stieger,chronological,1,22,POPULATION_ONLY,0.16073968705547653,0.15138982709394563,0.16,1.6748851374482596,0.87165445630819516,0.25013547104654699,0.10526315789473684,0.10810810810810811,0.32432432432432434,0.10526315789473684
stieger,chronological,1,22,FULL_RIDGE_TRANSFER,0.22795163584637271,0.21733808940041721,0.22666666666666666,1.4368418657138402,0.7729195313925582,0.10210771815719741,0.15789473684210525,0.29729729729729731,0.35135135135135137,0.10526315789473684
stieger,chronological,1,22,ENROLLMENT_PCA_TRANSFER,0.2409317211948791,0.21692652477588958,0.23999999999999999,1.4257585890222777,0.77166112541208542,0.09367509572130317,0,0.32432432432432434,0.29729729729729731,0.34210526315789475
stieger,chronological,1,22,CLASS_INDEPENDENT_SUBJECT_OFFSET,0.16073968705547653,0.15138982709394563,0.16,1.6748851374482596,0.87165445630819516,0.25013547104654699,0.10526315789473684,0.10810810810810811,0.32432432432432434,0.10526315789473684
stieger,chronological,1,33,LRCM,0.29907539118065435,0.29224036832732481,0.29999999999999999,1.4057700841252032,0.75515553628667809,0.073908233462740336,0.23684210526315788,0.24324324324324326,0.5,0.21621621621621623
stieger,chronological,1,33,IDENTITY_RESIDUAL_CARRY,0.18776671408250356,0.17437070938215105,0.18666666666666668,2.0413947766585943,1.0140790700919236,0.35609753965234248,0.052631578947368418,0.21621621621621623,0.15789473684210525,0.32432432432432434
stieger,chronological,1,33,PAST_PROTOTYPE_DIRECT,0.18705547652916074,0.18322623725437026,0.18666666666666668,2.2365392526685053,1.0531501281141395,0.37691975170404046,0.078947368421052627,0.16216216216216217,0.23684210526315788,0.27027027027027029
stieger,chronological,1,33,POPULATION_ONLY,0.36077524893314367,0.32952597535616829,0.35999999999999999,1.58644606928054,0.7902774675067965,0.15199646586527044,0.078947368421052627,0.24324324324324326,0.52631578947368418,0.59459459459459463
stieger,chronological,1,33,FULL_RIDGE_TRANSFER,0.1408250355618777,0.13580075473570732,0.14000000000000001,1.6056285221147137,0.85341227971867661,0.2743339265473137,0.078947368421052627,0.21621621621621623,0.078947368421052627,0.1891891891891892
stieger,chronological,1,33,ENROLLMENT_PCA_TRANSFER,0.14740398293029872,0.14313356921716053,0.14666666666666667,1.6856923781856168,0.87070707867223973,0.27828380283586351,0.078947368421052627,0.24324324324324326,0.10526315789473684,0.16216216216216217
stieger,chronological,1,33,CLASS_INDEPENDENT_SUBJECT_OFFSET,0.36077524893314367,0.32952597535616829,0.35999999999999999,1.58644606928054,0.7902774675067965,0.15199646586527044,0.078947368421052627,0.24324324324324326,0.52631578947368418,0.59459459459459463
stieger,chronological,1,34,LRCM,0.32244744744744747,0.30511442155106017,0.32432432432432434,1.824085000831619,0.82918746014016553,0.19184997495891098,0.13513513513513514,0.22222222222222221,0.5,0.43243243243243246
stieger,chronological,1,34,IDENTITY_RESIDUAL_CARRY,0.28884147305199936,0.27209685156113728,0.29054054054054052,2.6240471089906428,0.92968428834283345,0.30316682374093418,0.10810810810810811,0.22222222222222221,0.47368421052631576,0.35135135135135137
stieger,chronological,1,34,PAST_PROTOTYPE_DIRECT,0.29578591749644378,0.27960472102361256,0.29729729729729731,2.4507973275398509,0.90891714646393806,0.26474524007182831,0.10810810810810811,0.25,0.47368421052631576,0.35135135135135137
stieger,chronological,1,34,POPULATION_ONLY,0.30288841473051997,0.28953686608641138,0.30405405405405406,1.667499221721372,0.80064210291030002,0.15828846899208343,0.13513513513513514,0.22222222222222221,0.39473684210526316,0.45945945945945948
stieger,chronological,1,34,FULL_RIDGE_TRANSFER,0.31531531531531531,0.29772285683783495,0.31756756756756754,1.7479106157351709,0.81920209873861594,0.1783124172765872,0.16216216216216217,0.16666666666666666,0.5,0.43243243243243246
stieger,chronological,1,34,ENROLLMENT_PCA_TRANSFER,0.30837087087087089,0.29210638921592269,0.3108108108108108,2.0181680536144726,0.86234262233499481,0.21203807475816519,0.1891891891891892,0.1388888888888889,0.5,0.40540540540540543
stieger,chronological,1,34,CLASS_INDEPENDENT_SUBJECT_OFFSET,0.30288841473051997,0.28953686608641138,0.30405405405405406,1.667499221721372,0.80064210291030002,0.15828846899208343,0.13513513513513514,0.22222222222222221,0.39473684210526316,0.45945945945945948
stieger,chronological,1,44,LRCM,0.30809427848901533,0.27376847290640394,0.3087248322147651,1.5073777916707634,0.78474605784247276,0.18554511795463657,0.10810810810810811,0.13157894736842105,0.3611111111111111,0.63157894736842102
stieger,chronological,1,44,IDENTITY_RESIDUAL_CARRY,0.26142919235024498,0.25199456868398085,0.26174496644295303,2.0396323247680845,0.9327196088145171,0.31749641461286177,0.45945945945945948,0.23684210526315788,0.1388888888888889,0.21052631578947367
stieger,chronological,1,44,PAST_PROTOTYPE_DIRECT,0.25411925082977715,0.23967352092352093,0.25503355704697989,1.9763113863075676,0.92985402848322662,0.30819730564143877,0.45945945945945948,0.23684210526315788,0.083333333333333329,0.23684210526315788
