dataset,direction,outer_fold,subject,method,balanced_accuracy,macro_f1,accuracy,nll,brier,ece10,recall_left_hand,recall_right_hand
openbmi,chronological,0,43,POPULATION_ONLY,0.79000000000000004,0.78981082974677208,0.79000000000000004,0.6007394765411509,0.40989808754669793,0.22199642256977109,0.81999999999999995,0.76000000000000001
openbmi,chronological,0,43,FULL_RIDGE_TRANSFER,0.79000000000000004,0.78981082974677208,0.79000000000000004,0.60047787656116847,0.40964868466260507,0.22188914114967384,0.81999999999999995,0.76000000000000001
openbmi,chronological,0,43,ENROLLMENT_PCA_TRANSFER,0.79000000000000004,0.78981082974677208,0.79000000000000004,0.60031322318888458,0.40949704947512694,0.22177260642850585,0.81999999999999995,0.76000000000000001
openbmi,chronological,0,43,CLASS_INDEPENDENT_SUBJECT_OFFSET,0.79000000000000004,0.78981082974677208,0.79000000000000004,0.6007394765411509,0.40989808754669793,0.22199642256977109,0.81999999999999995,0.76000000000000001
openbmi,chronological,0,45,LRCM,0.8899999999999999,0.88945834589488493,0.89000000000000001,0.49452183318739168,0.31097460402748867,0.26426927684523094,0.95999999999999996,0.81999999999999995
openbmi,chronological,0,45,IDENTITY_RESIDUAL_CARRY,0.71999999999999997,0.71999999999999997,0.71999999999999997,0.56738690841044981,0.36703978155555994,0.065658647792090435,0.71999999999999997,0.71999999999999997
openbmi,chronological,0,45,PAST_PROTOTYPE_DIRECT,0.71999999999999997,0.71999999999999997,0.71999999999999997,0.59492455406733813,0.38329635043011656,0.067281028841758808,0.71999999999999997,0.71999999999999997
openbmi,chronological,0,45,POPULATION_ONLY,0.8899999999999999,0.88945834589488493,0.89000000000000001,0.49844156966573633,0.31445803167420749,0.26670912540627278,0.95999999999999996,0.81999999999999995
openbmi,chronological,0,45,FULL_RIDGE_TRANSFER,0.8899999999999999,0.88945834589488493,0.89000000000000001,0.49443634726601515,0.31093360340677212,0.26408965523741024,0.95999999999999996,0.81999999999999995
openbmi,chronological,0,45,ENROLLMENT_PCA_TRANSFER,0.8899999999999999,0.88945834589488493,0.89000000000000001,0.49450413038481078,0.31098796587433708,0.26414779664908689,0.95999999999999996,0.81999999999999995
openbmi,chronological,0,45,CLASS_INDEPENDENT_SUBJECT_OFFSET,0.8899999999999999,0.88945834589488493,0.89000000000000001,0.49844156966573633,0.31445803167420749,0.26670912540627278,0.95999999999999996,0.81999999999999995
openbmi,chronological,0,46,LRCM,0.66999999999999993,0.6697027324592133,0.67000000000000004,0.63455385041899792,0.44254755083288799,0.078224263546747635,0.64000000000000001,0.69999999999999996
