dataset,direction,outer_fold,subject,method,balanced_accuracy,macro_f1,accuracy,nll,brier,ece10,recall_right_hand,recall_left_hand,recall_both_hand,recall_rest
stieger,chronological,0,11,ENROLLMENT_PCA_TRANSFER,0.27471550497866293,0.26325112648160798,0.27333333333333332,1.5820059186920743,0.81294819670538021,0.15536471497202681,0.052631578947368397,0.3783783783783784,0.28947368421052633,0.3783783783783784
stieger,chronological,0,11,CLASS_INDEPENDENT_SUBJECT_OFFSET,0.33250355618776672,0.27151098901098902,0.33333333333333331,1.4693460826346778,0.79571377077265881,0.1090395286498516,0.13157894736842099,0.027027027027027001,0.65789473684210531,0.51351351351351338
stieger,chronological,0,15,LRCM,0.29089615931721191,0.25850340136054423,0.29054054054054052,1.7677402229472221,0.83512340250972483,0.23376415375710011,0.1081081081081081,0.1081081081081081,0.5,0.44736842105263153
stieger,chronological,0,15,IDENTITY_RESIDUAL_CARRY,0.4057215109846688,0.40849201489128001,0.40540540540540537,1.6087804043161411,0.7820486734459019,0.084501097268890796,0.40540540540540537,0.48648648648648651,0.3888888888888889,0.34210526315789469
stieger,chronological,0,15,PAST_PROTOTYPE_DIRECT,0.3667911332385016,0.34807741589089758,0.3648648648648648,1.6859212128040444,0.81104616346409386,0.1520181373751838,0.32432432432432429,0.59459459459459463,0.41666666666666657,0.13157894736842099
stieger,chronological,0,15,POPULATION_ONLY,0.3044096728307254,0.27839861192001553,0.304054054054054,1.5929795268616809,0.79700680209845765,0.1619300837133415,0.16216216216216209,0.1081081081081081,0.5,0.44736842105263153
stieger,chronological,0,15,FULL_RIDGE_TRANSFER,0.33852931879247661,0.33726321107305529,0.33783783783783777,1.8028100794372459,0.83705146084181714,0.15153346518156741,0.1891891891891892,0.3783783783783784,0.44444444444444442,0.34210526315789469
stieger,chronological,0,15,ENROLLMENT_PCA_TRANSFER,0.3723328591749645,0.37029877617088108,0.3716216216216216,1.7204289140448761,0.82189810680822917,0.15948710610134809,0.1891891891891892,0.40540540540540537,0.5,0.39473684210526311
stieger,chronological,0,15,CLASS_INDEPENDENT_SUBJECT_OFFSET,0.3044096728307254,0.27839861192001553,0.304054054054054,1.5929795268616809,0.79700680209845765,0.1619300837133415,0.16216216216216209,0.1081081081081081,0.5,0.44736842105263153
stieger,chronological,0,26,LRCM,0.3995376955903272,0.3840231017582641,0.40000000000000002,1.6560493450886944,0.79763388154846382,0.24121154413253151,0.1891891891891892,0.28947368421052633,0.57894736842105265,0.54054054054054046
stieger,chronological,0,26,IDENTITY_RESIDUAL_CARRY,0.51315789473684215,0.51552527987026575,0.51333333333333331,1.2862685562077718,0.67480083622990505,0.20437694763521591,0.40540540540540537,0.44736842105263153,0.60526315789473684,0.59459459459459463
stieger,chronological,0,26,PAST_PROTOTYPE_DIRECT,0.52009246088193462,0.52335984257090806,0.52000000000000002,1.1934209829720503,0.64426213554752032,0.17280237233519999,0.45945945945945937,0.42105263157894729,0.60526315789473684,0.59459459459459463
stieger,chronological,0,26,POPULATION_ONLY,0.42638691322901839,0.40956354365067371,0.42666666666666658,1.2770742252276579,0.69981867037127787,0.1217058991097198,0.1891891891891892,0.31578947368421051,0.57894736842105265,0.6216216216216216
stieger,chronological,0,26,FULL_RIDGE_TRANSFER,0.50640113798008535,0.50493775292922105,0.50666666666666671,1.6061099032110713,0.7329494486725362,0.16676518574940641,0.35135135135135132,0.39473684210526311,0.65789473684210531,0.6216216216216216
