outer_fold,method,rank,ridge_lambda,temperature,mean_balanced_accuracy,fold_scores
0,LRCM,2,10,0.050000000000000003,0.68133333333333324,0.65333333333333332|0.67000000000000004|0.68777777777777771|0.71444444444444444|0.68111111111111122
0,LRCM,2,10,0.10000000000000001,0.68133333333333324,0.65333333333333332|0.67000000000000004|0.68777777777777771|0.71444444444444444|0.68111111111111122
0,LRCM,2,10,0.20000000000000001,0.68133333333333324,0.65333333333333332|0.67000000000000004|0.68777777777777771|0.71444444444444444|0.68111111111111122
0,LRCM,2,10,0.5,0.68133333333333324,0.65333333333333332|0.67000000000000004|0.68777777777777771|0.71444444444444444|0.68111111111111122
0,LRCM,2,10,1,0.68133333333333324,0.65333333333333332|0.67000000000000004|0.68777777777777771|0.71444444444444444|0.68111111111111122
0,LRCM,2,10,2,0.68133333333333324,0.65333333333333332|0.67000000000000004|0.68777777777777771|0.71444444444444444|0.68111111111111122
0,LRCM,2,10,5,0.68133333333333324,0.65333333333333332|0.67000000000000004|0.68777777777777771|0.71444444444444444|0.68111111111111122
0,LRCM,2,100,0.050000000000000003,0.69244444444444442,0.65888888888888886|0.70111111111111113|0.70444444444444443|0.71111111111111114|0.68666666666666665
0,LRCM,2,100,0.10000000000000001,0.69244444444444442,0.65888888888888886|0.70111111111111113|0.70444444444444443|0.71111111111111114|0.68666666666666665
0,LRCM,2,100,0.20000000000000001,0.69244444444444442,0.65888888888888886|0.70111111111111113|0.70444444444444443|0.71111111111111114|0.68666666666666665
0,LRCM,2,100,0.5,0.69244444444444442,0.65888888888888886|0.70111111111111113|0.70444444444444443|0.71111111111111114|0.68666666666666665
0,LRCM,2,100,1,0.69244444444444442,0.65888888888888886|0.70111111111111113|0.70444444444444443|0.71111111111111114|0.68666666666666665
0,LRCM,2,100,2,0.69244444444444442,0.65888888888888886|0.70111111111111113|0.70444444444444443|0.71111111111111114|0.68666666666666665
0,LRCM,2,100,5,0.69244444444444442,0.65888888888888886|0.70111111111111113|0.70444444444444443|0.71111111111111114|0.68666666666666665
0,LRCM,3,1.0000000000000001e-05,0.050000000000000003,0.66488888888888886,0.63|0.65777777777777779|0.66555555555555568|0.67222222222222217|0.69888888888888889
0,LRCM,3,1.0000000000000001e-05,0.10000000000000001,0.66488888888888886,0.63|0.65777777777777779|0.66555555555555568|0.67222222222222217|0.69888888888888889
0,LRCM,3,1.0000000000000001e-05,0.20000000000000001,0.66488888888888886,0.63|0.65777777777777779|0.66555555555555568|0.67222222222222217|0.69888888888888889
0,LRCM,3,1.0000000000000001e-05,0.5,0.66488888888888886,0.63|0.65777777777777779|0.66555555555555568|0.67222222222222217|0.69888888888888889
0,LRCM,3,1.0000000000000001e-05,1,0.66488888888888886,0.63|0.65777777777777779|0.66555555555555568|0.67222222222222217|0.69888888888888889
0,LRCM,3,1.0000000000000001e-05,2,0.66488888888888886,0.63|0.65777777777777779|0.66555555555555568|0.67222222222222217|0.69888888888888889
0,LRCM,3,1.0000000000000001e-05,5,0.66488888888888886,0.63|0.65777777777777779|0.66555555555555568|0.67222222222222217|0.69888888888888889
0,LRCM,3,0.0001,0.050000000000000003,0.66488888888888886,0.63|0.65777777777777779|0.66555555555555568|0.67222222222222217|0.69888888888888889
0,LRCM,3,0.0001,0.10000000000000001,0.66488888888888886,0.63|0.65777777777777779|0.66555555555555568|0.67222222222222217|0.69888888888888889
0,LRCM,3,0.0001,0.20000000000000001,0.66488888888888886,0.63|0.65777777777777779|0.66555555555555568|0.67222222222222217|0.69888888888888889
0,LRCM,3,0.0001,0.5,0.66488888888888886,0.63|0.65777777777777779|0.66555555555555568|0.67222222222222217|0.69888888888888889
0,LRCM,3,0.0001,1,0.66488888888888886,0.63|0.65777777777777779|0.66555555555555568|0.67222222222222217|0.69888888888888889
0,LRCM,3,0.0001,2,0.66488888888888886,0.63|0.65777777777777779|0.66555555555555568|0.67222222222222217|0.69888888888888889
0,LRCM,3,0.0001,5,0.66488888888888886,0.63|0.65777777777777779|0.66555555555555568|0.67222222222222217|0.69888888888888889
0,LRCM,3,0.001,0.050000000000000003,0.6637777777777778,0.62666666666666671|0.65888888888888886|0.66222222222222227|0.67555555555555558|0.69555555555555548
0,LRCM,3,0.001,0.10000000000000001,0.6637777777777778,0.62666666666666671|0.65888888888888886|0.66222222222222227|0.67555555555555558|0.69555555555555548
0,LRCM,3,0.001,0.20000000000000001,0.6637777777777778,0.62666666666666671|0.65888888888888886|0.66222222222222227|0.67555555555555558|0.69555555555555548
0,LRCM,3,0.001,0.5,0.6637777777777778,0.62666666666666671|0.65888888888888886|0.66222222222222227|0.67555555555555558|0.69555555555555548
0,LRCM,3,0.001,1,0.6637777777777778,0.62666666666666671|0.65888888888888886|0.66222222222222227|0.67555555555555558|0.69555555555555548
0,LRCM,3,0.001,2,0.6637777777777778,0.62666666666666671|0.65888888888888886|0.66222222222222227|0.67555555555555558|0.69555555555555548
0,LRCM,3,0.001,5,0.6637777777777778,0.62666666666666671|0.65888888888888886|0.66222222222222227|0.67555555555555558|0.69555555555555548
0,LRCM,3,0.01,0.050000000000000003,0.66800000000000004,0.64000000000000001|0.65888888888888886|0.66555555555555557|0.68222222222222229|0.69333333333333336
0,LRCM,3,0.01,0.10000000000000001,0.66800000000000004,0.64000000000000001|0.65888888888888886|0.66555555555555557|0.68222222222222229|0.69333333333333336
0,LRCM,3,0.01,0.20000000000000001,0.66800000000000004,0.64000000000000001|0.65888888888888886|0.66555555555555557|0.68222222222222229|0.69333333333333336
0,LRCM,3,0.01,0.5,0.66800000000000004,0.64000000000000001|0.65888888888888886|0.66555555555555557|0.68222222222222229|0.69333333333333336
0,LRCM,3,0.01,1,0.66800000000000004,0.64000000000000001|0.65888888888888886|0.66555555555555557|0.68222222222222229|0.69333333333333336
0,LRCM,3,0.01,2,0.66800000000000004,0.64000000000000001|0.65888888888888886|0.66555555555555557|0.68222222222222229|0.69333333333333336
0,LRCM,3,0.01,5,0.66800000000000004,0.64000000000000001|0.65888888888888886|0.66555555555555557|0.68222222222222229|0.69333333333333336
0,LRCM,3,0.10000000000000001,0.050000000000000003,0.6744444444444444,0.64444444444444449|0.66111111111111098|0.69999999999999996|0.69777777777777783|0.66888888888888887
0,LRCM,3,0.10000000000000001,0.10000000000000001,0.6744444444444444,0.64444444444444449|0.66111111111111098|0.69999999999999996|0.69777777777777783|0.66888888888888887
0,LRCM,3,0.10000000000000001,0.20000000000000001,0.6744444444444444,0.64444444444444449|0.66111111111111098|0.69999999999999996|0.69777777777777783|0.66888888888888887
