dataset,subject,K_per_class,draws,expected_balanced_accuracy,expected_macro_f1,balanced_accuracy_draw_sd
stieger,52,1,200,0.5637292471042471,0.5387902102881259,0.096481432625974292
stieger,52,2,200,0.61205316293183942,0.59550101902732222,0.082088657583709271
stieger,52,4,200,0.66122625612745101,0.64855211076449126,0.049710729991106525
stieger,52,8,200,0.68810981116584569,0.67925692013535266,0.040623506001678432
stieger,52,16,200,0.71031331168831169,0.70208481227931718,0.044506341035959074
stieger,52,FULL_ORACLE,1,0.7670400663821717,0.76886189258312021,0
stieger,53,1,200,0.33045945945945943,0.30741341549359569,0.061540871223196986
stieger,53,2,200,0.36060866013071896,0.34297223909496843,0.054556909793038837
stieger,53,4,200,0.40139246323529404,0.39258734449191524,0.044728247766514059
stieger,53,8,200,0.4427023809523809,0.43769058319130122,0.043484523476155168
stieger,53,16,200,0.46559090909090906,0.45950001394260298,0.047978568998924068
stieger,53,FULL_ORACLE,1,0.61842105263157898,0.61830914183855357,0
stieger,54,1,200,0.27846096096096096,0.25152074967618709,0.039680572297844108
stieger,54,2,200,0.28176388888888887,0.25900335248555012,0.042338036411169684
stieger,54,4,200,0.2892112299465241,0.26376151239263462,0.049585827282597479
stieger,54,8,200,0.29519540229885061,0.26177977386981499,0.046626815479418174
stieger,54,16,200,0.30425054112554117,0.268673114041932,0.048947791853133131
stieger,54,FULL_ORACLE,1,0.46443812233285919,0.45508389460002363,0
stieger,55,1,200,0.27784199377949376,0.25460220001595951,0.044546795405590776
stieger,55,2,200,0.27983099906629316,0.26025393727407786,0.042759561616864152
stieger,55,4,200,0.29239924520944738,0.27439890400521461,0.041094944117817382
stieger,55,8,200,0.31086412151067322,0.29181808395937542,0.035059501636585562
stieger,55,16,200,0.31577083333333328,0.29325915720325768,0.041431089325436987
stieger,55,FULL_ORACLE,1,0.40613639955745218,0.38275847796595897,0
stieger,56,1,200,0.28876994851994853,0.26132659042420159,0.05488351872134134
