protocol_version,protocol_sha256,config_sha256,code_commit,phase,session,status,geometry,object,stage,subject,influence,subject_score,subject_effect,discovery_subject_effect,confirmatory_subject_effect,discovery_confirmatory_effect_delta,airm_minus_le_subject_effect_delta
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,G,R,5,0.004602718261172867,0.9387504052696184,0.00538711013551707,-0.0412839910815328,0.00538711013551707,0.04667110121704987,-0.006685293104474299
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,G,R,6,0.004602718261172867,0.8646922710200485,-0.04429840642952099,-0.03743819063138143,-0.04429840642952099,-0.006860215798139557,-0.0017164086566474612
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,G,R,7,-0.0008041585551765706,0.9730239362285069,0.05809208206640992,0.06527336037330755,0.05809208206640992,-0.007181278306897632,-0.022161002464612167
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,G,R,8,-0.005406876816349437,0.9984944174758994,0.10677789862053255,0.0630513868089182,0.10677789862053255,0.043726511811614355,-0.031145917069645312
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,G,R,9,-0.005406876816349437,0.9993799390504476,0.18669852783706864,0.0673188500673011,0.18669852783706864,0.11937967776976754,-0.04572906406759991
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,G,S,1,-0.007916085848147736,0.8539307749567935,0.20956966189328596,0.22401975485427628,0.20956966189328596,-0.014450092960990313,-0.015824118982120106
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,G,S,2,0.00445390986600569,0.7686541997584051,-0.08702179507710484,-0.1520481971598462,-0.08702179507710484,0.06502640208274135,-0.0030700251910933396
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,G,S,3,-0.012369995714153426,0.9349501273085833,0.18851311074722366,0.1681494044351468,0.18851311074722366,0.020363706312076846,-0.028333058252043797
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,G,S,4,-0.012369995714153426,0.862838594688805,0.21955370645411398,0.08212042665360075,0.21955370645411398,0.13743327980051323,-0.012287336729391196
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,G,S,5,-0.012369995714153426,0.9297552115745108,0.05027212874121856,0.0826406512556409,0.05027212874121856,-0.03236852251442235,0.003366156433088685
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,G,S,6,0.00445390986600569,0.7283172721063047,-0.0798032525246235,0.05392974459002409,-0.0798032525246235,-0.1337329971146476,-0.005197822726896062
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,G,S,7,-0.012369995714153426,0.9728670323527118,0.23050185202752882,0.25360487497065165,0.23050185202752882,-0.02310302294312283,-0.02282873671183072
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,G,S,8,0.00445390986600569,0.8278400844106028,0.05878286936895627,0.034442670745756354,0.05878286936895627,0.024340198623199916,-0.011001699035244061
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,G,S,9,0.00445390986600569,0.8291907835284866,0.16047054075000866,0.18492398370306218,0.16047054075000866,-0.024453442953053517,-0.021315251416799907
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,LE,D,R,1,0.0005156268101546013,0.9837692576217996,0.01103906798692822,0.017166169165326206,0.01103906798692822,-0.006127101178397987,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,LE,D,R,2,0.0005156268101546013,0.9778696519371483,0.0098182974954798,0.0024592580891892313,0.0098182974954798,0.007359039406290568,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,LE,D,R,3,-8.37829252965383e-05,0.9951529512520403,0.013508028766196167,0.01772522503102214,0.013508028766196167,-0.004217196264825973,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,LE,D,R,4,-8.37829252965383e-05,0.9968137886456903,0.012529770426223719,-0.016532953639059045,0.012529770426223719,0.029062724065282763,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,LE,D,R,5,0.0005156268101546013,0.993954131781138,0.002655815800523098,-0.007528790580931144,0.002655815800523098,0.010184606381454242,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,LE,D,R,6,0.0005156268101546013,0.9790659403714895,-0.008417024089479197,-0.006071618626598996,-0.008417024089479197,-0.0023454054628802012,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,LE,D,R,7,0.00043184388485817404,0.994121697631731,0.006722067559056799,0.007410880829215483,0.006722067559056799,-0.0006888132701586835,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,LE,D,R,8,-8.37829252965383e-05,0.9996472735175135,0.016058751509409608,0.0067216094235234,0.016058751509409608,0.009337142085886208,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,LE,D,R,9,-8.37829252965383e-05,0.9998100976302807,0.03034774615497593,0.003949549007223885,0.03034774615497593,0.026398197147752045,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,LE,D,S,1,0.0012881611892592293,0.9541809005565516,0.032160258958390475,0.03544965378986087,0.032160258958390475,-0.0032893948314703936,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,LE,D,S,2,0.001011324201910524,0.962312038621508,-0.013006309132726601,-0.030791524844145268,-0.013006309132726601,0.017785215711418667,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,LE,D,S,3,-0.0002768369873487053,0.9882823806668359,0.0263145736013084,0.024021550648797962,0.0263145736013084,0.0022930229525104373,
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,LE,D,S,4,0.0012881611892592293,0.9617583646468107,0.033641798477193396,0.005033729293810629,0.033641798477193396,0.028608069183382767,
