target,source,train_session,test_session,direction_index,direction,heldout_class,heldout_index,raw_error,action_error,gain,D_eq,D_split,D_threshold,identifiability
2,6,0train,1test,0,0train->1test,tongue,3,1.646211136164306,1.4813914498690341,0.16481968629527177,0.0,1.6005697440871827,1.6005697440871827,PREDICTIVELY_IDENTIFIABLE
2,6,1test,0train,1,1test->0train,left_hand,0,2.3483652303193354,2.184147762411791,0.16421746790754455,0.0,1.1150837593102279,1.1150837593102279,PREDICTIVELY_IDENTIFIABLE
2,6,1test,0train,1,1test->0train,right_hand,1,1.748805322145166,1.7290983679944931,0.019706954150672917,0.0,1.5036272495168217,1.5036272495168217,PREDICTIVELY_IDENTIFIABLE
2,6,1test,0train,1,1test->0train,feet,2,0.8738928254854905,0.6896845056710806,0.18420831981440988,0.0,1.2240847159419705,1.2240847159419705,PREDICTIVELY_IDENTIFIABLE
2,6,1test,0train,1,1test->0train,tongue,3,1.9512682639257206,2.3342963224437483,-0.3830280585180277,0.0,1.4108717840924176,1.4108717840924176,PREDICTIVELY_IDENTIFIABLE
2,7,0train,1test,0,0train->1test,left_hand,0,6.124012243130039,4.637355817504777,1.4866564256252621,0.0,1.1618666768334607,1.1618666768334607,PREDICTIVELY_IDENTIFIABLE
2,7,0train,1test,0,0train->1test,right_hand,1,5.897161388948896,3.5963392382416304,2.3008221507072655,0.0,1.1746752502594655,1.1746752502594655,PREDICTIVELY_IDENTIFIABLE
2,7,0train,1test,0,0train->1test,feet,2,3.0571104949259547,1.6590236537449476,1.398086841181007,0.0,1.3088611557637977,1.3088611557637977,PREDICTIVELY_IDENTIFIABLE
2,7,0train,1test,0,0train->1test,tongue,3,6.931704522736081,6.708279102556333,0.22342542017974765,0.0,0.7701649412243702,0.7701649412243702,PREDICTIVELY_IDENTIFIABLE
2,7,1test,0train,1,1test->0train,left_hand,0,5.969375937918215,4.041532403013578,1.9278435349046372,0.0,1.0021294246453185,1.0021294246453185,PREDICTIVELY_IDENTIFIABLE
2,7,1test,0train,1,1test->0train,right_hand,1,4.187397642596183,2.1789064111843754,2.0084912314118077,0.0,1.025296966271141,1.025296966271141,PREDICTIVELY_IDENTIFIABLE
2,7,1test,0train,1,1test->0train,feet,2,2.2338652102667598,1.1928019475878435,1.0410632626789162,0.0,1.2469277645510586,1.2469277645510586,PREDICTIVELY_IDENTIFIABLE
2,7,1test,0train,1,1test->0train,tongue,3,7.669306559918685,7.312452456386329,0.35685410353235625,0.0,0.9954568769021171,0.9954568769021171,PREDICTIVELY_IDENTIFIABLE
2,8,0train,1test,0,0train->1test,left_hand,0,8.246094370725675,9.000812970780778,-0.7547186000551029,0.0,1.0757892291901074,1.0757892291901074,PREDICTIVELY_IDENTIFIABLE
2,8,0train,1test,0,0train->1test,right_hand,1,4.470231213501403,6.006905881792851,-1.5366746682914476,0.0,1.3398417576696222,1.3398417576696222,PREDICTIVELY_IDENTIFIABLE
2,8,0train,1test,0,0train->1test,feet,2,2.115668057497331,1.7143575355417005,0.40131052195563033,0.0,1.4588621989727455,1.4588621989727455,PREDICTIVELY_IDENTIFIABLE
2,8,0train,1test,0,0train->1test,tongue,3,8.317510025328536,8.04030701855728,0.27720300677125564,0.0,0.9818836809270846,0.9818836809270846,PREDICTIVELY_IDENTIFIABLE
2,8,1test,0train,1,1test->0train,left_hand,0,5.833724092486758,6.73320790023978,-0.8994838077530218,0.0,1.249143782549136,1.249143782549136,PREDICTIVELY_IDENTIFIABLE
2,8,1test,0train,1,1test->0train,right_hand,1,4.059383110755651,4.5787046052782285,-0.5193214945225773,0.0,1.2291684561787917,1.2291684561787917,PREDICTIVELY_IDENTIFIABLE
2,8,1test,0train,1,1test->0train,feet,2,2.285133681134965,1.7347003528658496,0.5504333282691154,0.0,1.3762387670411607,1.3762387670411607,PREDICTIVELY_IDENTIFIABLE
2,8,1test,0train,1,1test->0train,tongue,3,11.25302125205528,12.405093641219189,-1.1520723891639086,0.0,0.8663525522462948,0.8663525522462948,PREDICTIVELY_IDENTIFIABLE
2,9,0train,1test,0,0train->1test,left_hand,0,39.9514823248579,38.725426454954224,1.226055869903675,0.0,0.8008848971508418,0.8008848971508418,PREDICTIVELY_IDENTIFIABLE
2,9,0train,1test,0,0train->1test,right_hand,1,3.7068574638006884,4.9934123037536935,-1.2865548399530051,0.0,1.6592765486760213,1.6592765486760213,PREDICTIVELY_IDENTIFIABLE
2,9,0train,1test,0,0train->1test,feet,2,4.78295174415235,3.0703377377082055,1.7126140064441446,0.0,1.4265273821021696,1.4265273821021696,PREDICTIVELY_IDENTIFIABLE
2,9,0train,1test,0,0train->1test,tongue,3,20.497567541476865,20.40028667088215,0.0972808705947159,0.0,0.7537947734881829,0.7537947734881829,PREDICTIVELY_IDENTIFIABLE
2,9,1test,0train,1,1test->0train,left_hand,0,8.539243341016778,8.00264082391177,0.536602517105008,0.0,1.00417150012669,1.00417150012669,PREDICTIVELY_IDENTIFIABLE
