target,source,train_session,test_session,heldout_class,permutation_index,gain
2,1,1test,0train,right_hand,2,0.5738405717188186
2,1,1test,0train,right_hand,3,1.4074920174089325
2,1,1test,0train,right_hand,4,0.9263637212767453
2,1,1test,0train,feet,0,0.4735699521273271
2,1,1test,0train,feet,1,0.5973173984499998
2,1,1test,0train,feet,2,0.34624311598559143
2,1,1test,0train,feet,3,0.43100562720445756
2,1,1test,0train,feet,4,0.5516351399507287
2,1,1test,0train,tongue,0,0.047769820147937736
2,1,1test,0train,tongue,1,0.19006561060068705
2,1,1test,0train,tongue,2,1.4340730884397743
2,1,1test,0train,tongue,3,0.25986768661628545
2,1,1test,0train,tongue,4,1.891651668997783
2,3,0train,1test,left_hand,0,0.9075031805650315
2,3,0train,1test,left_hand,1,0.49171223687930876
2,3,0train,1test,left_hand,2,0.19435333482073425
2,3,0train,1test,left_hand,3,0.957855746862375
2,3,0train,1test,left_hand,4,0.3776360357481998
2,3,0train,1test,right_hand,0,1.984323750388187
2,3,0train,1test,right_hand,1,1.2104122870076068
2,3,0train,1test,right_hand,2,-0.019399388678797536
2,3,0train,1test,right_hand,3,0.48771677216493003
2,3,0train,1test,right_hand,4,0.2014041622465399
2,3,0train,1test,feet,0,0.7590914842370695
2,3,0train,1test,feet,1,0.536422899858729
2,3,0train,1test,feet,2,0.5189189354957198
2,3,0train,1test,feet,3,0.8154640699874116
2,3,0train,1test,feet,4,0.6341011318028129
2,3,0train,1test,tongue,0,-0.0710923427151382
2,3,0train,1test,tongue,1,0.02437262565549858
2,3,0train,1test,tongue,2,-0.23216055748841846
2,3,0train,1test,tongue,3,0.010999818376852488
2,3,0train,1test,tongue,4,0.26688234463724747
2,3,1test,0train,left_hand,0,1.3521332674568018
2,3,1test,0train,left_hand,1,1.0489994634798734
2,3,1test,0train,left_hand,2,0.34667702520366106
2,3,1test,0train,left_hand,3,0.7551654965549943
2,3,1test,0train,left_hand,4,0.3280451573650147
2,3,1test,0train,right_hand,0,2.188435495988635
2,3,1test,0train,right_hand,1,1.7109404040008478
2,3,1test,0train,right_hand,2,1.0044319974093128
2,3,1test,0train,right_hand,3,1.330728716260186
2,3,1test,0train,right_hand,4,0.9624966248662652
2,3,1test,0train,feet,0,0.6890243599964285
2,3,1test,0train,feet,1,0.6956103211422433
2,3,1test,0train,feet,2,0.8155453983692241
2,3,1test,0train,feet,3,0.7200312831386668
2,3,1test,0train,feet,4,0.6133699947735622
2,3,1test,0train,tongue,0,0.10685234392863663
2,3,1test,0train,tongue,1,-0.12159009263248777
2,3,1test,0train,tongue,2,0.3068440912792578
2,3,1test,0train,tongue,3,-0.23603460134594734
2,3,1test,0train,tongue,4,0.3153749985673109
2,4,0train,1test,left_hand,0,0.0930914362890718
2,4,0train,1test,left_hand,1,-0.52333056418298
2,4,0train,1test,left_hand,2,-0.7022315921964708
2,4,0train,1test,left_hand,3,0.08494634280622293
2,4,0train,1test,left_hand,4,-0.5331196285468467
2,4,0train,1test,right_hand,0,-0.2511693176535599
2,4,0train,1test,right_hand,1,-0.8353546319376011
2,4,0train,1test,right_hand,2,-1.4894651470999372
2,4,0train,1test,right_hand,3,-0.748912081181238
2,4,0train,1test,right_hand,4,-1.2488687557092484
2,4,0train,1test,feet,0,0.3867038281866333
2,4,0train,1test,feet,1,-0.06086913142884809
2,4,0train,1test,feet,2,0.3161648870377225
2,4,0train,1test,feet,3,0.11063366154664456
2,4,0train,1test,feet,4,-0.03312228475182666
2,4,0train,1test,tongue,0,-0.16706261427234148
2,4,0train,1test,tongue,1,-0.38137309521333984
2,4,0train,1test,tongue,2,-0.12796293086000254
2,4,0train,1test,tongue,3,-0.327824160468956
2,4,0train,1test,tongue,4,-0.21564107901983576
2,4,1test,0train,left_hand,0,0.49322280644610084
2,4,1test,0train,left_hand,1,-0.3005820242737902
2,4,1test,0train,left_hand,2,-0.3509883644374756
2,4,1test,0train,left_hand,3,0.11165126549794135
2,4,1test,0train,left_hand,4,-0.2460314729534152
2,4,1test,0train,right_hand,0,0.14243836894452033
2,4,1test,0train,right_hand,1,-0.36380559583161
2,4,1test,0train,right_hand,2,-0.0032984380990399575
2,4,1test,0train,right_hand,3,-0.5482531596666815
2,4,1test,0train,right_hand,4,-0.05204843605148057
2,4,1test,0train,feet,0,0.28725476037671105
2,4,1test,0train,feet,1,0.1585362360383139
