target,source,session,session_index,heldout_class,heldout_index,permutation_index,permutation,raw_error,action_error,gain
8,2,0train,0,left_hand,0,4,2|1|0,0.9033414414823695,1.0692345346170997,-0.16589309313473022
8,2,0train,0,right_hand,1,0,0|2|1,1.0039122897834039,1.0914009028953677,-0.08748861311196388
8,2,0train,0,right_hand,1,1,1|0|2,1.0039122897834039,0.8011371732103225,0.20277511657308134
8,2,0train,0,right_hand,1,2,1|2|0,1.0039122897834039,0.8258165782595998,0.1780957115238041
8,2,0train,0,right_hand,1,3,2|0|1,1.0039122897834039,0.9690730031151528,0.03483928666825109
8,2,0train,0,right_hand,1,4,2|1|0,1.0039122897834039,0.9402232695288094,0.06368902025459444
8,2,0train,0,feet,2,0,0|2|1,3.4712738339774916,2.335682513958184,1.1355913200193077
8,2,0train,0,feet,2,1,1|0|2,3.4712738339774916,2.408072686987703,1.0632011469897886
8,2,0train,0,feet,2,2,1|2|0,3.4712738339774916,2.1724266332601525,1.298847200717339
8,2,0train,0,feet,2,3,2|0|1,3.4712738339774916,2.194573439489051,1.2767003944884405
8,2,0train,0,feet,2,4,2|1|0,3.4712738339774916,2.1825376154718517,1.28873621850564
8,2,0train,0,tongue,3,0,0|2|1,1.1361438100107097,1.103789222139916,0.032354587870793816
8,2,0train,0,tongue,3,1,1|0|2,1.1361438100107097,1.0145256548741994,0.12161815513651031
8,2,0train,0,tongue,3,2,1|2|0,1.1361438100107097,1.0780926227102061,0.058051187300503626
8,2,0train,0,tongue,3,3,2|0|1,1.1361438100107097,1.1131386654229936,0.023005144587716186
8,2,0train,0,tongue,3,4,2|1|0,1.1361438100107097,1.1080949021162534,0.028048907894456354
8,2,1test,1,left_hand,0,0,0|2|1,1.3667629791780374,1.2574647124056961,0.10929826677234122
8,2,1test,1,left_hand,0,1,1|0|2,1.3667629791780374,1.249546882521813,0.11721609665622434
8,2,1test,1,left_hand,0,2,1|2|0,1.3667629791780374,1.1576165765051898,0.20914640267284756
8,2,1test,1,left_hand,0,3,2|0|1,1.3667629791780374,1.2926220438877842,0.07414093529025312
8,2,1test,1,left_hand,0,4,2|1|0,1.3667629791780374,1.3419191841842855,0.02484379499375189
8,2,1test,1,right_hand,1,0,0|2|1,0.9183970941305655,0.944276123212274,-0.025879029081708582
8,2,1test,1,right_hand,1,1,1|0|2,0.9183970941305655,0.7062236486887304,0.21217344544183503
8,2,1test,1,right_hand,1,2,1|2|0,0.9183970941305655,0.714791942405423,0.20360515172514249
8,2,1test,1,right_hand,1,3,2|0|1,0.9183970941305655,0.8246731863531306,0.09372390777743489
8,2,1test,1,right_hand,1,4,2|1|0,0.9183970941305655,0.8065205427184234,0.11187655141214203
8,2,1test,1,feet,2,0,0|2|1,3.0394373286781353,1.7513777624079696,1.2880595662701657
8,2,1test,1,feet,2,1,1|0|2,3.0394373286781353,1.8364670770070146,1.2029702516711207
8,2,1test,1,feet,2,2,1|2|0,3.0394373286781353,1.5555874836372523,1.483849845040883
