target,source,session,session_index,heldout_class,heldout_index,raw_error,action_error,gain,half_A_raw_error,half_A_action_error,half_A_gain,half_B_raw_error,half_B_action_error,half_B_gain,D_eq,D_split,D_threshold,prediction_normalization,equivalent_prediction_count,identifiability,best_objective,best_gradient_norm,best_determinant
7,8,1test,1,left_hand,0,1.5765723983310755,1.4199973194484787,0.1565750788825968,1.2213493067619614,1.014122978257798,0.20722632850416334,2.193253295540453,1.8810471355331106,0.31220616000734225,0.0,0.8306882713534318,0.8306882713534318,0.9495911194372056,1,PREDICTIVELY_IDENTIFIABLE,0.644232642219071,1.1172999560693917e-07,-0.9999999999999944
7,8,1test,1,right_hand,1,1.2833329757756402,1.4177188569523838,-0.13438588117674355,1.227944129542248,1.186765078631666,0.04117905091058205,1.4535775392305097,1.3708447013387488,0.08273283789176089,0.0,1.2325276202818911,1.2325276202818911,0.6824005035177122,1,PREDICTIVELY_IDENTIFIABLE,0.6412145313254478,1.7361509042112098e-06,-0.9999999999999989
7,8,1test,1,feet,2,1.2478656197454039,1.1191924488224203,0.12867317092298358,1.4183855525917484,1.1716394952782385,0.24674605731350985,1.19593153125044,1.1026688371314723,0.09326269411896759,0.0,1.3004115339847893,1.3004115339847893,0.4438359016715312,1,PREDICTIVELY_IDENTIFIABLE,0.728594473465372,4.120326374484033e-09,1.000000000000012
7,8,1test,1,tongue,3,0.6370433498865942,0.36993852797517995,0.2671048219114142,0.6099735908321171,0.3101467788666756,0.29982681196544153,0.8032991498928188,0.4783395295960309,0.32495962029678793,0.0,0.779725830115374,0.779725830115374,1.1466563785693853,1,PREDICTIVELY_IDENTIFIABLE,0.8718753025934876,2.5645603566883736e-07,1.0000000000000004
7,9,0train,0,left_hand,0,0.646314663361755,0.604194858315495,0.042119805046260006,0.5468223049281573,0.34790528283742916,0.19891702209072815,1.4637143894150917,1.4241071652478892,0.039607224167202526,0.0,0.8723262568959345,0.8723262568959345,1.0183784158883487,1,PREDICTIVELY_IDENTIFIABLE,0.7204560629431753,3.1999179883618075e-08,-0.9999999999999938
7,9,0train,0,right_hand,1,1.4210585665737088,1.1397268368387137,0.2813317297349951,1.636023141255983,1.1515426620728613,0.48448047918312165,1.7333082885437445,1.437012653329675,0.29629563521406954,0.0,1.2315854627167335,1.2315854627167335,0.6445351809558061,1,PREDICTIVELY_IDENTIFIABLE,0.6885057432666637,2.883200527848703e-07,-0.9999999999999978
7,9,0train,0,feet,2,0.9980865774618916,0.7397016530587353,0.2583849244031563,1.1076569593126886,0.8493942114860705,0.25826274782661807,1.219429981793359,0.99576412377647,0.22366585801688899,0.0,1.341846346872784,1.341846346872784,0.4935189988657453,1,PREDICTIVELY_IDENTIFIABLE,0.7537144980949722,5.854015266105027e-08,-1.0000000000000062
7,9,0train,0,tongue,3,0.7614435223870477,0.5253915296635722,0.23605199272347555,0.6482162492462527,0.42399839600446537,0.22421785324178728,1.1364503157930936,0.9619367182340681,0.1745135975590255,0.0,0.5966832776091263,0.5966832776091263,1.3984166952598038,1,PREDICTIVELY_IDENTIFIABLE,0.4827547765762183,3.896645196839251e-08,0.9999999999999988
7,9,1test,1,left_hand,0,6.091491643776923,5.775834036643683,0.31565760713323954,4.619066856039976,4.357589771075296,0.2614770849646799,7.907499956932164,7.320445442530179,0.5870545144019852,0.0,0.6263934307584432,0.6263934307584432,2.2275745455534994,1,PREDICTIVELY_IDENTIFIABLE,1.9386360612888003,1.9764902507258833e-08,1.0000000000000042
7,9,1test,1,right_hand,1,1.6741553529346178,1.4915093667630925,0.18264598617152528,1.9304154671123717,1.5769640674449397,0.353451399667432,1.6003035186108128,1.2527967837221659,0.3475067348886469,0.0,1.2646126765090318,1.2646126765090318,0.587933343306074,1,PREDICTIVELY_IDENTIFIABLE,4.145573648958984,2.663117294803594e-06,0.99999999999999
7,9,1test,1,feet,2,2.1631250151405816,1.8575016448230084,0.30562337031757325,1.8243814010951567,1.3022925617777161,0.5220888393174405,2.634764139192809,1.9177408343437903,0.7170233048490187,0.0,1.1352617961738023,1.1352617961738023,0.955428601911469,1,PREDICTIVELY_IDENTIFIABLE,4.20750836041268,2.2758666296257568e-07,-1.000000000000008
7,9,1test,1,tongue,3,1.5915602764002974,1.556799024216911,0.03476125218338644,1.6999940201412411,1.5436007634024675,0.15639325673877358,1.584045431147048,1.5675890713561593,0.016456359790888664,0.0,0.6341745450581457,0.6341745450581457,1.9192098425340922,1,PREDICTIVELY_IDENTIFIABLE,3.4857280574909675,7.011764962524395e-07,1.0000000000000047
8,1,0train,0,left_hand,0,0.8217869013854121,1.0335290999987998,-0.21174219861338772,0.6246858147070827,0.7005917891321533,-0.07590597442507052,1.5988961077857673,1.8439838783495248,-0.24508777056375752,0.0,0.8346998114803736,0.8346998114803736,0.980884424889261,1,PREDICTIVELY_IDENTIFIABLE,1.9863538551927036,2.9435364932129665e-06,1.0000000000000002
8,1,0train,0,right_hand,1,1.873236768617147,2.730210196210161,-0.8569734275930141,1.7764240049439535,2.192852805508709,-0.4164288005647554,1.960586234604721,2.1424674100805166,-0.18188117547579563,0.0,0.7850991463873189,0.7850991463873189,1.2100460271357816,1,PREDICTIVELY_IDENTIFIABLE,1.6259683888305405,8.58758738240046e-08,-1.0000000000000107
8,1,0train,0,feet,2,3.559680129045863,4.154033479485081,-0.594353350439218,3.828218507700945,4.0517723833386965,-0.22355387563775153,3.0076559481828915,3.694574179478016,-0.6869182312951243,0.0,0.8154464412493659,0.8154464412493659,0.7783656963593767,1,PREDICTIVELY_IDENTIFIABLE,1.2871270277489062,3.306377860722257e-07,1.0000000000000049
8,1,0train,0,tongue,3,0.6710967629180464,0.36770611697006544,0.303390645947981,0.6425100981442977,0.3468327848617597,0.295677313282538,0.7951524191099523,0.49688253805609306,0.2982698810538592,0.0,0.6331024507899933,0.6331024507899933,1.3220448920963839,1,PREDICTIVELY_IDENTIFIABLE,1.9298604271715718,1.1919516234239933e-07,0.9999999999999986
