dataset,geometry,template,split,subject,session,Rbar_frobenius_norm
BNCI2014_001,LE,pooled_session,B,9,1test,4.0600717304472682e-13
BNCI2014_001,LE,session_specific,F,1,0train,2.7239736411836905e-13
BNCI2014_001,LE,session_specific,F,1,1test,3.0989166650698144e-13
BNCI2014_001,LE,session_specific,F,2,0train,3.301723713915045e-13
BNCI2014_001,LE,session_specific,F,2,1test,5.5060229871648066e-13
BNCI2014_001,LE,session_specific,F,3,0train,4.1632517106882777e-13
BNCI2014_001,LE,session_specific,F,3,1test,4.9382030306065478e-13
BNCI2014_001,LE,session_specific,F,4,0train,3.5604010758791494e-13
BNCI2014_001,LE,session_specific,F,4,1test,4.6291892353848797e-13
BNCI2014_001,LE,session_specific,F,5,0train,3.1959934610192575e-13
BNCI2014_001,LE,session_specific,F,5,1test,3.2816226613203231e-13
BNCI2014_001,LE,session_specific,F,6,0train,3.1362683160179403e-13
BNCI2014_001,LE,session_specific,F,6,1test,3.0165232578714754e-13
BNCI2014_001,LE,session_specific,F,7,0train,3.0479004934804207e-13
BNCI2014_001,LE,session_specific,F,7,1test,3.7581576056335055e-13
BNCI2014_001,LE,session_specific,F,8,0train,4.3375455242925517e-13
BNCI2014_001,LE,session_specific,F,8,1test,4.4740270573150769e-13
BNCI2014_001,LE,session_specific,F,9,0train,4.4723081568866773e-13
BNCI2014_001,LE,session_specific,F,9,1test,2.5856554539668419e-13
BNCI2014_001,LE,pooled_session,F,1,0train,3.0319506595771193e-13
BNCI2014_001,LE,pooled_session,F,1,1test,3.1670050024145004e-13
BNCI2014_001,LE,pooled_session,F,2,0train,2.9032114398163599e-13
BNCI2014_001,LE,pooled_session,F,2,1test,5.28129883242116e-13
BNCI2014_001,LE,pooled_session,F,3,0train,4.0516106005935394e-13
BNCI2014_001,LE,pooled_session,F,3,1test,4.9836965693940327e-13
BNCI2014_001,LE,pooled_session,F,4,0train,3.5336319560703668e-13
BNCI2014_001,LE,pooled_session,F,4,1test,4.6652056962780821e-13
