dataset,geometry,template,split,subject,session,class,R_frobenius_norm,Z_frobenius_norm,sensor_Z_raw_norm,spectrum_Z_raw_norm
BNCI2014_001,AIRM,pooled_session,F,8,1test,left_hand,0.65519306480776274,0.65366596109547515,1.2358558149269943,1.2358558149269943
BNCI2014_001,AIRM,pooled_session,F,8,1test,right_hand,0.5294779175771861,0.53005729744488672,1.2358558149269943,1.2358558149269943
BNCI2014_001,AIRM,pooled_session,F,8,1test,feet,0.57035030728947578,0.57034654685673136,1.2358558149269943,1.2358558149269943
BNCI2014_001,AIRM,pooled_session,F,8,1test,tongue,0.70174831222446687,0.7027122344943334,1.2358558149269943,1.2358558149269943
BNCI2014_001,AIRM,pooled_session,F,9,0train,left_hand,0.63011198958908921,0.63026934958187908,1.2697748206668056,1.2697748206668058
BNCI2014_001,AIRM,pooled_session,F,9,0train,right_hand,0.41926220207428733,0.41941620162898041,1.2697748206668056,1.2697748206668058
BNCI2014_001,AIRM,pooled_session,F,9,0train,feet,0.50568450143760924,0.50599364496637944,1.2697748206668056,1.2697748206668058
BNCI2014_001,AIRM,pooled_session,F,9,0train,tongue,0.88533823093744191,0.88495713073674342,1.2697748206668056,1.2697748206668058
BNCI2014_001,AIRM,pooled_session,F,9,1test,left_hand,1.8010729128854654,1.8010879195489655,2.5266321031283026,2.526632103128303
BNCI2014_001,AIRM,pooled_session,F,9,1test,right_hand,0.67023794071610499,0.67103182002289685,2.5266321031283026,2.526632103128303
BNCI2014_001,AIRM,pooled_session,F,9,1test,feet,0.85363513350614828,0.85348984572009901,2.5266321031283026,2.526632103128303
BNCI2014_001,AIRM,pooled_session,F,9,1test,tongue,1.4007830370119074,1.4004368855406404,2.5266321031283026,2.526632103128303
BNCI2014_001,LE,session_specific,A,1,0train,left_hand,0.42046596437673156,0.4204659643767808,1.3566496704328357,1.3566496704328355
BNCI2014_001,LE,session_specific,A,1,0train,right_hand,0.87972113050592637,0.87972113050597589,1.3566496704328357,1.3566496704328355
BNCI2014_001,LE,session_specific,A,1,0train,feet,0.61959871575198644,0.61959871575191161,1.3566496704328357,1.3566496704328355
BNCI2014_001,LE,session_specific,A,1,0train,tongue,0.7112628663624514,0.71126286636242642,1.3566496704328357,1.3566496704328355
BNCI2014_001,LE,session_specific,A,1,1test,left_hand,0.54156189424988677,0.54156189424990409,1.3555215680971631,1.3555215680971631
BNCI2014_001,LE,session_specific,A,1,1test,right_hand,0.86186674060718593,0.86186674060716972,1.3555215680971631,1.3555215680971631
BNCI2014_001,LE,session_specific,A,1,1test,feet,0.75308297547489045,0.7530829754749051,1.3555215680971631,1.3555215680971631
BNCI2014_001,LE,session_specific,A,1,1test,tongue,0.48394337453683334,0.48394337453681996,1.3555215680971631,1.3555215680971631
BNCI2014_001,LE,session_specific,A,2,0train,left_hand,0.53281233648839865,0.53281233648841031,1.4503064396381784,1.4503064396381784
BNCI2014_001,LE,session_specific,A,2,0train,right_hand,0.62020398451259418,0.62020398451260805,1.4503064396381784,1.4503064396381784
BNCI2014_001,LE,session_specific,A,2,0train,feet,0.70650865630981519,0.70650865630979776,1.4503064396381784,1.4503064396381784
BNCI2014_001,LE,session_specific,A,2,0train,tongue,0.96731190372895937,0.96731190372895692,1.4503064396381784,1.4503064396381784
BNCI2014_001,LE,session_specific,A,2,1test,left_hand,1.2046652842869088,1.2046652842868555,1.9141926588257774,1.9141926588257776
BNCI2014_001,LE,session_specific,A,2,1test,right_hand,0.52348861920710099,0.52348861920704715,1.9141926588257774,1.9141926588257776
BNCI2014_001,LE,session_specific,A,2,1test,feet,0.65870902735468362,0.65870902735473758,1.9141926588257774,1.9141926588257776
BNCI2014_001,LE,session_specific,A,2,1test,tongue,1.2267751101071989,1.2267751101072453,1.9141926588257774,1.9141926588257776
BNCI2014_001,LE,session_specific,A,3,0train,left_hand,0.80340808054131085,0.80340808054134616,1.4816425208047197,1.4816425208047197
BNCI2014_001,LE,session_specific,A,3,0train,right_hand,0.77164119437610357,0.77164119437611811,1.4816425208047197,1.4816425208047197
BNCI2014_001,LE,session_specific,A,3,0train,feet,0.46532842311437306,0.46532842311438749,1.4816425208047197,1.4816425208047197
BNCI2014_001,LE,session_specific,A,3,0train,tongue,0.8589757513231685,0.85897575132311443,1.4816425208047197,1.4816425208047197
BNCI2014_001,LE,session_specific,A,3,1test,left_hand,0.46378162076528723,0.46378162076521884,1.2250741914155703,1.2250741914155703
BNCI2014_001,LE,session_specific,A,3,1test,right_hand,0.71580413267858944,0.71580413267855081,1.2250741914155703,1.2250741914155703
BNCI2014_001,LE,session_specific,A,3,1test,feet,0.47905619218768736,0.47905619218769219,1.2250741914155703,1.2250741914155703
BNCI2014_001,LE,session_specific,A,3,1test,tongue,0.73745711134934633,0.73745711134942393,1.2250741914155703,1.2250741914155703
BNCI2014_001,LE,session_specific,A,4,0train,left_hand,0.44001029141146453,0.4400102914114587,0.95052026765889686,0.95052026765889686
BNCI2014_001,LE,session_specific,A,4,0train,right_hand,0.44761426166866569,0.44761426166870227,0.95052026765889686,0.95052026765889686
BNCI2014_001,LE,session_specific,A,4,0train,feet,0.34214769417545221,0.34214769417546181,0.95052026765889686,0.95052026765889686
BNCI2014_001,LE,session_specific,A,4,0train,tongue,0.62646320786106457,0.62646320786103726,0.95052026765889686,0.95052026765889686
BNCI2014_001,LE,session_specific,A,4,1test,left_hand,0.44986250990450599,0.44986250990452609,0.9422479962724376,0.94224799627243772
BNCI2014_001,LE,session_specific,A,4,1test,right_hand,0.42546802533737987,0.42546802533740213,0.9422479962724376,0.94224799627243772
BNCI2014_001,LE,session_specific,A,4,1test,feet,0.61215359657295265,0.61215359657292268,0.9422479962724376,0.94224799627243772
BNCI2014_001,LE,session_specific,A,4,1test,tongue,0.36013878197182714,0.36013878197182658,0.9422479962724376,0.94224799627243772
BNCI2014_001,LE,session_specific,A,5,0train,left_hand,0.56099135528340371,0.56099135528338318,1.148153057809667,1.148153057809667
BNCI2014_001,LE,session_specific,A,5,0train,right_hand,0.56968808780157509,0.56968808780157576,1.148153057809667,1.148153057809667
BNCI2014_001,LE,session_specific,A,5,0train,feet,0.34364656656245818,0.34364656656246961,1.148153057809667,1.148153057809667
BNCI2014_001,LE,session_specific,A,5,0train,tongue,0.74893702229346204,0.74893702229347148,1.148153057809667,1.148153057809667
BNCI2014_001,LE,session_specific,A,5,1test,left_hand,0.75114056577537147,0.75114056577532784,1.2598498806289344,1.2598498806289342
BNCI2014_001,LE,session_specific,A,5,1test,right_hand,0.4253715355768744,0.42537153557682106,1.2598498806289344,1.2598498806289342
BNCI2014_001,LE,session_specific,A,5,1test,feet,0.36717177575382537,0.36717177575383997,1.2598498806289344,1.2598498806289342
BNCI2014_001,LE,session_specific,A,5,1test,tongue,0.8409836597569238,0.84098365975698353,1.2598498806289344,1.2598498806289342
BNCI2014_001,LE,session_specific,A,6,0train,left_hand,0.38979436348328633,0.38979436348328123,0.96701371937456992,0.96701371937457015
BNCI2014_001,LE,session_specific,A,6,0train,right_hand,0.43517126673543816,0.43517126673543072,0.96701371937456992,0.96701371937457015
BNCI2014_001,LE,session_specific,A,6,0train,feet,0.50302119378951859,0.50302119378955057,0.96701371937456992,0.96701371937457015
BNCI2014_001,LE,session_specific,A,6,0train,tongue,0.58375640027475562,0.58375640027473696,0.96701371937456992,0.96701371937457015
BNCI2014_001,LE,session_specific,A,6,1test,left_hand,0.41659485108043248,0.41659485108043842,1.0168069561627766,1.0168069561627766
BNCI2014_001,LE,session_specific,A,6,1test,right_hand,0.37617261956758274,0.37617261956758591,1.0168069561627766,1.0168069561627766
BNCI2014_001,LE,session_specific,A,6,1test,feet,0.46827163086403278,0.46827163086403045,1.0168069561627766,1.0168069561627766
BNCI2014_001,LE,session_specific,A,6,1test,tongue,0.70679626213632785,0.70679626213632418,1.0168069561627766,1.0168069561627766
BNCI2014_001,LE,session_specific,A,7,0train,left_hand,0.5688836452732623,0.56888364527323965,1.0217429565044596,1.0217429565044596
BNCI2014_001,LE,session_specific,A,7,0train,right_hand,0.42810866657545121,0.42810866657545477,1.0217429565044596,1.0217429565044596
BNCI2014_001,LE,session_specific,A,7,0train,feet,0.49380357568371985,0.49380357568372102,1.0217429565044596,1.0217429565044596
BNCI2014_001,LE,session_specific,A,7,0train,tongue,0.54148967261808501,0.54148967261810499,1.0217429565044596,1.0217429565044596
BNCI2014_001,LE,session_specific,A,7,1test,left_hand,0.50735810888573574,0.50735810888572119,1.0193649770117494,1.0193649770117494
BNCI2014_001,LE,session_specific,A,7,1test,right_hand,0.44663850556460127,0.44663850556459955,1.0193649770117494,1.0193649770117494
BNCI2014_001,LE,session_specific,A,7,1test,feet,0.59539700214462055,0.59539700214464819,1.0193649770117494,1.0193649770117494
BNCI2014_001,LE,session_specific,A,7,1test,tongue,0.477188810525009,0.47718881052499146,1.0193649770117494,1.0193649770117494
BNCI2014_001,LE,session_specific,A,8,0train,left_hand,0.6154717964464288,0.61547179644642114,1.254703162640707,1.254703162640707
BNCI2014_001,LE,session_specific,A,8,0train,right_hand,0.51676123809319796,0.51676123809319907,1.254703162640707,1.254703162640707
BNCI2014_001,LE,session_specific,A,8,0train,feet,0.56939078350182093,0.56939078350187289,1.254703162640707,1.254703162640707
BNCI2014_001,LE,session_specific,A,8,0train,tongue,0.77732004514689179,0.77732004514685904,1.254703162640707,1.254703162640707
BNCI2014_001,LE,session_specific,A,8,1test,left_hand,0.55160400356062567,0.5516040035606623,1.0727777251583481,1.0727777251583481
BNCI2014_001,LE,session_specific,A,8,1test,right_hand,0.40494255098448234,0.40494255098452653,1.0727777251583481,1.0727777251583481
