dataset,geometry,template,split,gate,observed,passed,name,n_trials,karcher_residual,warnings
BNCI2014_001,AIRM,,A,,,True,S4_0train_right_hand,36,3.0232938390678505e-10,
BNCI2014_001,AIRM,,A,,,True,S4_0train_feet,36,2.6688548427400813e-10,
BNCI2014_001,AIRM,,A,,,True,S4_0train_tongue,36,2.8144109051201193e-10,
BNCI2014_001,AIRM,,A,,,True,S4_1test_marginal,144,3.4229495654109571e-10,
BNCI2014_001,AIRM,,A,,,True,S4_1test_left_hand,36,2.6477523440183666e-10,
BNCI2014_001,AIRM,,A,,,True,S4_1test_right_hand,36,2.9687040389718639e-10,
BNCI2014_001,AIRM,,A,,,True,S4_1test_feet,36,2.8407376444500731e-10,
BNCI2014_001,AIRM,,A,,,True,S4_1test_tongue,36,1.5593738719324048e-10,
BNCI2014_001,AIRM,,A,,,True,S5_0train_marginal,144,1.5747119617661693e-10,
BNCI2014_001,AIRM,,A,,,True,S5_0train_left_hand,36,1.5052104855540988e-10,
BNCI2014_001,AIRM,,A,,,True,S5_0train_right_hand,36,1.484863253878056e-10,
BNCI2014_001,AIRM,,A,,,True,S5_0train_feet,36,1.7598893674367573e-10,
BNCI2014_001,AIRM,,A,,,True,S5_0train_tongue,36,1.8149253621704478e-10,
BNCI2014_001,AIRM,,A,,,True,S5_1test_marginal,144,2.7857837843993478e-10,
BNCI2014_001,AIRM,,A,,,True,S5_1test_left_hand,36,2.185162974153783e-10,
BNCI2014_001,AIRM,,A,,,True,S5_1test_right_hand,36,2.0646788983778181e-10,
BNCI2014_001,AIRM,,A,,,True,S5_1test_feet,36,2.0427689311173483e-10,
BNCI2014_001,AIRM,,A,,,True,S5_1test_tongue,36,1.82584225201991e-10,
BNCI2014_001,AIRM,,A,,,True,S6_0train_marginal,144,2.3895148881722308e-10,
BNCI2014_001,AIRM,,A,,,True,S6_0train_left_hand,36,2.2090148184932639e-10,
BNCI2014_001,AIRM,,A,,,True,S6_0train_right_hand,36,2.817814034664945e-10,
BNCI2014_001,AIRM,,A,,,True,S6_0train_feet,36,2.718333372608896e-10,
BNCI2014_001,AIRM,,A,,,True,S6_0train_tongue,36,2.2909617451876161e-10,
BNCI2014_001,AIRM,,A,,,True,S6_1test_marginal,144,2.2308379810001855e-10,
BNCI2014_001,AIRM,,A,,,True,S6_1test_left_hand,36,2.460896709147048e-10,
BNCI2014_001,AIRM,,A,,,True,S6_1test_right_hand,36,1.9516676910105425e-10,
BNCI2014_001,AIRM,,A,,,True,S6_1test_feet,36,2.4213751576713066e-10,
BNCI2014_001,AIRM,,A,,,True,S6_1test_tongue,36,2.7126772315162892e-10,
BNCI2014_001,AIRM,,A,,,True,S7_0train_marginal,144,1.4427630301769599e-10,
BNCI2014_001,AIRM,,A,,,True,S7_0train_left_hand,36,1.4834683982548324e-10,
BNCI2014_001,AIRM,,A,,,True,S7_0train_right_hand,36,2.9190097506831472e-10,
BNCI2014_001,AIRM,,A,,,True,S7_0train_feet,36,2.946397532761701e-10,
BNCI2014_001,AIRM,,A,,,True,S7_0train_tongue,36,2.8737533677886989e-10,
BNCI2014_001,AIRM,,A,,,True,S7_1test_marginal,144,3.3141327609103174e-10,
BNCI2014_001,AIRM,,A,,,True,S7_1test_left_hand,36,2.93238275618604e-10,
BNCI2014_001,AIRM,,A,,,True,S7_1test_right_hand,36,2.5589123486096056e-10,
BNCI2014_001,AIRM,,A,,,True,S7_1test_feet,36,2.8962760778258372e-10,
BNCI2014_001,AIRM,,A,,,True,S7_1test_tongue,36,3.0686189587818181e-10,
BNCI2014_001,AIRM,,A,,,True,S8_0train_marginal,144,2.2034322368781933e-10,
BNCI2014_001,AIRM,,A,,,True,S8_0train_left_hand,36,1.6160621398010248e-10,
BNCI2014_001,AIRM,,A,,,True,S8_0train_right_hand,36,1.6365189824077296e-10,
BNCI2014_001,AIRM,,A,,,True,S8_0train_feet,36,2.9171937186366557e-10,
BNCI2014_001,AIRM,,A,,,True,S8_0train_tongue,36,1.9870810802194166e-10,
BNCI2014_001,AIRM,,A,,,True,S8_1test_marginal,144,2.1808190225444651e-10,
BNCI2014_001,AIRM,,A,,,True,S8_1test_left_hand,36,1.6130241845991582e-10,
BNCI2014_001,AIRM,,A,,,True,S8_1test_right_hand,36,1.7146580475865825e-10,
BNCI2014_001,AIRM,,A,,,True,S8_1test_feet,36,1.8438355774583117e-10,
BNCI2014_001,AIRM,,A,,,True,S8_1test_tongue,36,2.1520687912029195e-10,
BNCI2014_001,AIRM,,A,,,True,S9_0train_marginal,144,2.4027303099687619e-10,
BNCI2014_001,AIRM,,A,,,True,S9_0train_left_hand,36,2.2661536992014943e-10,
BNCI2014_001,AIRM,,A,,,True,S9_0train_right_hand,36,2.2814907676631376e-10,
BNCI2014_001,AIRM,,A,,,True,S9_0train_feet,36,2.2285572906987283e-10,
BNCI2014_001,AIRM,,A,,,True,S9_0train_tongue,36,1.8459966467468617e-10,
BNCI2014_001,AIRM,,A,,,True,S9_1test_marginal,144,3.0647609595012047e-10,
BNCI2014_001,AIRM,,A,,,True,S9_1test_left_hand,36,2.474318766421989e-10,
BNCI2014_001,AIRM,,A,,,True,S9_1test_right_hand,36,2.2984093572542402e-10,
BNCI2014_001,AIRM,,A,,,True,S9_1test_feet,36,2.5174652725331347e-10,
BNCI2014_001,AIRM,,A,,,True,S9_1test_tongue,36,1.7873546690849048e-10,
BNCI2014_001,AIRM,,B,,,True,S1_0train_marginal,144,2.5716822128698998e-10,
BNCI2014_001,AIRM,,B,,,True,S1_0train_left_hand,36,3.3528834878585807e-10,
BNCI2014_001,AIRM,,B,,,True,S1_0train_right_hand,36,1.5779740243586584e-10,
BNCI2014_001,AIRM,,B,,,True,S1_0train_feet,36,3.5153975476855368e-10,
BNCI2014_001,AIRM,,B,,,True,S1_0train_tongue,36,3.5615263768740141e-10,
BNCI2014_001,AIRM,,B,,,True,S1_1test_marginal,144,3.0556683849696929e-10,
BNCI2014_001,AIRM,,B,,,True,S1_1test_left_hand,36,3.3247703084659979e-10,
BNCI2014_001,AIRM,,B,,,True,S1_1test_right_hand,36,3.1714793645448956e-10,
BNCI2014_001,AIRM,,B,,,True,S1_1test_feet,36,2.9740699646262548e-10,
BNCI2014_001,AIRM,,B,,,True,S1_1test_tongue,36,3.4526457446170494e-10,
BNCI2014_001,AIRM,,B,,,True,S2_0train_marginal,144,2.0010776645846114e-10,
BNCI2014_001,AIRM,,B,,,True,S2_0train_left_hand,36,1.9557925334163111e-10,
BNCI2014_001,AIRM,,B,,,True,S2_0train_right_hand,36,2.0098352630013692e-10,
BNCI2014_001,AIRM,,B,,,True,S2_0train_feet,36,2.1737963168027481e-10,
BNCI2014_001,AIRM,,B,,,True,S2_0train_tongue,36,2.0109671992632212e-10,
BNCI2014_001,AIRM,,B,,,True,S2_1test_marginal,144,2.7689816939335444e-10,
BNCI2014_001,AIRM,,B,,,True,S2_1test_left_hand,36,3.0676680099272694e-10,
BNCI2014_001,AIRM,,B,,,True,S2_1test_right_hand,36,2.9725687806987446e-10,
BNCI2014_001,AIRM,,B,,,True,S2_1test_feet,36,2.7932062273492938e-10,
BNCI2014_001,AIRM,,B,,,True,S2_1test_tongue,36,2.1260815948120685e-10,
BNCI2014_001,AIRM,,B,,,True,S3_0train_marginal,144,2.1861970088853924e-10,
BNCI2014_001,AIRM,,B,,,True,S3_0train_left_hand,36,2.0125698090506595e-10,
BNCI2014_001,AIRM,,B,,,True,S3_0train_right_hand,36,2.1408591534311592e-10,
BNCI2014_001,AIRM,,B,,,True,S3_0train_feet,36,2.0038705571059217e-10,
BNCI2014_001,AIRM,,B,,,True,S3_0train_tongue,36,1.7842183047677837e-10,
BNCI2014_001,AIRM,,B,,,True,S3_1test_marginal,144,2.4754207766864611e-10,
BNCI2014_001,AIRM,,B,,,True,S3_1test_left_hand,36,3.2201195687946921e-10,
BNCI2014_001,AIRM,,B,,,True,S3_1test_right_hand,36,2.2899787686427449e-10,
BNCI2014_001,AIRM,,B,,,True,S3_1test_feet,36,2.2037183520827254e-10,
BNCI2014_001,AIRM,,B,,,True,S3_1test_tongue,36,2.0153133413637001e-10,
BNCI2014_001,AIRM,,B,,,True,S4_0train_marginal,144,2.9829591874883831e-10,
BNCI2014_001,AIRM,,B,,,True,S4_0train_left_hand,36,1.4749028283617387e-10,
BNCI2014_001,AIRM,,B,,,True,S4_0train_right_hand,36,3.6893140931807056e-10,
BNCI2014_001,AIRM,,B,,,True,S4_0train_feet,36,3.3199210492214403e-10,
BNCI2014_001,AIRM,,B,,,True,S4_0train_tongue,36,3.2019542780151105e-10,
BNCI2014_001,AIRM,,B,,,True,S4_1test_marginal,144,1.8217466486529328e-10,
BNCI2014_001,AIRM,,B,,,True,S4_1test_left_hand,36,2.7403573573395869e-10,
BNCI2014_001,AIRM,,B,,,True,S4_1test_right_hand,36,3.165211149624503e-10,
BNCI2014_001,AIRM,,B,,,True,S4_1test_feet,36,3.4329206246322784e-10,
BNCI2014_001,AIRM,,B,,,True,S4_1test_tongue,36,3.0919304839805864e-10,
BNCI2014_001,AIRM,,B,,,True,S5_0train_marginal,144,1.9268308629660917e-10,
BNCI2014_001,AIRM,,B,,,True,S5_0train_left_hand,36,3.0047561834922637e-10,
BNCI2014_001,AIRM,,B,,,True,S5_0train_right_hand,36,1.8355592738793829e-10,
BNCI2014_001,AIRM,,B,,,True,S5_0train_feet,36,2.597661203332202e-10,
BNCI2014_001,AIRM,,B,,,True,S5_0train_tongue,36,2.5293973937644307e-10,
BNCI2014_001,AIRM,,B,,,True,S5_1test_marginal,144,1.9352875739723447e-10,
BNCI2014_001,AIRM,,B,,,True,S5_1test_left_hand,36,1.6466793699963356e-10,
BNCI2014_001,AIRM,,B,,,True,S5_1test_right_hand,36,1.8908482158410823e-10,
BNCI2014_001,AIRM,,B,,,True,S5_1test_feet,36,1.5796074658762835e-10,
BNCI2014_001,AIRM,,B,,,True,S5_1test_tongue,36,2.7928607414006713e-10,
BNCI2014_001,AIRM,,B,,,True,S6_0train_marginal,144,2.4913672752329385e-10,
BNCI2014_001,AIRM,,B,,,True,S6_0train_left_hand,36,2.8698589820392412e-10,
BNCI2014_001,AIRM,,B,,,True,S6_0train_right_hand,36,2.3069021419015452e-10,
BNCI2014_001,AIRM,,B,,,True,S6_0train_feet,36,2.4588075240009791e-10,
BNCI2014_001,AIRM,,B,,,True,S6_0train_tongue,36,2.500368866620912e-10,
BNCI2014_001,AIRM,,B,,,True,S6_1test_marginal,144,2.5300708697530263e-10,
BNCI2014_001,AIRM,,B,,,True,S6_1test_left_hand,36,3.2587640679988373e-10,
BNCI2014_001,AIRM,,B,,,True,S6_1test_right_hand,36,2.4857282901226305e-10,
BNCI2014_001,AIRM,,B,,,True,S6_1test_feet,36,2.2904973459644433e-10,
BNCI2014_001,AIRM,,B,,,True,S6_1test_tongue,36,2.6129594625162384e-10,
BNCI2014_001,AIRM,,B,,,True,S7_0train_marginal,144,3.1171527440728381e-10,
BNCI2014_001,AIRM,,B,,,True,S7_0train_left_hand,36,3.2101142222017544e-10,
BNCI2014_001,AIRM,,B,,,True,S7_0train_right_hand,36,2.832863146716693e-10,
BNCI2014_001,AIRM,,B,,,True,S7_0train_feet,36,2.8885214314353232e-10,
BNCI2014_001,AIRM,,B,,,True,S7_0train_tongue,36,2.6573744929336196e-10,
BNCI2014_001,AIRM,,B,,,True,S7_1test_marginal,144,1.6814137036798844e-10,
BNCI2014_001,AIRM,,B,,,True,S7_1test_left_hand,36,1.7639768412847822e-10,
BNCI2014_001,AIRM,,B,,,True,S7_1test_right_hand,36,1.9164948443416184e-10,
BNCI2014_001,AIRM,,B,,,True,S7_1test_feet,36,1.6687487263786369e-10,
BNCI2014_001,AIRM,,B,,,True,S7_1test_tongue,36,1.5951256547489003e-10,
BNCI2014_001,AIRM,,B,,,True,S8_0train_marginal,144,2.1996701390728635e-10,
BNCI2014_001,AIRM,,B,,,True,S8_0train_left_hand,36,1.7527771344522351e-10,
BNCI2014_001,AIRM,,B,,,True,S8_0train_right_hand,36,1.5356748813733728e-10,
BNCI2014_001,AIRM,,B,,,True,S8_0train_feet,36,1.6003170470970868e-10,
BNCI2014_001,AIRM,,B,,,True,S8_0train_tongue,36,2.130882939987958e-10,
BNCI2014_001,AIRM,,B,,,True,S8_1test_marginal,144,2.2684495559756433e-10,
BNCI2014_001,AIRM,,B,,,True,S8_1test_left_hand,36,1.6800846668329834e-10,
BNCI2014_001,AIRM,,B,,,True,S8_1test_right_hand,36,1.8798173158373764e-10,
BNCI2014_001,AIRM,,B,,,True,S8_1test_feet,36,2.458169071412951e-10,
BNCI2014_001,AIRM,,B,,,True,S8_1test_tongue,36,1.7455156661018802e-10,
BNCI2014_001,AIRM,,B,,,True,S9_0train_marginal,144,2.541681422652186e-10,
BNCI2014_001,AIRM,,B,,,True,S9_0train_left_hand,36,2.6373862677726128e-10,
BNCI2014_001,AIRM,,B,,,True,S9_0train_right_hand,36,2.4433798356635308e-10,
BNCI2014_001,AIRM,,B,,,True,S9_0train_feet,36,2.2805222697320111e-10,
BNCI2014_001,AIRM,,B,,,True,S9_0train_tongue,36,2.0353186645240193e-10,
BNCI2014_001,AIRM,,B,,,True,S9_1test_marginal,144,2.8199083228519935e-10,
BNCI2014_001,AIRM,,B,,,True,S9_1test_left_hand,36,2.3858104895348453e-10,
BNCI2014_001,AIRM,,B,,,True,S9_1test_right_hand,36,2.1408286609088966e-10,
BNCI2014_001,AIRM,,B,,,True,S9_1test_feet,36,2.1630195397266157e-10,
BNCI2014_001,AIRM,,B,,,True,S9_1test_tongue,36,1.9751252745761918e-10,
BNCI2014_001,AIRM,,F,,,True,S1_0train_marginal,288,2.4799834301630446e-10,
BNCI2014_001,AIRM,,F,,,True,S1_0train_left_hand,72,3.4443502392518795e-10,
BNCI2014_001,AIRM,,F,,,True,S1_0train_right_hand,72,3.4895511909289464e-10,
BNCI2014_001,AIRM,,F,,,True,S1_0train_feet,72,3.4861200096815087e-10,
BNCI2014_001,AIRM,,F,,,True,S1_0train_tongue,72,3.5811998210496007e-10,
BNCI2014_001,AIRM,,F,,,True,S1_1test_marginal,288,2.6128352856642027e-10,
BNCI2014_001,AIRM,,F,,,True,S1_1test_left_hand,72,1.7659707133415443e-10,
BNCI2014_001,AIRM,,F,,,True,S1_1test_right_hand,72,1.9913288059530175e-10,
BNCI2014_001,AIRM,,F,,,True,S1_1test_feet,72,1.8776060430548454e-10,
BNCI2014_001,AIRM,,F,,,True,S1_1test_tongue,72,1.4090562827688293e-10,
BNCI2014_001,AIRM,,F,,,True,S2_0train_marginal,288,1.9021820611704895e-10,
BNCI2014_001,AIRM,,F,,,True,S2_0train_left_hand,72,1.9064673487769534e-10,
BNCI2014_001,AIRM,,F,,,True,S2_0train_right_hand,72,1.7753493426957958e-10,
BNCI2014_001,AIRM,,F,,,True,S2_0train_feet,72,1.9764611082248921e-10,
BNCI2014_001,AIRM,,F,,,True,S2_0train_tongue,72,1.9733454166605468e-10,
BNCI2014_001,AIRM,,F,,,True,S2_1test_marginal,288,3.4636614261248213e-10,
BNCI2014_001,AIRM,,F,,,True,S2_1test_left_hand,72,1.7878919003642761e-10,
BNCI2014_001,AIRM,,F,,,True,S2_1test_right_hand,72,3.1779281567815009e-10,
BNCI2014_001,AIRM,,F,,,True,S2_1test_feet,72,3.3017357059430946e-10,
BNCI2014_001,AIRM,,F,,,True,S2_1test_tongue,72,2.8600320529895088e-10,
BNCI2014_001,AIRM,,F,,,True,S3_0train_marginal,288,2.3596272380541054e-10,
BNCI2014_001,AIRM,,F,,,True,S3_0train_left_hand,72,2.1144620686097513e-10,
BNCI2014_001,AIRM,,F,,,True,S3_0train_right_hand,72,2.0996032505456902e-10,
BNCI2014_001,AIRM,,F,,,True,S3_0train_feet,72,1.9602171816371149e-10,
BNCI2014_001,AIRM,,F,,,True,S3_0train_tongue,72,1.7864219163912027e-10,
BNCI2014_001,AIRM,,F,,,True,S3_1test_marginal,288,2.4794401068284799e-10,
BNCI2014_001,AIRM,,F,,,True,S3_1test_left_hand,72,2.4489855737229038e-10,
BNCI2014_001,AIRM,,F,,,True,S3_1test_right_hand,72,2.1384470357232072e-10,
BNCI2014_001,AIRM,,F,,,True,S3_1test_feet,72,2.1958316396432173e-10,
BNCI2014_001,AIRM,,F,,,True,S3_1test_tongue,72,1.8378003984249443e-10,
BNCI2014_001,AIRM,,F,,,True,S4_0train_marginal,288,2.0753256463955856e-10,
BNCI2014_001,AIRM,,F,,,True,S4_0train_left_hand,72,3.3714376400464401e-10,
BNCI2014_001,AIRM,,F,,,True,S4_0train_right_hand,72,2.4552394318496457e-10,
BNCI2014_001,AIRM,,F,,,True,S4_0train_feet,72,2.3521294104770482e-10,
BNCI2014_001,AIRM,,F,,,True,S4_0train_tongue,72,2.1877301046082506e-10,
BNCI2014_001,AIRM,,F,,,True,S4_1test_marginal,288,1.5761782198049006e-10,
BNCI2014_001,AIRM,,F,,,True,S4_1test_left_hand,72,2.6196248996233425e-10,
BNCI2014_001,AIRM,,F,,,True,S4_1test_right_hand,72,3.0131082842897277e-10,
BNCI2014_001,AIRM,,F,,,True,S4_1test_feet,72,3.0714458537445054e-10,
BNCI2014_001,AIRM,,F,,,True,S4_1test_tongue,72,2.4121584000011715e-10,
BNCI2014_001,AIRM,,F,,,True,S5_0train_marginal,288,1.6888765117392702e-10,
BNCI2014_001,AIRM,,F,,,True,S5_0train_left_hand,72,3.3911003657894363e-10,
BNCI2014_001,AIRM,,F,,,True,S5_0train_right_hand,72,1.5863548773109595e-10,
BNCI2014_001,AIRM,,F,,,True,S5_0train_feet,72,1.9810000785712008e-10,
BNCI2014_001,AIRM,,F,,,True,S5_0train_tongue,72,2.0856494612419225e-10,
BNCI2014_001,AIRM,,F,,,True,S5_1test_marginal,288,2.2787972155078732e-10,
BNCI2014_001,AIRM,,F,,,True,S5_1test_left_hand,72,1.8511029792030823e-10,
BNCI2014_001,AIRM,,F,,,True,S5_1test_right_hand,72,1.8480178534243237e-10,
BNCI2014_001,AIRM,,F,,,True,S5_1test_feet,72,1.7535175729167174e-10,
BNCI2014_001,AIRM,,F,,,True,S5_1test_tongue,72,3.6712200887519709e-10,
BNCI2014_001,AIRM,,F,,,True,S6_0train_marginal,288,2.3691482153713373e-10,
BNCI2014_001,AIRM,,F,,,True,S6_0train_left_hand,72,2.3927775444647927e-10,
BNCI2014_001,AIRM,,F,,,True,S6_0train_right_hand,72,2.410196408731546e-10,
BNCI2014_001,AIRM,,F,,,True,S6_0train_feet,72,2.4623911656077619e-10,
BNCI2014_001,AIRM,,F,,,True,S6_0train_tongue,72,2.2349066706319249e-10,
BNCI2014_001,AIRM,,F,,,True,S6_1test_marginal,288,2.4538643211983508e-10,
BNCI2014_001,AIRM,,F,,,True,S6_1test_left_hand,72,2.6228555652401843e-10,
BNCI2014_001,AIRM,,F,,,True,S6_1test_right_hand,72,2.3195878707255046e-10,
BNCI2014_001,AIRM,,F,,,True,S6_1test_feet,72,2.3207937070578997e-10,
BNCI2014_001,AIRM,,F,,,True,S6_1test_tongue,72,2.7562208858602566e-10,
BNCI2014_001,AIRM,,F,,,True,S7_0train_marginal,288,3.2538984595925352e-10,
BNCI2014_001,AIRM,,F,,,True,S7_0train_left_hand,72,3.2112286342231673e-10,
BNCI2014_001,AIRM,,F,,,True,S7_0train_right_hand,72,2.6241834558933525e-10,
BNCI2014_001,AIRM,,F,,,True,S7_0train_feet,72,2.7589478891068839e-10,
BNCI2014_001,AIRM,,F,,,True,S7_0train_tongue,72,2.6047068634355378e-10,
BNCI2014_001,AIRM,,F,,,True,S7_1test_marginal,288,3.5699131967710313e-10,
BNCI2014_001,AIRM,,F,,,True,S7_1test_left_hand,72,3.4938688161903139e-10,
BNCI2014_001,AIRM,,F,,,True,S7_1test_right_hand,72,3.4849159566426633e-10,
BNCI2014_001,AIRM,,F,,,True,S7_1test_feet,72,3.2757647533696488e-10,
BNCI2014_001,AIRM,,F,,,True,S7_1test_tongue,72,3.3693050102943444e-10,
BNCI2014_001,AIRM,,F,,,True,S8_0train_marginal,288,2.1405616688352284e-10,
