identity,start_index,prototype_initial_step_size,initial_trial_position,cell_configuration_sha256,initial_prototype_sha256,outer_iteration,joint_final_block_objective,aligned_registration_objective,projected_prototype_gradient_norm,relative_objective_change,prototype_inner_iterations,prototype_accepted_step_sizes,prototype_backtracking_reductions,prototype_total_backtracking_reductions,final_prototype_line_search_step_size,changed_trial_permutations,registration_objective_minimum,registration_objective_median,registration_objective_mean,registration_objective_maximum,consecutive_prototype_quotient_distance,prototype_constraint_residual,convergence_boolean,elapsed_seconds
1|0train|left_hand|Full,0,4.0,0,1f775f813c0e634327519322a5e1e8db7f34f91a034b737a6ef327283ea4914b,42fbff415a91b8fec4941c827338c4e5057dbd8df0e783c617fbd72662eed8f7,86,3.1717628635853896,3.1718091241896036,1.616914812113169e-06,2.8095027762874158e-05,15,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,0.0]","[0,0,0,0,0,0,0,0,0,1,0,0,0,1,0]",2,0.0,0,1.951157418830828,2.9517596321752424,3.1718091241896036,5.382191839323503,0.006736256193846873,2.4278548763498476e-14,False,8.21996433287859
1|0train|left_hand|Full,0,4.0,0,1f775f813c0e634327519322a5e1e8db7f34f91a034b737a6ef327283ea4914b,42fbff415a91b8fec4941c827338c4e5057dbd8df0e783c617fbd72662eed8f7,87,3.1716678225233452,3.171715561287141,1.2492064254790818e-06,2.9964743939574436e-05,16,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,0.0]","[0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0]",2,0.0,0,1.9505653361002537,2.9512353554341475,3.171715561287141,5.382786054730684,0.006845444157390884,2.416695347031726e-14,False,8.380638458998874
1|0train|left_hand|Full,0,4.0,0,1f775f813c0e634327519322a5e1e8db7f34f91a034b737a6ef327283ea4914b,42fbff415a91b8fec4941c827338c4e5057dbd8df0e783c617fbd72662eed8f7,88,3.1715822472813797,3.1716232907611905,1.9054777495613353e-05,2.698114895822376e-05,13,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,0.0]","[0,0,0,0,0,0,0,0,0,0,1,0,0]",1,0.0,0,1.9497869971836423,2.950855808266242,3.1716232907611905,5.3834098385476965,0.006358162436008253,2.4850778179093405e-14,False,8.201800459064543
1|0train|left_hand|Full,0,4.0,0,1f775f813c0e634327519322a5e1e8db7f34f91a034b737a6ef327283ea4914b,42fbff415a91b8fec4941c827338c4e5057dbd8df0e783c617fbd72662eed8f7,89,3.1715134259692883,3.1715457532253435,1.9057012529617396e-05,2.169936225062342e-05,12,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,0.0]","[0,0,0,0,0,0,0,0,0,0,1,0]",1,0.0,0,1.9489884738877126,2.9506224564170234,3.1715457532253435,5.383797204265069,0.005618105935601999,2.5481049152029813e-14,False,8.021437625167891
1|0train|left_hand|Full,0,4.0,0,1f775f813c0e634327519322a5e1e8db7f34f91a034b737a6ef327283ea4914b,42fbff415a91b8fec4941c827338c4e5057dbd8df0e783c617fbd72662eed8f7,90,3.1714597787218457,3.171485122604194,1.6176611807945745e-05,1.6915346157242298e-05,12,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,0.0]","[0,0,0,0,0,0,0,0,0,0,1,0]",1,0.0,0,1.9482641631673172,2.9504772910936157,3.171485122604194,5.383874831324782,0.004974960610976069,2.4119611409846722e-14,False,7.877861374989152
1|0train|left_hand|Full,0,4.0,0,1f775f813c0e634327519322a5e1e8db7f34f91a034b737a6ef327283ea4914b,42fbff415a91b8fec4941c827338c4e5057dbd8df0e783c617fbd72662eed8f7,91,3.1714168349034972,3.1714372851112858,1.1201182843667283e-05,1.3540710380936686e-05,13,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,0.0]","[0,0,0,0,0,0,0,0,0,0,0,1,0]",1,0.0,0,1.9476198373521956,2.9503859530044068,3.1714372851112858,5.383695607353073,0.004488701421373701,2.715332455240603e-14,False,7.915196875110269
1|0train|left_hand|Full,0,4.0,0,1f775f813c0e634327519322a5e1e8db7f34f91a034b737a6ef327283ea4914b,42fbff415a91b8fec4941c827338c4e5057dbd8df0e783c617fbd72662eed8f7,92,3.171381070235282,3.171398174422426,9.795470183390669e-06,1.1277189369056686e-05,13,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,0.0]","[0,0,0,0,0,0,0,0,0,0,0,1,0]",1,0.0,0,1.947043294511338,2.950329283039227,3.171398174422426,5.383333272912976,0.004105293569113209,2.6004695156602546e-14,False,7.955466707935557
1|0train|left_hand|Full,0,4.0,0,1f775f813c0e634327519322a5e1e8db7f34f91a034b737a6ef327283ea4914b,42fbff415a91b8fec4941c827338c4e5057dbd8df0e783c617fbd72662eed8f7,93,3.1713504617727657,3.1713652037839077,8.704972054752063e-06,9.6514615677684e-06,13,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,0.0]","[0,0,0,0,0,0,0,0,0,0,0,1,0]",1,0.0,0,1.9465308016242193,2.9502938942335484,3.1713652037839077,5.382857473671538,0.0038114433631640065,2.3430910120456916e-14,False,7.894475040957332
1|0train|left_hand|Full,0,4.0,0,1f775f813c0e634327519322a5e1e8db7f34f91a034b737a6ef327283ea4914b,42fbff415a91b8fec4941c827338c4e5057dbd8df0e783c617fbd72662eed8f7,94,3.1713236517750234,3.171336631136676,7.81206489444204e-06,8.453811102071504e-06,13,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,0.0]","[0,0,0,0,0,0,0,0,0,0,0,1,0]",1,0.0,0,1.9460783214762223,2.9502743048914146,3.171336631136676,5.382321817602723,0.003576448552450628,2.231079253559097e-14,False,7.84080341598019
1|0train|left_hand|Full,0,4.0,0,1f775f813c0e634327519322a5e1e8db7f34f91a034b737a6ef327283ea4914b,42fbff415a91b8fec4941c827338c4e5057dbd8df0e783c617fbd72662eed8f7,95,3.1712994619943666,3.1713113060696023,5.654115163409841e-06,7.627660659368516e-06,14,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,0.0]","[0,0,0,0,0,0,0,0,0,0,0,0,1,0]",1,0.0,0,1.9456876180242524,2.9502697633936923,3.1713113060696023,5.381763542588056,0.003407220880238494,2.4753417303088992e-14,False,7.982683540787548
1|0train|left_hand|Full,0,4.0,0,1f775f813c0e634327519322a5e1e8db7f34f91a034b737a6ef327283ea4914b,42fbff415a91b8fec4941c827338c4e5057dbd8df0e783c617fbd72662eed8f7,96,3.1712551852921194,3.171286744494879,4.983650956950736e-06,1.3961690713189654e-05,16,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,0.0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0]",1,0.0,0,1.9453671242453978,2.950289959670015,3.171286744494879,5.38120295731345,0.005566823422166213,2.5348825135457673e-14,False,8.386334292124957
