subject,outer_fold,rank,delta_forward,delta_reverse,delta_average
52,1,5,0.25588766734914609,0.27529859348502911,0.2655931304170876
53,4,5,0.10833760836797882,-0.036459423917271139,0.035939092225353839
54,1,5,0.088125229017522733,0.13512798330993442,0.11162660616372858
1,2,8,0.12592145137834099,0.28180082127395978,0.20386113632615038
2,3,8,-0.084371292332754241,-0.15209453042060581,-0.11823291137668002
3,4,8,-0.38400927563643117,-0.20011732357517092,-0.29206329960580102
4,0,8,-0.22170174113799015,-0.075422093646796251,-0.14856191739239322
5,5,8,-0.099550609544229118,-0.19235683813866086,-0.145953723841445
6,5,8,0.31512017389826996,0.0023382636644579957,0.15872921878136398
7,4,8,0.045444209155804147,0.13306901718999037,0.089256613172897264
8,2,8,0.035097110384148866,0.18965724263847736,0.11237717651131311
9,2,8,-0.054026028619360567,-0.24365035671888016,-0.14883819266912035
10,0,8,-0.0025421111070167215,0.0088095789317199635,0.003133733912351621
11,0,8,0.010492564307655883,0.35090150303807965,0.18069703367286777
12,3,8,0.048109805470351943,0.082416194049090716,0.06526299975972133
13,3,8,-0.03542218373555088,0.085437897220070141,0.025007856742259631
14,2,8,-0.19047064501497779,-0.06691898830454103,-0.1286948166597594
15,4,8,-0.12030375036686433,-0.022710813571103626,-0.071507281968983982
16,1,8,0.26877667901467261,0.03438985501386943,0.15158326701427102
17,2,8,-0.69556572427987107,-0.5205324044480415,-0.60804906436395623
18,0,8,-0.1172735039834607,-0.15719896788828538,-0.13723623593587303
19,2,8,0.15192247835734213,0.11185126642094681,0.13188687238914448
20,3,8,-0.045417495659923202,-0.016338748816082022,-0.030878122238002612
21,3,8,0.3318651065789941,0.57907719250247303,0.45547114954073353
22,4,8,0.040315335704507266,-0.0060925943048831949,0.017111370699812035
23,4,8,-0.47519723565368194,-0.021436424637341689,-0.24831683014551181
24,5,8,0.070042673617290302,0.074113171129980712,0.0720779223736355
25,3,8,-0.0028525314407328514,-0.046458062152855556,-0.024655296796794204
