subject,outer_fold,session,delta_forward,delta_reverse,delta_average
32,3,0,1.0304960134899952,0.993469135788831,1.0119825746394131
33,4,0,0.56490109957341783,0.61191598736012975,0.58840854346677385
34,5,0,-0.35583575873599427,-0.3299095373137973,-0.34287264802489581
35,4,0,0.34290560159167671,0.29392955593069231,0.31841757876118448
36,1,0,1.1002678679902393,1.0035392916785346,1.051903579834387
37,0,0,0.76945952308955179,0.90775707039682052,0.83860829674318615
38,1,0,-0.046290977260254398,-0.022161587720100726,-0.034226282490177562
39,3,0,-0.068305574353451484,-0.16571082014696931,-0.11700819725021039
40,2,0,0.064473428822785811,0.28332070842578122,0.1738970686242835
41,3,0,0.27388048611682614,0.3743910969420618,0.32413579152944394
42,2,0,0.64487196583328577,0.48657838147171723,0.56572517365250152
43,0,0,0.34579921881071873,0.38750707454076178,0.36665314667574023
44,5,0,0.96937392827894131,0.95992385692808568,0.9646488926035135
45,0,0,0.90083483555538735,0.84921485020335619,0.87502484287937177
46,0,0,0.3122426132369272,0.44671918996428422,0.37948090160060571
47,5,0,0.31170923155511115,0.28947468026362255,0.30059195590936683
48,5,0,0.48768167622319702,0.49800562230865686,0.49284364926592694
49,1,0,0.13632474114440046,0.027704156928773118,0.082014449036586792
50,2,0,0.49969114664070396,0.48034716523468474,0.49001915593769435
51,1,0,-0.044445328584656267,-0.062356849148414835,-0.053401088866535551
52,1,0,0.3676821040297108,0.34360894250531282,0.35564552326751181
53,4,0,0.41012881373891175,0.60402823343578893,0.50707852358735028
54,1,0,0.49403289567631015,0.45246825588887918,0.47325057578259466
1,2,1,0.16720657991841487,0.24220249056992513,0.20470453524416998
2,3,1,0.39228249280436844,0.37670163530842732,0.38449206405639791
3,4,1,0.54667117558437384,0.84490507305963014,0.69578812432200199
4,0,1,0.29144809503254038,0.32363360206842007,0.30754084855048025
5,5,1,0.3665288560639347,0.16431237249970743,0.26542061428182107
6,5,1,0.45758938455742393,0.31891161555552339,0.38825050005647366
7,4,1,0.37572467925525249,0.19688329976812879,0.28630398951169067
8,2,1,-0.028994815036091824,-0.029956168293614117,-0.029475491664852971
9,2,1,0.085379856623886127,-0.079618440800198906,0.0028807079118436107
10,0,1,0.32991831360662821,0.37662948455058914,0.35327389907860868
11,0,1,0.47004110834455737,0.4234038921548986,0.44672250024972798
12,3,1,0.51408723636259579,0.45320482081564895,0.48364602858912237
13,3,1,0.52131327351557655,0.48916237592586131,0.50523782472071899
14,2,1,-0.46587983694424889,-0.43295555153287846,-0.4494176942385637
15,4,1,0.67877601443976332,0.44590742008092593,0.56234171726034465
16,1,1,0.66054091111861235,0.4668911845126088,0.56371604781561058
17,2,1,0.2907462266951526,0.18954885659824164,0.2401475416466971
18,0,1,0.75197425938017715,0.7815477317336863,0.76676099555693167
19,2,1,-0.052499435576436659,0.13688200011956125,0.042191282271562297
20,3,1,0.56321933068303254,0.48798885338433251,0.52560409203368252
21,3,1,0.95875208883796026,0.99095083045601295,0.97485145964698661
