subject,outer_fold,rank,delta_forward,delta_reverse,delta_average
35,4,5,0.080498514397718338,0.14938935261941721,0.11494393350856777
36,1,5,5.5025467746113357,5.1211161628785415,5.3118314687449386
37,0,5,0.76245895108541839,0.84310714997780822,0.80278305053161336
38,1,5,0.098585193567944721,0.17696689219568174,0.13777604288181322
39,3,5,-0.1366079328199887,-0.14546801910265872,-0.14103797596132372
40,2,5,0.031209311526824421,0.12608957408940374,0.078649442808114089
41,3,5,0.080723307711626363,0.0088861991419193626,0.044804753426772863
42,2,5,-0.11251034982226465,-0.12947859205634113,-0.12099447093930289
43,0,5,-0.13474311248463972,-0.19989957035028222,-0.16732134141746097
44,5,5,0.72212817346056368,0.85375813345718976,0.78794315345887678
45,0,5,0.20866496447595573,0.6948438482241629,0.45175440635005931
46,0,5,0.11041580452746988,0.050567375538112594,0.080491590032791244
47,5,5,-0.0044196076595324069,0.01421855763588728,0.0048994749881774366
48,5,5,0.0077897873023310416,0.017424576654230584,0.012607181978280813
49,1,5,0.087697700836578768,0.14998470434910566,0.11884120259284221
50,2,5,0.13756686883316949,0.053504599216510171,0.095535734024839836
51,1,5,0.13043598020013347,0.20209795393254859,0.16626696706634103
52,1,5,0.011139156448792469,-0.088447039562769475,-0.038653941556988501
53,4,5,-0.07634914181758537,-0.061336436865741244,-0.06884278934166331
54,1,5,0.13594507507403006,0.32212722938189314,0.22903615222796159
1,2,8,0.19958624882186235,0.34947276210710509,0.27452950546448374
2,3,8,-0.05046771632203588,-0.069210648588483442,-0.059839182455259661
3,4,8,0.56512948201962776,0.45480662358037299,0.50996805280000035
4,0,8,0.09399037456806425,0.046937393387535657,0.070463883977799957
5,5,8,0.038353985354386486,0.044748950535062781,0.041551467944724634
6,5,8,0.043557770591621699,0.12288361984392081,0.083220695217771257
7,4,8,-0.081935410565254538,-0.18856883976895658,-0.13525212516710555
8,2,8,0.063681501450729622,0.018260591195648025,0.04097104632318882
9,2,8,0.096706884580658764,0.084652671109012478,0.090679777844835621
