dataset,direction,outer_fold,subject,method,balanced_accuracy,macro_f1,accuracy,nll,brier,ece10,kappa,recall_left_hand,recall_right_hand
openbmi,reverse,0,45,ORACLE_CONTINUOUS_KAPPA,0.66999999999999993,0.66837503768465478,0.67000000000000004,0.56249817538324998,0.38793557358041203,0.067995168148830762,0.89000000000000001,0.59999999999999998,0.73999999999999999
openbmi,reverse,0,45,POPULATION_ONLY,0.54000000000000004,0.5398159263705482,0.54000000000000004,0.62419413324465611,0.43897577285973532,0.20137752975725556,,0.52000000000000002,0.56000000000000005
openbmi,reverse,0,45,IDENTITY_RESIDUAL_CARRY,0.66999999999999993,0.66837503768465478,0.67000000000000004,0.5613058015986806,0.38605126580375776,0.077384871187214918,,0.59999999999999998,0.73999999999999999
openbmi,reverse,0,45,PAST_PROTOTYPE_DIRECT,0.62000000000000011,0.6186270574066639,0.62,0.6203622608834416,0.43200100820710063,0.14728993211466185,,0.56000000000000005,0.68000000000000005
openbmi,reverse,0,45,LRCM_HISTORICAL_CONTROL,0.54000000000000004,0.5398159263705482,0.54000000000000004,0.62240492768211708,0.43793308128616276,0.2073001849152151,,0.52000000000000002,0.56000000000000005
openbmi,reverse,0,46,SELECTIVE_GATE,0.64999999999999991,0.64912280701754388,0.65000000000000002,0.62347916641122658,0.43384506808191481,0.055064047469130475,0.24091506178666719,0.59999999999999998,0.69999999999999996
openbmi,reverse,0,46,GLOBAL_KAPPA,0.64000000000000001,0.63942307692307687,0.64000000000000001,0.62415476691322058,0.43436199322777808,0.051554074809414291,0.20000000000000001,0.59999999999999998,0.68000000000000005
openbmi,reverse,0,46,FIXED_RELIABILITY_KAPPA,0.64999999999999991,0.64912280701754388,0.65000000000000002,0.6233375744940659,0.43374690824484069,0.070145207395770084,0.2546150376480909,0.59999999999999998,0.69999999999999996
openbmi,reverse,0,46,CLASSWISE_SELECTIVE_GATE,0.64999999999999991,0.64912280701754388,0.65000000000000002,0.62333756504190085,0.43374686452930417,0.070144715551865078,0.2546150376480909,0.59999999999999998,0.69999999999999996
openbmi,reverse,0,46,ORACLE_CONTINUOUS_KAPPA,0.64999999999999991,0.64912280701754388,0.65000000000000002,0.62349012765966738,0.43385294053551576,0.055122893084987946,0.23999999999999999,0.59999999999999998,0.69999999999999996
openbmi,reverse,0,46,POPULATION_ONLY,0.64000000000000001,0.63942307692307687,0.64000000000000001,0.63308443588667895,0.44218689374578529,0.069834375971546001,,0.59999999999999998,0.68000000000000005
openbmi,reverse,0,46,IDENTITY_RESIDUAL_CARRY,0.64000000000000001,0.63942307692307687,0.64000000000000001,0.67094190933500775,0.46467433479648063,0.093714751010720715,,0.59999999999999998,0.68000000000000005
openbmi,reverse,0,46,PAST_PROTOTYPE_DIRECT,0.66999999999999993,0.6697027324592133,0.67000000000000004,0.6772009754681747,0.46711925670608168,0.13787614330585204,,0.64000000000000001,0.69999999999999996
openbmi,reverse,0,46,LRCM_HISTORICAL_CONTROL,0.63,0.62966670003002712,0.63,0.63390708252980832,0.44289968265640622,0.0803940802679287,,0.59999999999999998,0.66000000000000003
