dataset,direction,subject,identity_balanced_accuracy,population_balanced_accuracy,oracle_balanced_accuracy,oracle_gain_over_identity,selected_method,oracle_recall_right_hand,identity_recall_right_hand,oracle_recall_left_hand,identity_recall_left_hand,oracle_recall_both_hand,identity_recall_both_hand,oracle_recall_rest,identity_recall_rest
stieger,reverse,13,0.27424812030075191,0.30620300751879698,0.30620300751879698,0.031954887218045069,POPULATION_ONLY,0.052631578947368418,0.47368421052631576,0.52631578947368418,0.34210526315789475,0.13157894736842105,0.052631578947368418,0.51428571428571423,0.22857142857142856
stieger,reverse,14,0.41228070175438591,0.38377192982456143,0.41228070175438591,0,IDENTITY_RESIDUAL_CARRY,0.42105263157894735,0.42105263157894735,0.13157894736842105,0.13157894736842105,0.33333333333333331,0.33333333333333331,0.76315789473684215,0.76315789473684215
stieger,reverse,15,0.36593172119487904,0.34655049786628733,0.36593172119487904,0,IDENTITY_RESIDUAL_CARRY,0.35135135135135137,0.35135135135135137,0.57894736842105265,0.57894736842105265,0.26315789473684209,0.26315789473684209,0.27027027027027029,0.27027027027027029
stieger,reverse,16,0.31312233285917501,0.2983641536273115,0.31312233285917501,0,IDENTITY_RESIDUAL_CARRY,0.40540540540540543,0.40540540540540543,0.42105263157894735,0.42105263157894735,0.1891891891891892,0.1891891891891892,0.23684210526315788,0.23684210526315788
stieger,reverse,17,0.3655761024182077,0.42371977240398295,0.42371977240398295,0.058143669985775248,POPULATION_ONLY,0.16216216216216217,0.10810810810810811,0.47368421052631576,0.15789473684210525,0.24324324324324326,0.45945945945945948,0.81578947368421051,0.73684210526315785
stieger,reverse,18,0.23179429429429432,0.30123873873873874,0.30123873873873874,0.06944444444444442,POPULATION_ONLY,0.083333333333333329,0.083333333333333329,0.027027027027027029,0.32432432432432434,0.5,0.22222222222222221,0.59459459459459463,0.29729729729729731
stieger,reverse,19,0.3600146198830409,0.41191520467836262,0.41191520467836262,0.051900584795321725,POPULATION_ONLY,0.42105263157894735,0.34210526315789475,0.52631578947368418,0.26315789473684209,0.30555555555555558,0.3611111111111111,0.39473684210526316,0.47368421052631576
stieger,reverse,20,0.28556187766714081,0.27880512091038406,0.28556187766714081,0,IDENTITY_RESIDUAL_CARRY,0.27027027027027029,0.27027027027027029,0.47368421052631576,0.47368421052631576,0.13513513513513514,0.13513513513513514,0.26315789473684209,0.26315789473684209
stieger,reverse,21,0.32110617670962494,0.25073186711117745,0.32110617670962494,0,IDENTITY_RESIDUAL_CARRY,0.037037037037037035,0.037037037037037035,0.75,0.75,0.39393939393939392,0.39393939393939392,0.10344827586206896,0.10344827586206896
stieger,reverse,22,0.30771890311363992,0.19424687845740476,0.30771890311363992,0,IDENTITY_RESIDUAL_CARRY,0.16216216216216217,0.16216216216216217,0.13157894736842105,0.13157894736842105,0.30555555555555558,0.30555555555555558,0.63157894736842102,0.63157894736842102
stieger,reverse,23,0.42656472261735423,0.38104551920341395,0.42656472261735423,0,IDENTITY_RESIDUAL_CARRY,0.60526315789473684,0.60526315789473684,0.32432432432432434,0.32432432432432434,0.26315789473684209,0.26315789473684209,0.51351351351351349,0.51351351351351349
stieger,reverse,24,0.44007823613086772,0.37393314366998576,0.44007823613086772,0,IDENTITY_RESIDUAL_CARRY,0.44736842105263158,0.44736842105263158,0.27027027027027029,0.27027027027027029,0.42105263157894735,0.42105263157894735,0.6216216216216216,0.6216216216216216
stieger,reverse,25,0.29934210526315785,0.34722222222222221,0.34722222222222221,0.047880116959064356,POPULATION_ONLY,0.28947368421052633,0.26315789473684209,0.3888888888888889,0.25,0.10526315789473684,0.34210526315789475,0.60526315789473684,0.34210526315789475
stieger,reverse,26,0.54587482219061167,0.50035561877667134,0.54587482219061167,0,IDENTITY_RESIDUAL_CARRY,0.57894736842105265,0.57894736842105265,0.43243243243243246,0.43243243243243246,0.63157894736842102,0.63157894736842102,0.54054054054054057,0.54054054054054057
stieger,reverse,27,0.23275248933143672,0.29907539118065435,0.29907539118065435,0.06632290184921763,POPULATION_ONLY,0.054054054054054057,0.21621621621621623,0.13157894736842105,0.26315789473684209,0.40540540540540543,0.16216216216216217,0.60526315789473684,0.28947368421052633
stieger,reverse,28,0.46235380116959057,0.43640350877192979,0.46235380116959057,0,IDENTITY_RESIDUAL_CARRY,0.31578947368421051,0.31578947368421051,0.36842105263157893,0.36842105263157893,0.52631578947368418,0.52631578947368418,0.63888888888888884,0.63888888888888884
stieger,reverse,29,0.26608187134502925,0.28581871345029242,0.28581871345029242,0.019736842105263164,POPULATION_ONLY,0.22222222222222221,0.22222222222222221,0.28947368421052633,0.39473684210526316,0.26315789473684209,0.15789473684210525,0.36842105263157893,0.28947368421052633
stieger,reverse,30,0.59459459459459463,0.56027738264580373,0.59459459459459463,0,IDENTITY_RESIDUAL_CARRY,0.42105263157894735,0.42105263157894735,0.59459459459459463,0.59459459459459463,0.78378378378378377,0.78378378378378377,0.57894736842105265,0.57894736842105265
stieger,reverse,31,0.26511379800853485,0.26706970128022761,0.26706970128022761,0.0019559032716927605,POPULATION_ONLY,0.052631578947368418,0.36842105263157893,0.10810810810810811,0.16216216216216217,0.48648648648648651,0.13513513513513514,0.42105263157894735,0.39473684210526316
stieger,reverse,32,0.2892958748221906,0.31685633001422475,0.31685633001422475,0.02756045519203415,POPULATION_ONLY,0.10526315789473684,0.18421052631578946,0.24324324324324326,0.081081081081081086,0.40540540540540543,0.45945945945945948,0.51351351351351349,0.43243243243243246
stieger,reverse,33,0.24679943100995733,0.21354907539118065,0.24679943100995733,0,IDENTITY_RESIDUAL_CARRY,0.26315789473684209,0.26315789473684209,0.43243243243243246,0.43243243243243246,0.081081081081081086,0.081081081081081086,0.21052631578947367,0.21052631578947367
stieger,reverse,34,0.26371034900446666,0.31225427107780046,0.31225427107780046,0.048543922073333801,POPULATION_ONLY,0.25714285714285712,0.17142857142857143,0.35135135135135137,0.43243243243243246,0.1111111111111111,0.33333333333333331,0.52941176470588236,0.11764705882352941
stieger,reverse,35,0.44274537695590321,0.38833570412517782,0.44274537695590321,0,IDENTITY_RESIDUAL_CARRY,0.21621621621621623,0.21621621621621623,0.47368421052631576,0.47368421052631576,0.45945945945945948,0.45945945945945948,0.6216216216216216,0.6216216216216216
stieger,reverse,36,0.38780227596017069,0.36539829302987198,0.38780227596017069,0,IDENTITY_RESIDUAL_CARRY,0.43243243243243246,0.43243243243243246,0.51351351351351349,0.51351351351351349,0.15789473684210525,0.15789473684210525,0.44736842105263158,0.44736842105263158
stieger,reverse,37,0.40058479532163738,0.46637426900584794,0.46637426900584794,0.065789473684210564,POPULATION_ONLY,0.10526315789473684,0.21052631578947367,0.44444444444444442,0.44444444444444442,0.39473684210526316,0.31578947368421051,0.92105263157894735,0.63157894736842102
stieger,reverse,38,0.42478662873399714,0.33357041251778097,0.42478662873399714,0,IDENTITY_RESIDUAL_CARRY,0.3783783783783784,0.3783783783783784,0.63157894736842102,0.63157894736842102,0.1891891891891892,0.1891891891891892,0.5,0.5
stieger,reverse,39,0.45723684210526316,0.41666666666666663,0.45723684210526316,0,IDENTITY_RESIDUAL_CARRY,0.42105263157894735,0.42105263157894735,0.57894736842105265,0.57894736842105265,0.25,0.25,0.57894736842105265,0.57894736842105265
stieger,reverse,40,0.25488975817923187,0.20774063537221432,0.25488975817923187,0,IDENTITY_RESIDUAL_CARRY,0.10526315789473684,0.10526315789473684,0.25,0.25,0.42105263157894735,0.42105263157894735,0.24324324324324326,0.24324324324324326
stieger,reverse,41,0.27969416785206258,0.29445234708392604,0.29445234708392604,0.014758179231863455,POPULATION_ONLY,0.13157894736842105,0.21052631578947367,0.28947368421052633,0.39473684210526316,0.32432432432432434,0.16216216216216217,0.43243243243243246,0.35135135135135137
stieger,reverse,42,0.24159356725146197,0.25109649122807015,0.25109649122807015,0.0095029239766081797,POPULATION_ONLY,0.083333333333333329,0.3611111111111111,0.28947368421052633,0.34210526315789475,0.18421052631578946,0.13157894736842105,0.44736842105263158,0.13157894736842105
stieger,reverse,43,0.32981665876402716,0.21394420736525999,0.32981665876402716,0,IDENTITY_RESIDUAL_CARRY,0.44444444444444442,0.44444444444444442,0.21052631578947367,0.21052631578947367,0.42105263157894735,0.42105263157894735,0.24324324324324326,0.24324324324324326
