outer_fold,inner_fold,method,l2,kappa,mean_balanced_accuracy
2,0,GLOBAL_KAPPA,,0.20000000000000001,0.32630786438352227
2,0,GLOBAL_KAPPA,,0.29999999999999999,0.3311401488210699
2,0,GLOBAL_KAPPA,,0.40000000000000002,0.33512289951434687
2,0,GLOBAL_KAPPA,,0.5,0.34239594494528708
2,0,GLOBAL_KAPPA,,0.59999999999999998,0.33932469187403397
2,0,GLOBAL_KAPPA,,0.69999999999999996,0.33796968106178638
2,0,GLOBAL_KAPPA,,0.80000000000000004,0.34393707189759826
2,0,GLOBAL_KAPPA,,0.90000000000000002,0.34380678097783363
2,0,GLOBAL_KAPPA,,1,0.35048630739420211
2,1,SELECTIVE_GATE,0.0001,,0.3267868175762913
2,1,SELECTIVE_GATE,0.001,,0.34220063364800207
2,1,SELECTIVE_GATE,0.01,,0.35286208970419497
2,1,SELECTIVE_GATE,0.10000000000000001,,0.34667198811935651
2,1,SELECTIVE_GATE,1,,0.3459912834912835
2,1,SELECTIVE_GATE,10,,0.34476278226278223
2,1,GLOBAL_KAPPA,,0,0.32333749504802128
2,1,GLOBAL_KAPPA,,0.10000000000000001,0.34102698905330486
2,1,GLOBAL_KAPPA,,0.20000000000000001,0.3503574918048602
2,1,GLOBAL_KAPPA,,0.29999999999999999,0.34701046740520425
2,1,GLOBAL_KAPPA,,0.40000000000000002,0.35039595302753196
2,1,GLOBAL_KAPPA,,0.5,0.35087354955776012
2,1,GLOBAL_KAPPA,,0.59999999999999998,0.33766138831928311
2,1,GLOBAL_KAPPA,,0.69999999999999996,0.33934870448028343
2,1,GLOBAL_KAPPA,,0.80000000000000004,0.33988115764431553
2,1,GLOBAL_KAPPA,,0.90000000000000002,0.34473050459892562
2,1,GLOBAL_KAPPA,,1,0.34529626174363015
2,2,SELECTIVE_GATE,0.0001,,0.3435603366524419
2,2,SELECTIVE_GATE,0.001,,0.35949107001738584
2,2,SELECTIVE_GATE,0.01,,0.35940117749328276
2,2,SELECTIVE_GATE,0.10000000000000001,,0.35477714556661927
2,2,SELECTIVE_GATE,1,,0.35280346135609297
2,2,SELECTIVE_GATE,10,,0.35280346135609297
2,2,GLOBAL_KAPPA,,0,0.35625691480954641
2,2,GLOBAL_KAPPA,,0.10000000000000001,0.35554271376639796
2,2,GLOBAL_KAPPA,,0.20000000000000001,0.36135510510510505
2,2,GLOBAL_KAPPA,,0.29999999999999999,0.36663801959854592
2,2,GLOBAL_KAPPA,,0.40000000000000002,0.3660364311680101
2,2,GLOBAL_KAPPA,,0.5,0.3553332938201359
2,2,GLOBAL_KAPPA,,0.59999999999999998,0.34804409672830727
2,2,GLOBAL_KAPPA,,0.69999999999999996,0.33991623202149518
2,2,GLOBAL_KAPPA,,0.80000000000000004,0.32837047573889677
2,2,GLOBAL_KAPPA,,0.90000000000000002,0.32372866287339974
2,2,GLOBAL_KAPPA,,1,0.3197812944523471
2,3,SELECTIVE_GATE,0.0001,,0.38390034771613718
2,3,SELECTIVE_GATE,0.001,,0.39327090248142882
2,3,SELECTIVE_GATE,0.01,,0.3892711790738107
2,3,SELECTIVE_GATE,0.10000000000000001,,0.38369487908961591
2,3,SELECTIVE_GATE,1,,0.38026019440493125
2,3,SELECTIVE_GATE,10,,0.37963884937569142
2,3,GLOBAL_KAPPA,,0,0.37724039829302985
2,3,GLOBAL_KAPPA,,0.10000000000000001,0.38402876560771293
2,3,GLOBAL_KAPPA,,0.20000000000000001,0.3762219456298404
2,3,GLOBAL_KAPPA,,0.29999999999999999,0.38312193772720088
2,3,GLOBAL_KAPPA,,0.40000000000000002,0.37524498182392918
2,3,GLOBAL_KAPPA,,0.5,0.37926347400031613
2,3,GLOBAL_KAPPA,,0.59999999999999998,0.37535166745693066
2,3,GLOBAL_KAPPA,,0.69999999999999996,0.37680871661134818
2,3,GLOBAL_KAPPA,,0.80000000000000004,0.3768788525367473
2,3,GLOBAL_KAPPA,,0.90000000000000002,0.37689663347558089
2,3,GLOBAL_KAPPA,,1,0.37227457720878776
2,4,SELECTIVE_GATE,0.0001,,0.35320872730315456
2,4,SELECTIVE_GATE,0.001,,0.35390218391766382
2,4,SELECTIVE_GATE,0.01,,0.35934315120073634
2,4,SELECTIVE_GATE,0.10000000000000001,,0.35996350840004088
2,4,SELECTIVE_GATE,1,,0.35676465109514643
2,4,SELECTIVE_GATE,10,,0.35585939544143874
2,4,GLOBAL_KAPPA,,0,0.33914104119599481
2,4,GLOBAL_KAPPA,,0.10000000000000001,0.34445777765824204
2,4,GLOBAL_KAPPA,,0.20000000000000001,0.36732684918443431
2,4,GLOBAL_KAPPA,,0.29999999999999999,0.3719465811454975
2,4,GLOBAL_KAPPA,,0.40000000000000002,0.37742929129926034
2,4,GLOBAL_KAPPA,,0.5,0.38176834840147533
2,4,GLOBAL_KAPPA,,0.59999999999999998,0.37650751481246836
2,4,GLOBAL_KAPPA,,0.69999999999999996,0.37948326533078858
2,4,GLOBAL_KAPPA,,0.80000000000000004,0.38094130231514128
2,4,GLOBAL_KAPPA,,0.90000000000000002,0.38099993292717749
2,4,GLOBAL_KAPPA,,1,0.38094461445080641
3,0,SELECTIVE_GATE,0.0001,,0.34095246562351822
3,0,SELECTIVE_GATE,0.001,,0.35167535957009644
3,0,SELECTIVE_GATE,0.01,,0.345627864706812
3,0,SELECTIVE_GATE,0.10000000000000001,,0.34491563932353408
3,0,SELECTIVE_GATE,1,,0.34628477161371896
3,0,SELECTIVE_GATE,10,,0.34633910226015496
3,0,GLOBAL_KAPPA,,0,0.33789513197407933
3,0,GLOBAL_KAPPA,,0.10000000000000001,0.3397423739529003
3,0,GLOBAL_KAPPA,,0.20000000000000001,0.34557254623044098
3,0,GLOBAL_KAPPA,,0.29999999999999999,0.34485735735735734
3,0,GLOBAL_KAPPA,,0.40000000000000002,0.34884028765607711
3,0,GLOBAL_KAPPA,,0.5,0.35485024498182394
3,0,GLOBAL_KAPPA,,0.59999999999999998,0.35485123281175912
3,0,GLOBAL_KAPPA,,0.69999999999999996,0.35695135925399091
3,0,GLOBAL_KAPPA,,0.80000000000000004,0.35019460249723411
3,0,GLOBAL_KAPPA,,0.90000000000000002,0.34621266002844953
3,0,GLOBAL_KAPPA,,1,0.3454461039987356
3,1,SELECTIVE_GATE,0.0001,,0.38311007546688652
3,1,SELECTIVE_GATE,0.001,,0.38453255057357222
3,1,SELECTIVE_GATE,0.01,,0.38657735853943287
3,1,SELECTIVE_GATE,0.10000000000000001,,0.38136853129113196
3,1,SELECTIVE_GATE,1,,0.3873668986323785
3,1,SELECTIVE_GATE,10,,0.38909406697719395
3,1,GLOBAL_KAPPA,,0,0.34505293938343473
3,1,GLOBAL_KAPPA,,0.10000000000000001,0.38368866157178855
3,1,GLOBAL_KAPPA,,0.20000000000000001,0.39457463212881166
3,1,GLOBAL_KAPPA,,0.29999999999999999,0.40590117483693333
3,1,GLOBAL_KAPPA,,0.40000000000000002,0.40749234307283844
3,1,GLOBAL_KAPPA,,0.5,0.41007362736464897
3,1,GLOBAL_KAPPA,,0.59999999999999998,0.40931235913047059
