dataset,direction,outer_fold,subject,method,balanced_accuracy,macro_f1,accuracy,nll,brier,ece10,kappa,recall_right_hand,recall_left_hand,recall_both_hand,recall_rest
stieger,chronological,0,28,FIXED_RELIABILITY_KAPPA,0.50106685633001424,0.50259518155973382,0.5,1.5655514793728926,0.75058142898678715,0.21509140116732078,0.4709932265369533,0.36842105263157893,0.54054054054054057,0.47368421052631576,0.6216216216216216
stieger,chronological,0,28,CLASSWISE_SELECTIVE_GATE,0.50746799431009959,0.51223921006529705,0.50666666666666671,1.7158793480258798,0.76002573566005971,0.23190268166374278,0.4709932265369533,0.44736842105263158,0.54054054054054057,0.44736842105263158,0.59459459459459463
stieger,chronological,0,28,ORACLE_CONTINUOUS_KAPPA,0.51511379800853485,0.5088483620398514,0.51333333333333331,1.6684653205259286,0.75996863202721798,0.2243474840369466,0.64000000000000001,0.42105263157894735,0.67567567567567566,0.34210526315789475,0.6216216216216216
stieger,chronological,0,28,POPULATION_ONLY,0.39349217638691325,0.38393205603155828,0.39333333333333331,1.3420114315125717,0.71891703766076631,0.089408781664726766,,0.26315789473684209,0.21621621621621623,0.5,0.59459459459459463
stieger,chronological,0,28,IDENTITY_RESIDUAL_CARRY,0.48826458036984355,0.48053694273206471,0.48666666666666669,1.9052488169015003,0.77481705139527468,0.18877069284737727,,0.44736842105263158,0.6216216216216216,0.28947368421052633,0.59459459459459463
stieger,chronological,0,28,PAST_PROTOTYPE_DIRECT,0.46888335704125184,0.45350486627709857,0.46666666666666667,1.8691096515605863,0.78715613622149272,0.23018127325655455,,0.36842105263157893,0.67567567567567566,0.23684210526315788,0.59459459459459463
stieger,chronological,0,28,LRCM_HISTORICAL_CONTROL,0.40042674253200572,0.38945721118918064,0.40000000000000002,1.5486149461359233,0.773838141011845,0.19408761708006433,,0.21052631578947367,0.27027027027027029,0.52631578947368418,0.59459459459459463
stieger,chronological,0,37,SELECTIVE_GATE,0.46322309151256519,0.4278973407544836,0.46308724832214765,1.19225821842128,0.66048477871776079,0.10377043721130895,0.084101240776676842,0.24324324324324326,0.18421052631578946,0.58333333333333337,0.84210526315789469
stieger,chronological,0,37,GLOBAL_KAPPA,0.48259443654180495,0.45642857142857141,0.48322147651006714,1.2603860430192453,0.68564055580022754,0.15634292472650649,0.59999999999999998,0.24324324324324326,0.28947368421052633,0.55555555555555558,0.84210526315789469
stieger,chronological,0,37,FIXED_RELIABILITY_KAPPA,0.47601548917338388,0.44960278053624625,0.47651006711409394,1.2124778415202191,0.6715490740241431,0.15948367534534263,0.33303259711265387,0.24324324324324326,0.26315789473684209,0.55555555555555558,0.84210526315789469
stieger,chronological,0,37,CLASSWISE_SELECTIVE_GATE,0.46358858858858865,0.43758865248226952,0.46308724832214765,1.3008919764956379,0.70412292027210621,0.15146179082281411,0.33303259711265387,0.24324324324324326,0.23684210526315788,0.61111111111111116,0.76315789473684215
stieger,chronological,0,37,ORACLE_CONTINUOUS_KAPPA,0.50287458511142724,0.4825493815547609,0.50335570469798663,1.2938800629381291,0.6926290991273375,0.16736953208236655,0.75,0.27027027027027029,0.34210526315789475,0.58333333333333337,0.81578947368421051
stieger,chronological,0,37,POPULATION_ONLY,0.45627864706812071,0.42250500200080032,0.4563758389261745,1.1941745152953684,0.65916463636099853,0.067940404354684084,,0.24324324324324326,0.18421052631578946,0.55555555555555558,0.84210526315789469
stieger,chronological,0,37,IDENTITY_RESIDUAL_CARRY,0.48898569622253829,0.47439036098310294,0.48993288590604028,1.3555005556238331,0.70220205690637783,0.17682559481132462,,0.27027027027027029,0.39473684210526316,0.52777777777777779,0.76315789473684215
stieger,chronological,0,37,PAST_PROTOTYPE_DIRECT,0.47473131025762605,0.46020641949339125,0.47651006711409394,1.3243212315761661,0.69157520492370639,0.1633704348717116,,0.27027027027027029,0.42105263157894735,0.44444444444444442,0.76315789473684215
stieger,chronological,0,37,LRCM_HISTORICAL_CONTROL,0.44933420262367629,0.41656559531028903,0.44966442953020136,1.1955708819503652,0.66035778205130458,0.083377836132922725,,0.24324324324324326,0.18421052631578946,0.52777777777777779,0.84210526315789469
stieger,chronological,0,41,SELECTIVE_GATE,0.34283625730994149,0.30129624076201322,0.34000000000000002,1.5464065345566416,0.81681080167325115,0.23783430265471173,0.4289203558250913,0.13157894736842105,0.10526315789473684,0.55555555555555558,0.57894736842105265
stieger,chronological,0,41,GLOBAL_KAPPA,0.34941520467836262,0.31789811066126861,0.34666666666666668,1.6011886288499164,0.83494084184351758,0.23755552078926906,0.59999999999999998,0.13157894736842105,0.15789473684210525,0.55555555555555558,0.55263157894736847
stieger,chronological,0,41,FIXED_RELIABILITY_KAPPA,0.32309941520467839,0.26772807904883378,0.32000000000000001,1.4925823598820416,0.79283450540383305,0.21024697344495547,0.20856852404707116,0.10526315789473684,0.052631578947368418,0.55555555555555558,0.57894736842105265
stieger,chronological,0,41,CLASSWISE_SELECTIVE_GATE,0.32967836257309946,0.27930975134479175,0.32666666666666666,1.4393318114822016,0.7695972151814936,0.19108023965449869,0.20856852404707116,0.10526315789473684,0.078947368421052627,0.55555555555555558,0.57894736842105265
stieger,chronological,0,41,ORACLE_CONTINUOUS_KAPPA,0.36878654970760238,0.35000547136941812,0.36666666666666664,1.7433356406537552,0.86584505526481259,0.30014096932002887,0.95999999999999996,0.18421052631578946,0.21052631578947367,0.52777777777777779,0.55263157894736847
stieger,chronological,0,41,POPULATION_ONLY,0.29568713450292394,0.24224422442244226,0.29333333333333333,1.463472271433472,0.77554849243430579,0.21129199716958391,,0.10526315789473684,0.026315789473684209,0.47222222222222221,0.57894736842105265
stieger,chronological,0,41,IDENTITY_RESIDUAL_CARRY,0.36878654970760238,0.35000547136941812,0.36666666666666664,1.76088080198606,0.86865896633028494,0.30138381461199892,,0.18421052631578946,0.21052631578947367,0.52777777777777779,0.55263157894736847
