outer_fold,session,omitted_subject,frozen_order,refit_order,unchanged
4,1,6,1,1,True
4,1,8,1,1,True
4,1,9,1,1,True
4,1,10,1,1,True
4,1,11,1,1,True
4,1,12,1,1,True
4,1,13,1,1,True
4,1,14,1,1,True
4,1,16,1,1,True
4,1,17,1,1,True
4,1,18,1,1,True
4,1,19,1,1,True
4,1,20,1,1,True
4,1,21,1,1,True
4,1,24,1,1,True
4,1,25,1,1,True
4,1,27,1,1,True
4,1,28,1,1,True
4,1,29,1,1,True
4,1,30,1,1,True
4,1,31,1,1,True
4,1,32,1,1,True
4,1,34,1,1,True
4,1,36,1,1,True
4,1,37,1,1,True
4,1,38,1,1,True
4,1,39,1,1,True
4,1,40,1,1,True
4,1,41,1,1,True
4,1,42,1,1,True
4,1,43,1,1,True
4,1,44,1,1,True
4,1,45,1,1,True
4,1,46,1,1,True
4,1,47,1,1,True
4,1,48,1,1,True
4,1,49,1,1,True
4,1,50,1,1,True
4,1,51,1,1,True
4,1,52,1,1,True
4,1,54,1,1,True
5,0,1,1,1,True
5,0,2,1,1,True
5,0,3,1,1,True
5,0,4,1,1,True
5,0,7,1,1,True
5,0,8,1,1,True
5,0,9,1,1,True
5,0,10,1,1,True
5,0,11,1,1,True
5,0,12,1,1,True
5,0,13,1,1,True
5,0,14,1,1,True
5,0,15,1,1,True
5,0,16,1,1,True
5,0,17,1,1,True
5,0,18,1,1,True
5,0,19,1,1,True
5,0,20,1,1,True
5,0,21,1,1,True
5,0,22,1,1,True
5,0,23,1,1,True
5,0,25,1,1,True
5,0,26,1,1,True
5,0,29,1,1,True
5,0,30,1,1,True
5,0,31,1,1,True
5,0,32,1,1,True
5,0,33,1,1,True
5,0,35,1,1,True
5,0,36,1,1,True
5,0,37,1,1,True
5,0,38,1,1,True
5,0,39,1,1,True
5,0,40,1,1,True
5,0,41,1,1,True
5,0,42,1,1,True
5,0,43,1,1,True
5,0,45,1,1,True
5,0,46,1,1,True
5,0,49,1,1,True
5,0,50,1,1,True
5,0,51,1,1,True
5,0,52,1,1,True
5,0,53,1,1,True
5,0,54,1,1,True
5,1,1,1,1,True
5,1,2,1,1,True
5,1,3,1,1,True
5,1,4,1,1,True
5,1,7,1,1,True
5,1,8,1,1,True
5,1,9,1,1,True
5,1,10,1,1,True
5,1,11,1,1,True
5,1,12,1,1,True
5,1,13,1,1,True
5,1,14,1,1,True
5,1,15,1,1,True
5,1,16,1,1,True
5,1,17,1,1,True
5,1,18,1,1,True
5,1,19,1,1,True
5,1,20,1,1,True
5,1,21,1,1,True
5,1,22,1,1,True
5,1,23,1,1,True
5,1,25,1,1,True
5,1,26,1,1,True
5,1,29,1,1,True
5,1,30,1,1,True
5,1,31,1,1,True
5,1,32,1,1,True
5,1,33,1,1,True
5,1,35,1,1,True
5,1,36,1,1,True
5,1,37,1,1,True
5,1,38,1,1,True
5,1,39,1,1,True
5,1,40,1,1,True
5,1,41,1,1,True
5,1,42,1,1,True
5,1,43,1,1,True
5,1,45,1,1,True
5,1,46,1,1,True
5,1,49,1,1,True
5,1,50,1,1,True
5,1,51,1,1,True
5,1,52,1,1,True
5,1,53,1,1,True
5,1,54,1,1,True
