subject,session,permutation_index,permutation,cost,cost_rank,is_identity
5,3,18,3|0|1|2,2.131494214793391,9,False
5,3,19,3|0|2|1,2.697628895695504,18,False
5,3,20,3|1|0|2,2.162499002820912,10,False
5,3,21,3|1|2|0,2.6089753985196977,17,False
5,3,22,3|2|0|1,2.5819419126804126,15,False
5,3,23,3|2|1|0,2.4622836274770865,12,False
6,2,0,0|1|2|3,1.5338303504892863,9,True
6,2,1,0|1|3|2,1.6555772981619015,10,False
6,2,2,0|2|1|3,1.2382142324336656,3,False
6,2,3,0|2|3|1,3.3377038435183826,24,False
6,2,4,0|3|1|2,1.3357783652467634,4,False
6,2,5,0|3|2|1,3.313521028658865,23,False
6,2,6,1|0|2|3,1.7634901065120805,13,False
6,2,7,1|0|3|2,1.885237054184696,16,False
6,2,8,1|2|0|3,1.7827484349468454,14,False
6,2,9,1|2|3|0,2.153711365316306,18,False
6,2,10,1|3|0|2,1.8803125677599433,15,False
6,2,11,1|3|2|0,2.1295285504567887,17,False
6,2,12,2|0|1|3,1.0693598681726992,1,False
6,2,13,2|0|3|1,3.1688494792574167,22,False
6,2,14,2|1|0|3,1.384234314663085,5,False
6,2,15,2|1|3|0,1.755197245032546,12,False
6,2,16,2|3|0|1,3.163924992832664,21,False
6,2,17,2|3|1|0,1.4353983121174079,7,False
6,2,18,3|0|1|2,1.1485503646256805,2,False
6,2,19,3|0|2|1,3.1262930280377823,19,False
6,2,20,3|1|0|2,1.463424811116066,8,False
6,2,21,3|1|2|0,1.7126407938129118,11,False
6,2,22,3|2|0|1,3.1455513564725472,20,False
6,2,23,3|2|1|0,1.4170246757572913,6,False
6,3,0,0|1|2|3,1.6767250569806826,9,True
6,3,1,0|1|3|2,2.7908714902495237,19,False
6,3,2,0|2|1|3,2.0830790424318115,13,False
6,3,3,0|2|3|1,1.7586805009919662,10,False
6,3,4,0|3|1|2,2.9822684579027494,22,False
6,3,5,0|3|2|1,1.5437234831940632,8,False
6,3,6,1|0|2|3,1.8488406345231314,11,False
6,3,7,1|0|3|2,2.962987067791972,20,False
6,3,8,1|2|0|3,2.6197231251307485,17,False
6,3,9,1|2|3|0,0.8131608241715859,3,False
6,3,10,1|3|0|2,3.5189125406016863,24,False
6,3,11,1|3|2|0,0.5982038063736826,2,False
6,3,12,2|0|1|3,2.314676734325985,15,False
6,3,13,2|0|3|1,1.9902781928861395,12,False
6,3,14,2|1|0|3,2.679205239482473,18,False
6,3,15,2|1|3|0,0.8726429385233107,5,False
6,3,16,2|3|0|1,2.546203665695854,16,False
6,3,17,2|3|1|0,1.0640399061765367,6,False
6,3,18,3|0|1|2,2.9640138091824513,21,False
6,3,19,3|0|2|1,1.5254688344737652,7,False
6,3,20,3|1|0|2,3.3285423143389394,23,False
6,3,21,3|1|2|0,0.4078335801109359,1,False
6,3,22,3|2|0|1,2.2963513250813823,14,False
6,3,23,3|2|1|0,0.8141875655620651,4,False
7,2,0,0|1|2|3,2.664896312421475,16,True
7,2,1,0|1|3|2,3.3824725465043395,22,False
7,2,2,0|2|1|3,2.659305833099997,14,False
7,2,3,0|2|3|1,0.6669238139679022,1,False
7,2,4,0|3|1|2,3.3783623833808933,20,False
7,2,5,0|3|2|1,0.6684041301659341,2,False
7,2,6,1|0|2|3,2.6610067333808036,15,False
7,2,7,1|0|3|2,3.3785829674636685,21,False
7,2,8,1|2|0|3,2.6554782508995656,13,False
7,2,9,1|2|3|0,0.6931489051113264,3,False
7,2,10,1|3|0|2,3.3745348011804626,19,False
7,2,11,1|3|2|0,0.6946292213093584,4,False
7,2,12,2|0|1|3,3.006153664412039,17,False
7,2,13,2|0|3|1,1.0137716452799448,10,False
7,2,14,2|1|0|3,3.0062156612522797,18,False
7,2,15,2|1|3|0,1.04388631546404,12,False
7,2,16,2|3|0|1,1.0097234789967389,9,False
7,2,17,2|3|1|0,1.039776152340594,11,False
7,2,18,3|0|1|2,3.6323376290085267,23,False
7,2,19,3|0|2|1,0.9223793757935679,6,False
7,2,20,3|1|0|2,3.6323996258487674,24,False
7,2,21,3|1|2|0,0.9524940459776633,8,False
7,2,22,3|2|0|1,0.9168508933123302,5,False
7,2,23,3|2|1|0,0.9469035666561851,7,False
7,3,0,0|1|2|3,0.8489325508533826,4,True
7,3,1,0|1|3|2,2.0293847467496136,13,False
7,3,2,0|2|1|3,0.3001362079405938,2,False
7,3,3,0|2|3|1,3.983309994569889,24,False
7,3,4,0|3|1|2,1.2217390573933518,9,False
7,3,5,0|3|2|1,3.7244606481264158,22,False
7,3,6,1|0|2|3,1.1705700222131423,8,False
7,3,7,1|0|3|2,2.351022218109373,17,False
7,3,8,1|2|0|3,1.165608929836199,7,False
7,3,9,1|2|3|0,2.3686856077752534,18,False
7,3,10,1|3|0|2,2.087211779288957,15,False
7,3,11,1|3|2|0,2.1098362613317803,16,False
7,3,12,2|0|1|3,0.29720209654246343,1,False
7,3,13,2|0|3|1,3.9803758831717584,23,False
7,3,14,2|1|0|3,0.8410373470783088,3,False
7,3,15,2|1|3|0,2.0441140250173637,14,False
7,3,16,2|3|0|1,3.716565444351342,21,False
7,3,17,2|3|1|0,1.2364683356611017,10,False
7,3,18,3|0|1|2,1.0657151101098636,5,False
7,3,19,3|0|2|1,3.568436700842928,20,False
7,3,20,3|1|0|2,1.6095503606457089,11,False
7,3,21,3|1|2|0,1.6321748426885325,12,False
7,3,22,3|2|0|1,3.563475608465984,19,False
7,3,23,3|2|1|0,1.0833784997757439,6,False
8,2,0,0|1|2|3,1.3063976722608324,9,True
8,2,1,0|1|3|2,3.6925421061681916,23,False
8,2,2,0|2|1|3,1.3527279874615235,10,False
8,2,3,0|2|3|1,0.6109833355946863,4,False
8,2,4,0|3|1|2,3.7035288331834533,24,False
8,2,5,0|3|2|1,0.5756397474092572,3,False
8,2,6,1|0|2|3,1.1622233360987364,7,False
8,2,7,1|0|3|2,3.548367770006095,20,False
8,2,8,1|2|0|3,1.1794673287819124,8,False
8,2,9,1|2|3|0,2.401421614721694,14,False
8,2,10,1|3|0|2,3.530268174503842,19,False
8,2,11,1|3|2|0,2.3660780265362646,13,False
8,2,12,2|0|1|3,1.438202567356727,12,False
8,2,13,2|0|3|1,0.69645791548989,6,False
8,2,14,2|1|0|3,1.4091162448392125,11,False
8,2,15,2|1|3|0,2.6310705307789934,17,False
8,2,16,2|3|0|1,0.6783583199876371,5,False
8,2,17,2|3|1|0,2.6420572577942556,18,False
8,2,18,3|0|1|2,3.613813223217,22,False
8,2,19,3|0|2|1,0.4859241374428042,1,False
8,2,20,3|1|0|2,3.5847269006994855,21,False
8,2,21,3|1|2|0,2.420536752731908,15,False
8,2,22,3|2|0|1,0.5031681301259804,2,False
8,2,23,3|2|1|0,2.466867067932599,16,False
8,3,0,0|1|2|3,1.256842782846636,8,True
8,3,1,0|1|3|2,3.642312848544454,22,False
8,3,2,0|2|1|3,1.8841795051761203,12,False
8,3,3,0|2|3|1,0.7206223741904759,5,False
8,3,4,0|3|1|2,3.84798670685632,24,False
8,3,5,0|3|2|1,0.29895951017285716,2,False
8,3,6,1|0|2|3,1.2354676701053415,7,False
8,3,7,1|0|3|2,3.62093773580316,21,False
8,3,8,1|2|0|3,1.518132900871001,9,False
