session,geometry,subject,split,pi_left_hand,pi_right_hand,pi_feet,pi_tongue,balanced,anchor_energy,trace_G,anchor_fraction
0train,LE,1,B,0.25,0.25,0.25,0.25,True,-6.938893903907228e-18,4.201566949285174,-1.6515014487839507e-18
0train,LE,1,F,0.25,0.25,0.25,0.25,True,2.0816681711721685e-17,3.8533754819398682,5.402193948989923e-18
0train,LE,2,A,0.25,0.25,0.25,0.25,True,-1.3010426069826053e-18,0.9516022265240325,-1.3672126553707132e-18
0train,LE,2,B,0.25,0.25,0.25,0.25,True,-2.4069288229178198e-17,0.6513012860528002,-3.695568970092119e-17
0train,LE,2,F,0.25,0.25,0.25,0.25,True,9.107298248878237e-18,0.6760733118612503,1.3470873778178832e-17
0train,LE,3,A,0.25,0.25,0.25,0.25,True,-1.249000902703301e-16,4.838948922501304,-2.5811409103646402e-17
0train,LE,3,B,0.25,0.25,0.25,0.25,True,-2.7755575615628914e-17,2.075263201800909,-1.3374484543234172e-17
0train,LE,3,F,0.25,0.25,0.25,0.25,True,2.7755575615628914e-17,3.1467780957879015,8.820315500727857e-18
0train,LE,4,A,0.25,0.25,0.25,0.25,True,-2.6020852139652106e-18,0.46693450040331597,-5.572698551333543e-18
0train,LE,4,B,0.25,0.25,0.25,0.25,True,-6.938893903907228e-18,0.7213833082198483,-9.618872276141626e-18
0train,LE,4,F,0.25,0.25,0.25,0.25,True,6.071532165918825e-18,0.47388565893080314,1.2812230232114686e-17
0train,LE,5,A,0.25,0.25,0.25,0.25,True,-8.890457814381136e-18,0.29240135494584907,-3.0404981591236454e-17
0train,LE,5,B,0.25,0.25,0.25,0.25,True,-5.421010862427522e-19,0.4122792342883345,-1.3148881659744826e-18
0train,LE,5,F,0.25,0.25,0.25,0.25,True,-1.4094628242311558e-18,0.2408812445170921,-5.8512767445086206e-18
0train,LE,6,A,0.25,0.25,0.25,0.25,True,4.336808689942018e-19,0.7592944830470354,5.711629396460884e-19
0train,LE,6,B,0.25,0.25,0.25,0.25,True,7.806255641895632e-18,0.8743205185948912,8.928368345330566e-18
0train,LE,6,F,0.25,0.25,0.25,0.25,True,1.0408340855860843e-17,0.6630547363391252,1.56975590180196e-17
0train,LE,7,A,0.25,0.25,0.25,0.25,True,2.0816681711721685e-17,2.2828358165189533,9.118781806860115e-18
0train,LE,7,B,0.25,0.25,0.25,0.25,True,2.3418766925686896e-17,1.3768709637318155,1.7008686756102124e-17
