session,geometry,subject,split,mean_C,median_C,max_C,mean_relative_curvature,max_relative_curvature
1test,AIRM,5,A,7.481863693696578e-05,7.399597221133258e-05,9.503458313292468e-05,0.00023431545826258282,0.00025394970603564353
1test,AIRM,5,B,0.00011440794305653257,9.315384790387071e-05,0.000205292288050829,0.0003103288242488487,0.0005441416452711668
1test,AIRM,5,F,4.898850536529109e-05,4.522870420670122e-05,8.85875339721176e-05,0.00019654027944045576,0.0003140548865428862
1test,AIRM,6,A,0.00023394338515460764,0.00023354714768297757,0.0002907082504017833,0.00033419907005289304,0.0005013815187892533
1test,AIRM,6,B,0.0003252462767713386,0.0003142772153359452,0.0004702521815103111,0.0004790462178695728,0.0006772504805735722
1test,AIRM,6,F,0.00017134977932169634,0.0001655400534074647,0.00025793474965907226,0.00030698199311619573,0.0004126816351378789
1test,AIRM,7,A,0.0005619110696607846,0.0004991066603055039,0.001061585214806593,0.0004242902600545542,0.000977565258176859
1test,AIRM,7,B,0.00036420340516705546,0.00031911983080062933,0.0005604964654053468,0.0003432102469131282,0.0007878203105234022
1test,AIRM,7,F,0.0003141586546878683,0.0002748153553170374,0.0005500171267553977,0.00029883954307391273,0.0006552004299843871
1test,AIRM,8,A,0.0014118039938182576,0.0012968433112926503,0.0022512305326549686,0.0007995315474964565,0.0009678079523893633
1test,AIRM,8,B,0.0015455882314620584,0.0015289384170278364,0.002323765049238702,0.0008565489248028314,0.0012843148491016533
1test,AIRM,8,F,0.0012052165882630213,0.0011573760310810144,0.0018925762127093293,0.0006963914146550073,0.0009035806424118637
1test,AIRM,9,A,0.005118802095267568,0.00463927957881527,0.008176186751104986,0.0008849018694481223,0.0017399601107647173
1test,AIRM,9,B,0.004327734886120889,0.0036417392562597684,0.0078111821529223135,0.0008627062292610147,0.0016043598081106117
1test,AIRM,9,F,0.0038522130640361585,0.0031193290753757097,0.006745951185685328,0.0007260964361020314,0.0015476404892769422
1test,LE,1,A,-2.4517425127138875e-16,-2.914335439641036e-16,8.881784197001252e-16,-5.029686601228222e-16,2.2605816606213973e-16
1test,LE,1,B,-4.625929269271486e-16,0.0,0.0,-9.420872829185725e-16,0.0
1test,LE,1,F,3.3769283665681843e-16,1.8041124150158794e-16,2.6645352591003757e-15,1.6225267573089354e-16,1.7370420849941095e-15
1test,LE,2,A,1.0177044392397268e-16,0.0,4.440892098500626e-16,1.613320105501724e-16,5.880575225291089e-16
1test,LE,2,B,6.47630097698008e-17,5.551115123125783e-17,2.220446049250313e-16,1.1013057003086577e-16,3.6677130066885885e-16
1test,LE,2,F,0.0,0.0,1.6653345369377348e-16,-8.754588459576296e-18,3.8163095348221325e-16
1test,LE,3,A,3.7007434154171886e-16,0.0,1.7763568394002505e-15,1.39257586027025e-16,4.2379775214397737e-16
1test,LE,3,B,6.291263806209221e-16,5.551115123125783e-16,1.7763568394002505e-15,3.7168242746520543e-16,9.380437563695415e-16
1test,LE,3,F,2.0354088784794536e-16,2.220446049250313e-16,6.661338147750939e-16,1.0012744590878516e-16,4.0380145374667935e-16
1test,LE,4,A,1.0639637319324417e-16,0.0,8.881784197001252e-16,-1.3163043367163165e-16,4.280200399313633e-16
1test,LE,4,B,-1.4802973661668753e-16,0.0,0.0,-2.4721092630060618e-16,0.0
1test,LE,4,F,-4.163336342344337e-17,0.0,0.0,-2.308504668927827e-16,0.0
1test,LE,5,A,-1.850371707708594e-17,0.0,0.0,-6.176916750016405e-17,0.0
1test,LE,5,B,-6.938893903907228e-17,-8.326672684688674e-17,0.0,-3.2679662723007223e-16,0.0
1test,LE,5,F,1.850371707708594e-17,1.3877787807814457e-17,8.326672684688674e-17,1.285001347462491e-16,4.904856368221749e-16
1test,LE,6,A,3.700743415417188e-17,0.0,2.220446049250313e-16,4.803704961879665e-17,3.929106755007997e-16
1test,LE,6,B,9.251858538542972e-17,5.551115123125783e-17,2.220446049250313e-16,1.3981241577951052e-16,3.178707991181283e-16
1test,LE,6,F,5.551115123125783e-17,0.0,2.220446049250313e-16,9.209206321936503e-17,3.256680570231667e-16
1test,LE,7,A,-1.8503717077085943e-16,0.0,2.220446049250313e-16,-6.55551558304512e-17,2.5802516831547945e-16
1test,LE,7,B,5.551115123125783e-17,0.0,2.220446049250313e-16,1.119274038403975e-16,4.342554016621011e-16
1test,LE,7,F,-3.608224830031759e-16,-1.942890293094024e-16,0.0,-3.559502947391102e-16,0.0
1test,LE,8,A,-7.401486830834377e-17,0.0,4.440892098500626e-16,7.974318761160758e-18,2.4474385593624823e-16
1test,LE,8,B,2.7755575615628914e-16,2.7755575615628914e-16,6.661338147750939e-16,2.3651863413460075e-16,5.67442871557709e-16
1test,LE,8,F,-2.9605947323337506e-16,0.0,0.0,-1.2712419512079309e-16,0.0
1test,LE,9,A,3.7007434154171886e-16,0.0,2.6645352591003757e-15,-2.823061864129354e-19,3.572266427397696e-16
1test,LE,9,B,1.4802973661668753e-16,0.0,3.552713678800501e-15,-9.589947526032794e-17,2.661576648516098e-16
1test,LE,9,F,-4.810966440042345e-16,-5.551115123125783e-16,2.6645352591003757e-15,-7.601508132254578e-17,5.349409479418411e-16
