subject,feature,seed,nmi,ari,hungarian_accuracy,purity,cluster_entropy,cluster_size_imbalance
2,F2-S,13,0.009576172686719455,0.002622253063207294,0.2899305555555556,0.3003472222222222,0.9841830297626128,0.14756944444444445
2,F2-S,14,0.00974718341934681,0.002868294079824174,0.2951388888888889,0.3020833333333333,0.9843987851713873,0.14583333333333334
2,F2-S,15,0.00946587922744066,0.002556697343912183,0.2881944444444444,0.3003472222222222,0.9848549533835103,0.1440972222222222
2,F2-S,16,0.009283710963508317,0.002307072781484748,0.2881944444444444,0.3020833333333333,0.9830856137448891,0.1527777777777778
2,F2-S,17,0.008533625967656316,0.001802820449884644,0.2829861111111111,0.2986111111111111,0.9804899011324536,0.1545138888888889
2,F2-S,18,0.011035717795893464,0.0040411572407340135,0.2986111111111111,0.3072916666666667,0.9825490992261409,0.1545138888888889
2,F2-S,19,0.010608667563599293,0.0035828072628987535,0.2951388888888889,0.3055555555555556,0.9811003240344119,0.16145833333333334
2,F2-V,0,0.005533897045539532,8.529662250281055e-05,0.2847222222222222,0.2934027777777778,0.9953991796649716,0.06597222222222222
2,F2-V,1,0.005844426867771626,0.0003281568203534442,0.2829861111111111,0.2934027777777778,0.9950583794745904,0.06770833333333333
2,F2-V,2,0.004626814113504234,-0.0008247914395436512,0.2795138888888889,0.2881944444444444,0.9941008833611307,0.07465277777777778
2,F2-V,3,0.003466741254034072,-0.0019111437661690608,0.2777777777777778,0.2847222222222222,0.9956321339775479,0.0642361111111111
2,F2-V,4,0.004718899608488234,-0.0007042252731612646,0.2847222222222222,0.2864583333333333,0.9970118387366107,0.05555555555555555
2,F2-V,5,0.0067513247049610335,0.0011147290750757298,0.2829861111111111,0.296875,0.9955327734789956,0.07118055555555555
2,F2-V,6,0.005600756458257722,4.2103048973645926e-05,0.2829861111111111,0.2916666666666667,0.9943645042397152,0.07465277777777778
2,F2-V,7,0.005533897045539532,8.529662250281055e-05,0.2847222222222222,0.2934027777777778,0.9953991796649715,0.06597222222222222
2,F2-V,8,0.005754283473223148,8.430554580185673e-05,0.2881944444444444,0.2951388888888889,0.9957389845180628,0.07465277777777778
