mode,subject,source_session,target_session,representation,seed,permutation,score
zero,1,both,both,F2-S,7.0,"0,3,2,1",7.701026985211803
zero,1,both,both,F2-S,7.0,"0,2,3,1",8.01142587461123
zero,1,both,both,F2-S,7.0,"1,3,0,2",8.24254478614619
zero,1,both,both,F2-S,7.0,"2,3,0,1",8.514807930448969
zero,1,both,both,F2-S,7.0,"0,1,2,3",8.826640877747304
zero,1,both,both,F2-S,7.0,"0,2,1,3",8.866754172716686
zero,1,both,both,F2-S,7.0,"1,0,3,2",9.01743847460652
zero,1,both,both,F2-S,7.0,"3,1,0,2",9.14518635815507
zero,1,both,both,F2-S,7.0,"2,0,1,3",9.275133021996515
zero,1,both,both,F2-S,7.0,"2,0,3,1",9.275332494321379
zero,1,both,both,F2-S,7.0,"2,1,0,3",9.418729925372315
zero,1,both,both,F2-S,7.0,"3,2,0,1",9.442548671285136
zero,1,both,both,F2-S,7.0,"1,0,2,3",9.633345254157483
zero,1,both,both,F2-S,7.0,"1,2,0,3",9.642532807051971
zero,1,both,both,F2-S,7.0,"3,0,1,2",9.643071750652696
zero,1,both,both,F2-S,7.0,"3,0,2,1",9.855439310133944
zero,1,both,both,F2-S,8.0,"1,3,0,2",5.416564734716572
zero,1,both,both,F2-S,8.0,"0,3,1,2",5.8105488263638465
zero,1,both,both,F2-S,8.0,"1,0,3,2",6.038561427589683
zero,1,both,both,F2-S,8.0,"0,1,3,2",6.693793816583446
zero,1,both,both,F2-S,8.0,"2,3,0,1",6.9269549850916246
zero,1,both,both,F2-S,8.0,"3,0,1,2",7.150499284187948
zero,1,both,both,F2-S,8.0,"2,0,3,1",7.266519487765873
zero,1,both,both,F2-S,8.0,"3,1,0,2",7.382840691248932
zero,1,both,both,F2-S,8.0,"2,3,1,0",7.701026985211803
zero,1,both,both,F2-S,8.0,"2,1,3,0",8.01142587461123
zero,1,both,both,F2-S,8.0,"0,3,2,1",8.24254478614619
zero,1,both,both,F2-S,8.0,"1,3,2,0",8.514807930448969
zero,1,both,both,F2-S,8.0,"2,0,1,3",8.826640877747304
zero,1,both,both,F2-S,8.0,"2,1,0,3",8.866754172716686
zero,1,both,both,F2-S,8.0,"0,2,3,1",9.01743847460652
zero,1,both,both,F2-S,8.0,"3,0,2,1",9.14518635815507
zero,1,both,both,F2-S,8.0,"1,2,0,3",9.275133021996515
zero,1,both,both,F2-S,8.0,"1,2,3,0",9.275332494321379
zero,1,both,both,F2-S,8.0,"1,0,2,3",9.418729925372315
zero,1,both,both,F2-S,8.0,"3,1,2,0",9.442548671285136
zero,1,both,both,F2-S,8.0,"0,2,1,3",9.633345254157483
zero,1,both,both,F2-S,8.0,"0,1,2,3",9.642532807051971
zero,1,both,both,F2-S,8.0,"3,2,0,1",9.643071750652696
zero,1,both,both,F2-S,8.0,"3,2,1,0",9.855439310133944
zero,1,both,both,F2-S,9.0,"3,2,0,1",5.425912990607556
zero,1,both,both,F2-S,9.0,"0,2,3,1",5.748569680872341
zero,1,both,both,F2-S,9.0,"3,0,2,1",6.078880245141939
zero,1,both,both,F2-S,9.0,"0,3,2,1",6.446624569802269
zero,1,both,both,F2-S,9.0,"1,2,0,3",6.889433008120607
zero,1,both,both,F2-S,9.0,"1,0,2,3",7.238309658520605
