subject,representation,seed,mapping_accuracy,mapping_balanced_accuracy,selected
2,F1,7,0.2482638888888889,0.2482638888888889,"0,3,1,2"
2,F1,8,0.24479166666666666,0.24479166666666669,"2,3,1,0"
2,F1,9,0.2309027777777778,0.2309027777777778,"3,1,0,2"
2,F1,10,0.2482638888888889,0.2482638888888889,"3,2,1,0"
2,F1,11,0.24479166666666666,0.24479166666666669,"2,3,1,0"
2,F1,12,0.24479166666666666,0.24479166666666669,"1,3,0,2"
2,F1,13,0.2482638888888889,0.2482638888888889,"1,0,2,3"
2,F1,14,0.24479166666666666,0.24479166666666669,"0,3,1,2"
2,F1,15,0.24305555555555555,0.24305555555555558,"1,0,2,3"
2,F1,16,0.2482638888888889,0.2482638888888889,"1,0,2,3"
2,F1,17,0.2465277777777778,0.2465277777777778,"3,2,0,1"
2,F1,18,0.2482638888888889,0.2482638888888889,"0,1,3,2"
2,F1,19,0.24479166666666666,0.24479166666666669,"2,0,1,3"
2,F2-S,0,0.2465277777777778,0.2465277777777778,"0,2,1,3"
2,F2-S,1,0.2864583333333333,0.28645833333333337,"1,2,0,3"
2,F2-S,2,0.24131944444444445,0.24131944444444445,"1,2,3,0"
2,F2-S,3,0.2586805555555556,0.2586805555555555,"1,3,2,0"
2,F2-S,4,0.2482638888888889,0.2482638888888889,"2,0,3,1"
2,F2-S,5,0.2482638888888889,0.24826388888888887,"2,0,1,3"
2,F2-S,6,0.2517361111111111,0.2517361111111111,"1,2,3,0"
2,F2-S,7,0.2482638888888889,0.2482638888888889,"2,3,0,1"
2,F2-S,8,0.2482638888888889,0.2482638888888889,"0,3,2,1"
2,F2-S,9,0.24131944444444445,0.24131944444444442,"3,0,2,1"
2,F2-S,10,0.2552083333333333,0.25520833333333337,"0,1,3,2"
2,F2-S,11,0.24479166666666666,0.24479166666666666,"2,0,1,3"
2,F2-S,12,0.2951388888888889,0.29513888888888884,"1,3,0,2"
2,F2-S,13,0.24479166666666666,0.24479166666666666,"2,1,3,0"
2,F2-S,14,0.2586805555555556,0.2586805555555555,"3,2,1,0"
2,F2-S,15,0.2534722222222222,0.2534722222222222,"0,3,1,2"
2,F2-S,16,0.2864583333333333,0.2864583333333333,"0,1,3,2"
2,F2-S,17,0.2604166666666667,0.26041666666666663,"3,1,2,0"
2,F2-S,18,0.24479166666666666,0.24479166666666666,"3,1,2,0"
2,F2-S,19,0.2569444444444444,0.2569444444444444,"0,3,2,1"
3,STATIC,0,0.3576388888888889,0.3576388888888889,"3,0,1,2"
3,STATIC,1,0.3559027777777778,0.3559027777777778,"1,2,3,0"
3,STATIC,2,0.3541666666666667,0.35416666666666663,"3,0,2,1"
3,STATIC,3,0.3559027777777778,0.3559027777777778,"0,3,1,2"
3,STATIC,4,0.3576388888888889,0.3576388888888889,"0,2,3,1"
3,STATIC,5,0.3541666666666667,0.35416666666666663,"2,3,1,0"
3,STATIC,6,0.3559027777777778,0.3559027777777778,"2,3,1,0"
3,STATIC,7,0.3541666666666667,0.35416666666666663,"3,0,1,2"
3,STATIC,8,0.359375,0.359375,"2,0,1,3"
3,STATIC,9,0.3559027777777778,0.3559027777777778,"0,1,2,3"
3,STATIC,10,0.3541666666666667,0.35416666666666663,"3,1,0,2"
3,STATIC,11,0.3524305555555556,0.3524305555555556,"3,1,2,0"
3,STATIC,12,0.359375,0.359375,"0,1,2,3"
3,STATIC,13,0.3541666666666667,0.35416666666666663,"3,1,2,0"
3,STATIC,14,0.3559027777777778,0.3559027777777778,"1,0,2,3"
3,STATIC,15,0.3541666666666667,0.3541666666666667,"3,1,0,2"
3,STATIC,16,0.3559027777777778,0.3559027777777778,"1,0,2,3"
3,STATIC,17,0.3559027777777778,0.3559027777777778,"1,2,3,0"
3,STATIC,18,0.3541666666666667,0.3541666666666667,"3,0,1,2"
3,STATIC,19,0.359375,0.359375,"0,2,1,3"
3,F1,0,0.2569444444444444,0.2569444444444445,"0,1,2,3"
3,F1,1,0.2569444444444444,0.2569444444444444,"2,0,3,1"
3,F1,2,0.2586805555555556,0.2586805555555556,"0,2,1,3"
3,F1,3,0.2604166666666667,0.2604166666666667,"2,1,0,3"
3,F1,4,0.2569444444444444,0.2569444444444444,"3,0,1,2"
3,F1,5,0.2604166666666667,0.2604166666666667,"3,0,2,1"
3,F1,6,0.2569444444444444,0.2569444444444445,"2,0,3,1"
3,F1,7,0.2569444444444444,0.2569444444444445,"3,2,0,1"
3,F1,8,0.2604166666666667,0.2604166666666667,"0,3,2,1"
3,F1,9,0.2552083333333333,0.25520833333333337,"1,3,0,2"
3,F1,10,0.2638888888888889,0.2638888888888889,"1,0,3,2"
3,F1,11,0.2604166666666667,0.2604166666666667,"0,2,3,1"
3,F1,12,0.5520833333333334,0.5520833333333334,"1,3,0,2"
3,F1,13,0.2586805555555556,0.2586805555555556,"3,1,2,0"
3,F1,14,0.2569444444444444,0.2569444444444445,"1,0,2,3"
3,F1,15,0.2552083333333333,0.25520833333333337,"2,0,1,3"
3,F1,16,0.2569444444444444,0.2569444444444445,"0,1,3,2"
3,F1,17,0.2621527777777778,0.2621527777777778,"0,2,1,3"
3,F1,18,0.2569444444444444,0.2569444444444444,"0,2,3,1"
3,F1,19,0.2569444444444444,0.2569444444444445,"1,0,2,3"
3,F2-S,0,0.4131944444444444,0.4131944444444445,"1,2,0,3"
3,F2-S,1,0.4166666666666667,0.41666666666666663,"3,1,0,2"
3,F2-S,2,0.4149305555555556,0.4149305555555556,"3,0,1,2"
3,F2-S,3,0.4114583333333333,0.4114583333333333,"1,0,2,3"
