subject,unrelated_subject,source_session,target_session,representation,heldout,error,best_cost,determinants
5,6,0train,0train,STATIC,3,0.33704342370513446,2.983806620523367e-20,"-1,1,-1,1"
5,6,0train,0train,F1,0,3.349523323336409,84.90024094233549,"-1,1,-1,1"
5,6,0train,0train,F1,1,3.49655672312355,87.76148928077106,"-1,1,-1,1"
5,6,0train,0train,F1,2,3.375979820303554,86.07395201506655,"-1,1,-1,1"
5,6,0train,0train,F1,3,3.0209464499076564,95.39627338261062,"-1,1,-1,1"
5,6,0train,0train,F2-S,0,0.45514362972839173,12.33418863258236,"-1,1,-1,1"
5,6,0train,0train,F2-S,1,0.5151328550189409,15.117146903179433,"-1,1,-1,1"
5,6,0train,0train,F2-S,2,0.9350897498349304,13.430812478115325,"-1,1,-1,1"
5,6,0train,0train,F2-S,3,0.510709015085624,15.418245484895824,"-1,1,-1,1"
5,6,0train,1test,STATIC,0,0.13437771438316,8.825537280181523e-21,"-1,1,-1,1"
5,6,0train,1test,STATIC,1,0.10062939802253014,1.904655114724838e-20,"-1,1,-1,1"
5,6,0train,1test,STATIC,2,0.10775954450941737,1.745459920249782e-20,"-1,1,-1,1"
5,6,0train,1test,STATIC,3,0.17559246253258562,1.829781739790788e-20,"-1,1,-1,1"
5,6,0train,1test,F1,0,2.750180795851751,55.47873935966756,"-1,1,-1,1"
5,6,0train,1test,F1,1,2.856666200470569,61.2779747807193,"-1,1,-1,1"
5,6,0train,1test,F1,2,2.9146751072928314,60.48651892454868,"-1,1,-1,1"
5,6,0train,1test,F1,3,2.581135311611115,68.75672846454879,"-1,1,-1,1"
5,6,0train,1test,F2-S,0,0.5403856830954737,11.442226836168112,"-1,1,-1,1"
5,6,0train,1test,F2-S,1,0.7582474547173745,15.536927844268261,"-1,1,-1,1"
5,6,0train,1test,F2-S,2,0.8757232678362905,14.135266377759098,"-1,1,-1,1"
5,6,0train,1test,F2-S,3,0.44767186581355334,15.22668525663088,"-1,1,-1,1"
5,6,1test,0train,STATIC,0,0.3229656799670567,1.1819355616386531e-20,"-1,1,-1,1"
5,6,1test,0train,STATIC,1,0.27938710224160856,1.430869052307237e-20,"-1,1,-1,1"
5,6,1test,0train,STATIC,2,0.28039827613464574,1.4243381071417744e-20,"-1,1,-1,1"
5,6,1test,0train,STATIC,3,0.3751105988508894,1.6036854027699727e-20,"-1,1,-1,1"
5,6,1test,0train,F1,0,3.3621732383411547,65.04409707830156,"-1,1,-1,1"
5,6,1test,0train,F1,1,3.60706607760461,61.97357658576641,"-1,1,-1,1"
5,6,1test,0train,F1,2,3.4479893014293976,64.24472158022328,"-1,1,-1,1"
5,6,1test,0train,F1,3,3.0741292427694633,71.37791369694872,"-1,1,-1,1"
5,6,1test,0train,F2-S,0,0.5414620616036012,13.706956994999569,"-1,1,-1,1"
5,6,1test,0train,F2-S,1,0.6429728150348759,14.43078523228625,"-1,1,-1,1"
5,6,1test,0train,F2-S,2,0.8625523979770334,15.401723837851707,"-1,1,-1,1"
5,6,1test,0train,F2-S,3,0.5152909165557922,16.407124193493452,"-1,1,-1,1"
5,6,1test,1test,STATIC,0,0.1690991659080198,1.1643831614030007e-20,"-1,1,-1,1"
5,6,1test,1test,STATIC,1,0.1156000750874951,1.5015422300421598e-20,"-1,1,-1,1"
5,6,1test,1test,STATIC,2,0.13911458652914133,1.5483883424161823e-20,"-1,1,-1,1"
5,6,1test,1test,STATIC,3,0.2137041423008773,9.466283732908932e-21,"-1,1,-1,1"
5,6,1test,1test,F1,0,2.785917988145293,41.77083045778664,"-1,1,-1,1"
5,6,1test,1test,F1,1,2.9146338538970014,42.741220362509466,"-1,1,-1,1"
5,6,1test,1test,F1,2,2.9323920411160076,45.031245825702655,"-1,1,-1,1"
5,6,1test,1test,F1,3,2.6126748176400962,49.83943885579983,"-1,1,-1,1"
5,6,1test,1test,F2-S,0,0.6595505355547795,11.81921529690122,"-1,1,-1,1"
5,6,1test,1test,F2-S,1,0.9149660296881256,14.466774722318442,"-1,1,-1,1"
5,6,1test,1test,F2-S,2,0.8520196141990811,15.314523562232042,"-1,1,-1,1"
5,6,1test,1test,F2-S,3,0.48251364174536665,15.972772738402206,"-1,1,-1,1"
6,7,0train,0train,STATIC,0,0.09082118346898771,1.1141886175793993e-19,"-1,1,-1,1"
6,7,0train,0train,STATIC,1,0.05000462579453488,1.1673537798607237e-19,"-1,1,-1,1"
6,7,0train,0train,STATIC,2,0.07277376937703146,1.2265581334618552e-19,"-1,1,-1,1"
6,7,0train,0train,STATIC,3,0.06577869384746225,1.1048119582593535e-19,"-1,1,-1,1"
6,7,0train,0train,F1,0,1.3535233499842658,57.66266507178422,"-1,1,-1,1"
6,7,0train,0train,F1,1,1.4387745753960581,59.29142697162479,"-1,1,-1,1"
6,7,0train,0train,F1,2,1.4233940648862038,61.49990659065354,"-1,1,-1,1"
6,7,0train,0train,F1,3,0.878714733070335,56.93358933713989,"-1,1,-1,1"
6,7,0train,0train,F2-S,0,1.3981683097687716,22.47681174883926,"-1,1,-1,1"
6,7,0train,0train,F2-S,1,1.0812040587772942,25.26926643471254,"-1,1,-1,1"
6,7,0train,0train,F2-S,2,1.1409415044785076,22.935827706513663,"-1,1,-1,1"
6,7,0train,0train,F2-S,3,0.6482558193546467,24.39281002465504,"-1,1,-1,1"
6,7,0train,1test,STATIC,0,0.0828750562401152,4.3195955834459686e-20,"-1,1,-1,1"
6,7,0train,1test,STATIC,1,0.024179181749489926,4.73086629216926e-20,"-1,1,-1,1"
6,7,0train,1test,STATIC,2,0.03415481543812278,4.948809779835416e-20,"-1,1,-1,1"
6,7,0train,1test,STATIC,3,0.028101138168276307,5.0051865767565673e-20,"-1,1,-1,1"
6,7,0train,1test,F1,0,1.1641450913363967,22.350952617309368,"-1,1,-1,1"
6,7,0train,1test,F1,1,1.1215302343183202,24.624081552265636,"-1,1,-1,1"
6,7,0train,1test,F1,2,1.1424724424562005,24.409569196814893,"-1,1,-1,1"
6,7,0train,1test,F1,3,0.6687673021617436,22.453571788270068,"-1,1,-1,1"
6,7,0train,1test,F2-S,0,1.7833720536546598,23.1201998340232,"-1,1,-1,1"
6,7,0train,1test,F2-S,1,0.8858533441423883,29.135173098909927,"-1,1,-1,1"
6,7,0train,1test,F2-S,2,1.084664297702905,29.680123347142338,"-1,1,-1,1"
6,7,0train,1test,F2-S,3,0.8111207777471398,25.861375276088296,"-1,1,-1,1"
6,7,1test,0train,STATIC,0,0.043646128301853264,1.7012224119082528e-19,"-1,1,-1,1"
6,7,1test,0train,STATIC,1,0.030707298290882278,1.8510999574321236e-19,"-1,1,-1,1"
6,7,1test,0train,STATIC,2,0.03513661727412167,1.8554874241149757e-19,"-1,1,-1,1"
6,7,1test,0train,STATIC,3,0.03427336027171094,1.6896687831391265e-19,"-1,1,-1,1"
6,7,1test,0train,F1,0,0.9618244731291015,75.63610615638959,"-1,1,-1,1"
6,7,1test,0train,F1,1,1.2487884470081068,84.5108849178788,"-1,1,-1,1"
6,7,1test,0train,F1,2,1.1536121078258712,83.4236982387244,"-1,1,-1,1"
6,7,1test,0train,F1,3,0.704114925554728,77.91607775458216,"-1,1,-1,1"
6,7,1test,0train,F2-S,0,1.364184698110791,22.159548390313482,"-1,1,-1,1"
6,7,1test,0train,F2-S,1,1.26500894346709,27.391676157958535,"-1,1,-1,1"
6,7,1test,0train,F2-S,2,1.1565279135755766,22.585900837744948,"-1,1,-1,1"
6,7,1test,0train,F2-S,3,0.6421455923955673,24.40054799825878,"-1,1,-1,1"
6,7,1test,1test,STATIC,0,0.038689996304108035,8.196848930500154e-20,"-1,1,-1,1"
6,7,1test,1test,STATIC,1,0.021386957444188236,9.35456458992536e-20,"-1,1,-1,1"
6,7,1test,1test,STATIC,2,0.01714381777789656,9.163696710552889e-20,"-1,1,-1,1"
6,7,1test,1test,STATIC,3,0.034259370435599956,9.156642346510894e-20,"-1,1,-1,1"
6,7,1test,1test,F1,0,0.8417800339551208,31.93651177864057,"-1,1,-1,1"
6,7,1test,1test,F1,1,1.0242195690206262,38.270242695575995,"-1,1,-1,1"
6,7,1test,1test,F1,2,0.8956645663575465,36.18662307762618,"-1,1,-1,1"
6,7,1test,1test,F1,3,0.5711434858250269,34.624645538153146,"-1,1,-1,1"
6,7,1test,1test,F2-S,0,1.5777677397978913,22.85110227168687,"-1,1,-1,1"
6,7,1test,1test,F2-S,1,1.0130522689403563,31.757748597076155,"-1,1,-1,1"
6,7,1test,1test,F2-S,2,0.9479303941465931,29.922016134500545,"-1,1,-1,1"
6,7,1test,1test,F2-S,3,0.8404600817474304,26.04136587775939,"-1,1,-1,1"
7,8,0train,0train,STATIC,0,0.142269692583727,1.8368486801994306e-18,"-1,1,-1,1"
7,8,0train,0train,STATIC,1,0.12411970515732837,1.6506114451884094e-18,"-1,1,-1,1"
7,8,0train,0train,STATIC,2,0.10541681659538109,1.7282289932138806e-18,"-1,1,-1,1"
7,8,0train,0train,STATIC,3,0.11976237367975372,1.4489256891136552e-18,"-1,1,-1,1"
7,8,0train,0train,F1,0,0.7121841060205424,218.8354456687776,"-1,1,-1,1"
7,8,0train,0train,F1,1,0.943402272519453,196.78068297269405,"-1,1,-1,1"
7,8,0train,0train,F1,2,0.8057413326598386,202.0875126891279,"-1,1,-1,1"
7,8,0train,0train,F1,3,0.5641152429804022,180.74405921323137,"-1,1,-1,1"
7,8,0train,0train,F2-S,0,2.075417059621888,11.132442640773615,"-1,1,-1,1"
7,8,0train,0train,F2-S,1,2.0567518052710243,12.92548586948018,"-1,1,-1,1"
7,8,0train,0train,F2-S,2,2.608657581833811,10.199427440450062,"-1,1,-1,1"
