mode,subject,source_session,target_session,representation,seed,permutation,heldout,error,best_cost,determinants,iterations
zero,1,both,both,F1,18.0,"2,3,0,1",3,0.6870639160091071,29.748044994767646,"-1,1,-1,1","13,14,11,11"
zero,1,both,both,F1,18.0,"2,3,1,0",0,0.2632186595599401,39.88693643734311,"-1,1,-1,1","26,16,10,11"
zero,1,both,both,F1,18.0,"2,3,1,0",1,0.4230650393394213,36.03631528804951,"-1,1,-1,1","11,13,13,16"
zero,1,both,both,F1,18.0,"2,3,1,0",2,0.5314091116766796,31.58178512409477,"-1,1,-1,1","7,11,15,15"
zero,1,both,both,F1,18.0,"2,3,1,0",3,0.17082817009937187,43.24287297427527,"-1,1,-1,1","15,23,13,12"
zero,1,both,both,F1,18.0,"3,0,1,2",0,0.5996949344563389,41.279691040146176,"-1,1,-1,1","13,15,16,11"
zero,1,both,both,F1,18.0,"3,0,1,2",1,0.2548227930016359,60.444152879349524,"-1,1,-1,1","13,11,23,14"
zero,1,both,both,F1,18.0,"3,0,1,2",2,0.5497238348791984,48.42726014153808,"-1,1,-1,1","15,13,14,15"
zero,1,both,both,F1,18.0,"3,0,1,2",3,0.3437920459157202,50.74283410981933,"-1,1,-1,1","10,11,18,20"
zero,1,both,both,F1,18.0,"3,0,2,1",0,0.5867805009440167,47.36211649805453,"-1,1,-1,1","22,22,14,13"
zero,1,both,both,F1,18.0,"3,0,2,1",1,0.2578298024947075,67.05376757469776,"-1,1,-1,1","12,13,10,9"
zero,1,both,both,F1,18.0,"3,0,2,1",2,0.22818624094213194,66.10361998424568,"-1,1,-1,1","12,15,19,17"
zero,1,both,both,F1,18.0,"3,0,2,1",3,0.6907332787412382,38.58457217811842,"-1,1,-1,1","17,14,15,14"
zero,1,both,both,F1,18.0,"3,1,0,2",0,0.5858791850995377,36.753123920917844,"-1,1,-1,1","15,14,17,13"
zero,1,both,both,F1,18.0,"3,1,0,2",1,0.49874404959629365,47.293450521957425,"-1,1,-1,1","17,19,16,28"
zero,1,both,both,F1,18.0,"3,1,0,2",2,0.231034169042228,56.23025223764889,"-1,1,-1,1","17,25,13,12"
zero,1,both,both,F1,18.0,"3,1,0,2",3,0.3287433738554467,45.67133578455882,"-1,1,-1,1","11,12,10,13"
zero,1,both,both,F1,18.0,"3,1,2,0",0,0.6034484786022978,28.9429400728935,"-1,1,-1,1","12,18,11,12"
zero,1,both,both,F1,18.0,"3,1,2,0",1,0.4718087990309231,40.25924610663645,"-1,1,-1,1","14,22,10,11"
zero,1,both,both,F1,18.0,"3,1,2,0",2,0.26772055500496666,47.73467535966472,"-1,1,-1,1","17,17,19,19"
zero,1,both,both,F1,18.0,"3,1,2,0",3,0.1847275073460673,47.201903196544244,"-1,1,-1,1","9,12,11,9"
zero,1,both,both,F1,18.0,"3,2,0,1",0,0.5910857535823121,45.06764909508275,"-1,1,-1,1","12,17,12,14"
zero,1,both,both,F1,18.0,"3,2,0,1",1,0.20665543223025082,65.37334249440242,"-1,1,-1,1","12,9,12,10"
zero,1,both,both,F1,18.0,"3,2,0,1",2,0.19234417042058696,65.40478135245141,"-1,1,-1,1","9,8,9,13"
zero,1,both,both,F1,18.0,"3,2,0,1",3,0.6884539977311294,36.152394294862766,"-1,1,-1,1","13,8,8,9"
