protocol_version,config_sha256,seed,row_type,source_table,question,protocol,decoder,geometry,native_metric,metric,subject,comparator,n,value,mean,std_ddof1,median,minimum,maximum,delta,sign_category,improved_subjects,worsened_subjects,tied_subjects,threshold,pass_flag,verdict,operands_json,formula,notes
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,aggregate_metric,loso_mdm_calibration.csv,,T2,MDM,EA,riemann,macro_f1,,,9.0,,0.46201844369740935,0.1460299265363049,0.5433669679993209,0.2520204361392194,0.6148365996522678,,,,,,,,,,,PASS secondary rows only; failures/missing rows are separate inventory records
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,aggregate_metric,loso_mdm_calibration.csv,,T2,MDM,LE,logeuclid,balanced_accuracy,,,9.0,,0.4517746913580247,0.12426777781351525,0.5243055555555556,0.25,0.5902777777777778,,,,,,,,,,,PASS secondary rows only; failures/missing rows are separate inventory records
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,aggregate_metric,loso_mdm_calibration.csv,,T2,MDM,LE,logeuclid,accuracy,,,9.0,,0.4517746913580247,0.12426777781351525,0.5243055555555556,0.25,0.5902777777777778,,,,,,,,,,,PASS secondary rows only; failures/missing rows are separate inventory records
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,aggregate_metric,loso_mdm_calibration.csv,,T2,MDM,LE,logeuclid,macro_f1,,,9.0,,0.4354264023832257,0.11335964215455176,0.4958043217696325,0.2468884632367858,0.5671991843268918,,,,,,,,,,,PASS secondary rows only; failures/missing rows are separate inventory records
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,aggregate_metric,loso_mdm_calibration.csv,,T2,MDM,RAW,logeuclid,balanced_accuracy,,,9.0,,0.30709876543209874,0.08715400741840726,0.2534722222222222,0.25,0.486111111111111,,,,,,,,,,,PASS secondary rows only; failures/missing rows are separate inventory records
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,aggregate_metric,loso_mdm_calibration.csv,,T2,MDM,RAW,logeuclid,accuracy,,,9.0,,0.30709876543209874,0.08715400741840727,0.2534722222222222,0.25,0.4861111111111111,,,,,,,,,,,PASS secondary rows only; failures/missing rows are separate inventory records
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,aggregate_metric,loso_mdm_calibration.csv,,T2,MDM,RAW,logeuclid,macro_f1,,,9.0,,0.18565833624328476,0.12403887742311202,0.1071278666005265,0.1,0.4195545811775436,,,,,,,,,,,PASS secondary rows only; failures/missing rows are separate inventory records
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,aggregate_metric,loso_mdm_calibration.csv,,T2,MDM,RAW,riemann,balanced_accuracy,,,9.0,,0.31481481481481477,0.0977632515645909,0.2534722222222222,0.25,0.5208333333333334,,,,,,,,,,,PASS secondary rows only; failures/missing rows are separate inventory records
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,aggregate_metric,loso_mdm_calibration.csv,,T2,MDM,RAW,riemann,accuracy,,,9.0,,0.31481481481481477,0.0977632515645909,0.2534722222222222,0.25,0.5208333333333334,,,,,,,,,,,PASS secondary rows only; failures/missing rows are separate inventory records
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,aggregate_metric,loso_mdm_calibration.csv,,T2,MDM,RAW,riemann,macro_f1,,,9.0,,0.1945401841512565,0.1364194046337326,0.1134852801519468,0.1,0.4660993545089569,,,,,,,,,,,PASS secondary rows only; failures/missing rows are separate inventory records
