protocol_version,protocol_sha256,config_sha256,seed,session,generated_at_utc,status,analysis,representation,subject,scalar,airm_value,le_value,paired_delta,delta_category,airm_status,le_status,agreement_category,interpretation
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,observed_class_loso_subject_ba,SCALARS_11,3,balanced_accuracy,0.2951388888888889,0.3055555555555556,0.010416666666666685,improved,PASS,PASS,AGREE,LE is a paired secondary robustness repeat; delta is LE minus AIRM.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,observed_class_loso_subject_ba,SCALARS_11,4,balanced_accuracy,0.25,0.2361111111111111,-0.013888888888888895,worsened,PASS,PASS,AGREE,LE is a paired secondary robustness repeat; delta is LE minus AIRM.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,observed_class_loso_subject_ba,SCALARS_11,5,balanced_accuracy,0.2777777777777778,0.2708333333333333,-0.006944444444444475,worsened,PASS,PASS,AGREE,LE is a paired secondary robustness repeat; delta is LE minus AIRM.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,observed_class_loso_subject_ba,SCALARS_11,6,balanced_accuracy,0.24305555555555552,0.2638888888888889,0.02083333333333337,improved,PASS,PASS,DISAGREE,LE is a paired secondary robustness repeat; delta is LE minus AIRM.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,observed_class_loso_subject_ba,SCALARS_11,7,balanced_accuracy,0.2673611111111111,0.2743055555555556,0.006944444444444475,improved,PASS,PASS,AGREE,LE is a paired secondary robustness repeat; delta is LE minus AIRM.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,observed_class_loso_subject_ba,SCALARS_11,8,balanced_accuracy,0.2638888888888889,0.2673611111111111,0.00347222222222221,improved,PASS,PASS,AGREE,LE is a paired secondary robustness repeat; delta is LE minus AIRM.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,observed_class_loso_subject_ba,SCALARS_11,9,balanced_accuracy,0.2638888888888889,0.2534722222222222,-0.010416666666666685,worsened,PASS,PASS,AGREE,LE is a paired secondary robustness repeat; delta is LE minus AIRM.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,observed_class_loso_group,SCALARS_11,GROUP,mean_subject_ba,0.263503086419753,0.2665895061728395,0.003086419753086489,improved,PASS,PASS,AGREE,Nine-subject aggregate; no geometry selection or voting.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,observed_class_loso_group,SCALARS_11,GROUP,median_subject_ba,0.2638888888888889,0.2673611111111111,0.00347222222222221,improved,PASS,PASS,AGREE,Nine-subject aggregate; no geometry selection or voting.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,order_null_subject_effect,PATH_D10,1,observed_minus_null_median_ba,-0.024305555555555525,-0.00694444444444442,0.017361111111111105,improved,PASS,PASS,AGREE,Positive values indicate chronological order above shuffled order.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,order_null_subject_effect,PATH_D10,2,observed_minus_null_median_ba,5.551115123125783e-17,0.01388888888888895,0.013888888888888895,improved,PASS,PASS,AGREE,Positive values indicate chronological order above shuffled order.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,order_null_subject_effect,PATH_D10,3,observed_minus_null_median_ba,-0.0034722222222222654,-0.013888888888888895,-0.01041666666666663,worsened,PASS,PASS,AGREE,Positive values indicate chronological order above shuffled order.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,order_null_subject_effect,PATH_D10,4,observed_minus_null_median_ba,0.027777777777777735,0.02430555555555558,-0.0034722222222221544,worsened,PASS,PASS,AGREE,Positive values indicate chronological order above shuffled order.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,order_null_subject_effect,PATH_D10,5,observed_minus_null_median_ba,0.0,0.003472222222222182,0.003472222222222182,improved,PASS,PASS,DISAGREE,Positive values indicate chronological order above shuffled order.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,order_null_subject_effect,PATH_D10,6,observed_minus_null_median_ba,-0.00694444444444442,-0.013888888888888895,-0.006944444444444475,worsened,PASS,PASS,AGREE,Positive values indicate chronological order above shuffled order.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,order_null_subject_effect,PATH_D10,7,observed_minus_null_median_ba,-0.010416666666666685,-0.027777777777777762,-0.017361111111111077,worsened,PASS,PASS,AGREE,Positive values indicate chronological order above shuffled order.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,order_null_subject_effect,PATH_D10,8,observed_minus_null_median_ba,-0.00347222222222221,0.01041666666666663,0.01388888888888884,improved,PASS,PASS,DISAGREE,Positive values indicate chronological order above shuffled order.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,order_null_subject_effect,PATH_D10,9,observed_minus_null_median_ba,0.00694444444444442,0.020833333333333315,0.013888888888888895,improved,PASS,PASS,AGREE,Positive values indicate chronological order above shuffled order.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,order_null_group,PATH_D10,GROUP,observed_median_subject_ba,0.2604166666666667,0.2673611111111111,0.00694444444444442,improved,PASS,PASS,AGREE,Paired frozen order-null group operand; AIRM alone votes.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,order_null_group,PATH_D10,GROUP,null_median,0.2604166666666667,0.2569444444444444,-0.0034722222222222654,worsened,PASS,PASS,AGREE,Paired frozen order-null group operand; AIRM alone votes.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,order_null_group,PATH_D10,GROUP,effect,0.0,0.010416666666666685,0.010416666666666685,improved,PASS,PASS,DISAGREE,Paired frozen order-null group operand; AIRM alone votes.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,order_null_group,PATH_D10,GROUP,p_value,0.515,0.225,-0.29000000000000004,worsened,PASS,PASS,AGREE,Paired frozen order-null group operand; AIRM alone votes.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,scalar_factor_component,SCALARS_11,ALL,total_path_length:eta2_subject,0.6211109247646626,0.5174099690787807,-0.10370095568588189,worsened,PASS,PASS,AGREE,Paired eta-squared component; magnitude comparison is descriptive.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,scalar_factor_component,SCALARS_11,ALL,total_path_length:eta2_class,0.007759697215187701,0.005474720319523101,-0.0022849768956646,worsened,PASS,PASS,AGREE,Paired eta-squared component; magnitude comparison is descriptive.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,scalar_factor_component,SCALARS_11,ALL,total_path_length:eta2_interaction,0.01068830478606859,0.01411634981202335,0.0034280450259547603,improved,PASS,PASS,AGREE,Paired eta-squared component; magnitude comparison is descriptive.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,scalar_factor_component,SCALARS_11,ALL,total_path_length:eta2_residual,0.36044107323408114,0.4629989607896723,0.10255788755559114,improved,PASS,PASS,AGREE,Paired eta-squared component; magnitude comparison is descriptive.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,scalar_factor_component,SCALARS_11,ALL,endpoint_distance:eta2_subject,0.39599899432120045,0.29559200001403785,-0.1004069943071626,worsened,PASS,PASS,AGREE,Paired eta-squared component; magnitude comparison is descriptive.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,scalar_factor_component,SCALARS_11,ALL,endpoint_distance:eta2_class,0.007027774394378097,0.006791915475633019,-0.00023585891874507766,worsened,PASS,PASS,AGREE,Paired eta-squared component; magnitude comparison is descriptive.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,scalar_factor_component,SCALARS_11,ALL,endpoint_distance:eta2_interaction,0.012450023607986482,0.01419561442101176,0.001745590813025279,improved,PASS,PASS,AGREE,Paired eta-squared component; magnitude comparison is descriptive.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,scalar_factor_component,SCALARS_11,ALL,endpoint_distance:eta2_residual,0.5845232076764351,0.6834204700893173,0.09889726241288221,improved,PASS,PASS,AGREE,Paired eta-squared component; magnitude comparison is descriptive.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,scalar_factor_component,SCALARS_11,ALL,efficiency:eta2_subject,0.038074530508244754,0.03290934734306112,-0.005165183165183634,worsened,PASS,PASS,AGREE,Paired eta-squared component; magnitude comparison is descriptive.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,scalar_factor_component,SCALARS_11,ALL,efficiency:eta2_class,0.0016498616888696253,0.002808374346299055,0.00115851265742943,improved,PASS,PASS,AGREE,Paired eta-squared component; magnitude comparison is descriptive.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,scalar_factor_component,SCALARS_11,ALL,efficiency:eta2_interaction,0.01763503510248379,0.01925466178193983,0.0016196266794560425,improved,PASS,PASS,AGREE,Paired eta-squared component; magnitude comparison is descriptive.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,scalar_factor_component,SCALARS_11,ALL,efficiency:eta2_residual,0.942640572700402,0.9450276165287002,0.00238704382829813,improved,PASS,PASS,AGREE,Paired eta-squared component; magnitude comparison is descriptive.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,scalar_factor_component,SCALARS_11,ALL,excess:eta2_subject,0.4289351376929483,0.31607660684970434,-0.11285853084324393,worsened,PASS,PASS,AGREE,Paired eta-squared component; magnitude comparison is descriptive.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,scalar_factor_component,SCALARS_11,ALL,excess:eta2_class,0.004623497719366399,0.002387899692693324,-0.002235598026673075,worsened,PASS,PASS,AGREE,Paired eta-squared component; magnitude comparison is descriptive.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,scalar_factor_component,SCALARS_11,ALL,excess:eta2_interaction,0.014297659066819861,0.01814943966782292,0.003851780601003057,improved,PASS,PASS,AGREE,Paired eta-squared component; magnitude comparison is descriptive.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,scalar_factor_component,SCALARS_11,ALL,excess:eta2_residual,0.5521437055208658,0.6633860537897793,0.11124234826891355,improved,PASS,PASS,AGREE,Paired eta-squared component; magnitude comparison is descriptive.
