protocol_version,protocol_sha256,config_sha256,seed,session,generated_at_utc,status,geometry,scalar,n_subjects,n_classes,n_per_cell,grand_mean,ss_subject,ss_class,ss_interaction,ss_residual,ss_total,eta2_subject,eta2_class,eta2_interaction,eta2_residual,ss_reconstruction_relative_error,degenerate,uses_p_value
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,AIRM,diameter,9,4,72,5.015118862807838,1046.909423235832,12.346485466571625,49.23262630123836,1159.863513640263,2268.352048643905,0.46152863435008185,0.005442931785633873,0.021704138178494484,0.5113242956857896,2.0047476808475427e-16,False,False
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,LE,total_path_length,9,4,72,13.658041954026501,4182.60685372226,44.25620706810021,114.11287953812096,3742.7624947255504,8083.738435054036,0.5174099690787807,0.005474720319523101,0.01411634981202335,0.4629989607896723,4.500366799742197e-16,False,False
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,LE,endpoint_distance,9,4,72,3.7406700282619783,501.36245227444266,11.519971441522072,24.077607165697653,1159.1699464202693,1696.1299773019318,0.29559200001403785,0.006791915475633019,0.01419561442101176,0.6834204700893173,1.3405439352290674e-16,False,False
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,LE,efficiency,9,4,72,0.2742932393771942,0.19849938541531215,0.016939277948762817,0.11613838737827858,5.70012522964837,6.031702280390723,0.03290934734306112,0.002808374346299055,0.01925466178193983,0.9450276165287002,1.4725170083205608e-16,False,False
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,LE,excess,9,4,72,9.91737192576452,1843.7946702521363,13.929524144057302,105.87256191188735,3869.7823369092403,5833.3790932173215,0.31607660684970434,0.002387899692693324,0.01814943966782292,0.6633860537897793,0.0,False,False
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,LE,mean_turn,9,4,72,2.0295157586819865,2.277708955934678,0.04397980529045045,0.6235080498493629,24.403731165959773,27.348927977034258,0.08328329936176442,0.0016080997883127872,0.022798262892532457,0.8923103379573906,2.5980643056896595e-16,False,False
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,LE,max_turn,9,4,72,2.180474371145698,1.0519921994429713,0.03973562394434713,0.3147734823855418,35.49367739949353,36.900178705266384,0.028509135629005266,0.0010768409622546374,0.008530405364693192,0.961883618044047,1.9255807442978365e-16,False,False
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,LE,mean_geodesic_deviation,9,4,72,3.1120975986331825,273.68062544462384,2.369725725920874,17.91501526590632,292.29193067462705,586.2572971110782,0.4668268127207116,0.004042125765595174,0.03055828107246904,0.4985727804412241,1.9391969751478553e-16,False,False
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,LE,max_geodesic_deviation,9,4,72,3.486866581376701,383.32041880378927,4.792405334648426,49.30360613018422,726.8212571712722,1164.2376874398942,0.32924584295728604,0.004116346160539355,0.04234840244572447,0.6242894084364501,0.0,False,False
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,LE,frechet_variance,9,4,72,5.285825155204247,3974.274282301119,26.642235637270748,155.34435929647634,3020.4858366921453,7176.746713927013,0.5537710108382038,0.003712299834348271,0.021645512303648532,0.4208711770237992,1.2672799222633647e-16,False,False
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,LE,frechet_radius_mean,9,4,72,2.25261829866158,155.1867237515874,1.3671207981709013,4.872008941098948,108.4534212883685,269.87927477922574,0.5750227537054767,0.005065675381295107,0.01805254940411592,0.4018590215091123,0.0,False,False
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,LE,diameter,9,4,72,4.414363981473358,861.7018779081687,11.471248211241882,55.96536763720462,1353.001654969282,2282.1401487258972,0.377584995553078,0.005026531003210385,0.024523194891623853,0.5928652785520878,0.0,False,False
