subject,session,class_label,n_trials,median_within_cell_delta_raw,q25_within_cell_delta_raw,q75_within_cell_delta_raw,iqr_within_cell_delta_raw,medoid_objective,medoid_global_sample_index,medoid_trial_uid,protocol_freeze_sha,protocol_sha256,scientific_source_sha,config_sha256,implementation_source_sha256
3,1test,left_hand,72,0.47930331986188857,0.34686069310391676,0.7118018068831424,0.36494111377922567,0.3467383992295136,3359,S03_1test_T192,12a4d3ebd29a3a95e7fbc1bbc3a6d70b770532dc,fc00ef6a261f6c7e4114a1a0e24771aebc6bf6b21444065ebe5f10d756f3d16c,355fe0b55b1ef692f7b4ddd16d19b7ccc30e72e1,7634580719b47d34707a5480101e62440554f8327a8fcc8a646a6ec25b2271b8,8759ac924f777ddb4bc54442aafb2cec8d8511a7c5d98190ef8edb1b994fc6c1
3,1test,right_hand,72,0.49020300170225506,0.3534899201677901,0.716394732191026,0.36290481202323593,0.33821364080750504,3202,S03_1test_T035,12a4d3ebd29a3a95e7fbc1bbc3a6d70b770532dc,fc00ef6a261f6c7e4114a1a0e24771aebc6bf6b21444065ebe5f10d756f3d16c,355fe0b55b1ef692f7b4ddd16d19b7ccc30e72e1,7634580719b47d34707a5480101e62440554f8327a8fcc8a646a6ec25b2271b8,8759ac924f777ddb4bc54442aafb2cec8d8511a7c5d98190ef8edb1b994fc6c1
3,1test,feet,72,0.5084649779349512,0.37330351081731317,0.6915873722938335,0.3182838614765203,0.3673128061891947,3293,S03_1test_T126,12a4d3ebd29a3a95e7fbc1bbc3a6d70b770532dc,fc00ef6a261f6c7e4114a1a0e24771aebc6bf6b21444065ebe5f10d756f3d16c,355fe0b55b1ef692f7b4ddd16d19b7ccc30e72e1,7634580719b47d34707a5480101e62440554f8327a8fcc8a646a6ec25b2271b8,8759ac924f777ddb4bc54442aafb2cec8d8511a7c5d98190ef8edb1b994fc6c1
3,1test,tongue,72,0.47917558576275904,0.35350255743592995,0.6905310422679951,0.33702848483206516,0.3308369851881683,3252,S03_1test_T085,12a4d3ebd29a3a95e7fbc1bbc3a6d70b770532dc,fc00ef6a261f6c7e4114a1a0e24771aebc6bf6b21444065ebe5f10d756f3d16c,355fe0b55b1ef692f7b4ddd16d19b7ccc30e72e1,7634580719b47d34707a5480101e62440554f8327a8fcc8a646a6ec25b2271b8,8759ac924f777ddb4bc54442aafb2cec8d8511a7c5d98190ef8edb1b994fc6c1
4,0train,left_hand,72,0.35696878368669394,0.27020269693017884,0.46830259301519495,0.1980998960850161,0.261758898347646,992,S04_0train_T129,12a4d3ebd29a3a95e7fbc1bbc3a6d70b770532dc,fc00ef6a261f6c7e4114a1a0e24771aebc6bf6b21444065ebe5f10d756f3d16c,355fe0b55b1ef692f7b4ddd16d19b7ccc30e72e1,7634580719b47d34707a5480101e62440554f8327a8fcc8a646a6ec25b2271b8,8759ac924f777ddb4bc54442aafb2cec8d8511a7c5d98190ef8edb1b994fc6c1
4,0train,right_hand,72,0.37047023380403266,0.2756027725123573,0.5248375407392862,0.24923476822692892,0.26318555088758855,932,S04_0train_T069,12a4d3ebd29a3a95e7fbc1bbc3a6d70b770532dc,fc00ef6a261f6c7e4114a1a0e24771aebc6bf6b21444065ebe5f10d756f3d16c,355fe0b55b1ef692f7b4ddd16d19b7ccc30e72e1,7634580719b47d34707a5480101e62440554f8327a8fcc8a646a6ec25b2271b8,8759ac924f777ddb4bc54442aafb2cec8d8511a7c5d98190ef8edb1b994fc6c1
4,0train,feet,72,0.36192083384872625,0.27604317268489964,0.5038694570078065,0.22782628432290686,0.26879032846975714,1068,S04_0train_T205,12a4d3ebd29a3a95e7fbc1bbc3a6d70b770532dc,fc00ef6a261f6c7e4114a1a0e24771aebc6bf6b21444065ebe5f10d756f3d16c,355fe0b55b1ef692f7b4ddd16d19b7ccc30e72e1,7634580719b47d34707a5480101e62440554f8327a8fcc8a646a6ec25b2271b8,8759ac924f777ddb4bc54442aafb2cec8d8511a7c5d98190ef8edb1b994fc6c1
4,0train,tongue,72,0.3704805709293742,0.2838343931940096,0.5195422843965272,0.23570789120251756,0.28087576752151816,945,S04_0train_T082,12a4d3ebd29a3a95e7fbc1bbc3a6d70b770532dc,fc00ef6a261f6c7e4114a1a0e24771aebc6bf6b21444065ebe5f10d756f3d16c,355fe0b55b1ef692f7b4ddd16d19b7ccc30e72e1,7634580719b47d34707a5480101e62440554f8327a8fcc8a646a6ec25b2271b8,8759ac924f777ddb4bc54442aafb2cec8d8511a7c5d98190ef8edb1b994fc6c1
4,1test,left_hand,72,0.39527336819126596,0.28745794544071895,0.5527286349470535,0.26527068950633453,0.28805057433840153,3570,S04_1test_T115,12a4d3ebd29a3a95e7fbc1bbc3a6d70b770532dc,fc00ef6a261f6c7e4114a1a0e24771aebc6bf6b21444065ebe5f10d756f3d16c,355fe0b55b1ef692f7b4ddd16d19b7ccc30e72e1,7634580719b47d34707a5480101e62440554f8327a8fcc8a646a6ec25b2271b8,8759ac924f777ddb4bc54442aafb2cec8d8511a7c5d98190ef8edb1b994fc6c1
4,1test,right_hand,72,0.3875844516780745,0.2858724363416857,0.5373602917651786,0.25148785542349295,0.2740621111606363,3657,S04_1test_T202,12a4d3ebd29a3a95e7fbc1bbc3a6d70b770532dc,fc00ef6a261f6c7e4114a1a0e24771aebc6bf6b21444065ebe5f10d756f3d16c,355fe0b55b1ef692f7b4ddd16d19b7ccc30e72e1,7634580719b47d34707a5480101e62440554f8327a8fcc8a646a6ec25b2271b8,8759ac924f777ddb4bc54442aafb2cec8d8511a7c5d98190ef8edb1b994fc6c1
4,1test,feet,72,0.5153346968612493,0.37607789565438954,0.7371308180716039,0.3610529224172143,0.35205129357970993,3545,S04_1test_T090,12a4d3ebd29a3a95e7fbc1bbc3a6d70b770532dc,fc00ef6a261f6c7e4114a1a0e24771aebc6bf6b21444065ebe5f10d756f3d16c,355fe0b55b1ef692f7b4ddd16d19b7ccc30e72e1,7634580719b47d34707a5480101e62440554f8327a8fcc8a646a6ec25b2271b8,8759ac924f777ddb4bc54442aafb2cec8d8511a7c5d98190ef8edb1b994fc6c1
