domain,profile,first,second,pearson_correlation,centered_cosine_similarity,euclidean_distance
G_subject_fixed_class,adjusted,S1,S9,0.2814116776702148,0.28141167767021485,6.032923272823247
G_subject_fixed_class,adjusted,S2,S3,-0.6372989886812302,-0.6372989886812302,1.2121763978327351
G_subject_fixed_class,adjusted,S2,S4,-0.8077368041958684,-0.8077368041958686,0.43030268260094834
G_subject_fixed_class,adjusted,S2,S5,-0.24837195215747934,-0.2483719521574794,0.19392678484301162
G_subject_fixed_class,adjusted,S2,S6,0.7203288678411656,0.7203288678411657,0.1815544547130473
G_subject_fixed_class,adjusted,S2,S7,-0.6193024916248578,-0.6193024916248578,0.4667430169214107
G_subject_fixed_class,adjusted,S2,S8,-0.711646456202513,-0.711646456202513,1.2071106697631948
G_subject_fixed_class,adjusted,S2,S9,-0.5178492945105433,-0.5178492945105434,7.014798838002322
G_subject_fixed_class,adjusted,S3,S4,0.9215144990346598,0.92151449903466,0.8970113988758565
G_subject_fixed_class,adjusted,S3,S5,0.46386884330109335,0.4638688433010933,1.0795083161332226
G_subject_fixed_class,adjusted,S3,S6,-0.5797367116238972,-0.5797367116238972,1.2273957771953796
G_subject_fixed_class,adjusted,S3,S7,0.9101711306620361,0.910171130662036,0.8111418362242204
G_subject_fixed_class,adjusted,S3,S8,0.904579412757446,0.904579412757446,0.3747290030468404
G_subject_fixed_class,adjusted,S3,S9,0.4365638961318115,0.4365638961318115,6.2063244123041965
G_subject_fixed_class,adjusted,S4,S5,0.23900552807058764,0.23900552807058764,0.3083498390197788
G_subject_fixed_class,adjusted,S4,S6,-0.7885886134709417,-0.7885886134709418,0.5211450861739405
G_subject_fixed_class,adjusted,S4,S7,0.8591476031141035,0.8591476031141037,0.1988865176823074
G_subject_fixed_class,adjusted,S4,S8,0.8894205585237565,0.8894205585237567,0.8766393005442706
G_subject_fixed_class,adjusted,S4,S9,0.4840828622622278,0.4840828622622279,6.7886419487412395
G_subject_fixed_class,adjusted,S5,S6,-0.04132085605626205,-0.04132085605626206,0.2656239979264815
G_subject_fixed_class,adjusted,S5,S7,0.596634469350005,0.5966344693500049,0.3161981421933139
G_subject_fixed_class,adjusted,S5,S8,0.5985426887535078,0.5985426887535077,1.051955317993657
G_subject_fixed_class,adjusted,S5,S9,0.7050597046884137,0.7050597046884137,6.869123746111005
G_subject_fixed_class,adjusted,S6,S7,-0.5047365097306654,-0.5047365097306654,0.5160704412371188
G_subject_fixed_class,adjusted,S6,S8,-0.5927805059837976,-0.5927805059837976,1.2252853048860377
G_subject_fixed_class,adjusted,S6,S9,-0.5140281874184993,-0.5140281874184993,7.021184362886416
G_subject_fixed_class,adjusted,S7,S8,0.9895906571635679,0.9895906571635676,0.758394836969739
G_subject_fixed_class,adjusted,S7,S9,0.6944501025260296,0.6944501025260296,6.661471883926969
G_subject_fixed_class,adjusted,S8,S9,0.744118200633989,0.7441182006339891,6.021627776055732
