scope,half,subject,session,class,temporal_position,maximum_absolute_difference,exact_match
Full,NA,1,1test,tongue,2,0.0,True
Full,NA,1,1test,tongue,3,0.0,True
Full,NA,1,1test,tongue,4,0.0,True
Full,NA,1,1test,tongue,5,0.0,True
Full,NA,2,1test,left_hand,1,0.0,True
Full,NA,2,1test,left_hand,2,0.0,True
Full,NA,2,1test,left_hand,3,0.0,True
Full,NA,2,1test,left_hand,4,0.0,True
Full,NA,2,1test,left_hand,5,0.0,True
Full,NA,2,1test,right_hand,1,0.0,True
Full,NA,2,1test,right_hand,2,0.0,True
Full,NA,2,1test,right_hand,3,0.0,True
Full,NA,2,1test,right_hand,4,0.0,True
Full,NA,2,1test,right_hand,5,0.0,True
Full,NA,2,1test,feet,1,0.0,True
Full,NA,2,1test,feet,2,0.0,True
Full,NA,2,1test,feet,3,0.0,True
Full,NA,2,1test,feet,4,0.0,True
Full,NA,2,1test,feet,5,0.0,True
Full,NA,2,1test,tongue,1,0.0,True
Full,NA,2,1test,tongue,2,0.0,True
Full,NA,2,1test,tongue,3,0.0,True
Full,NA,2,1test,tongue,4,0.0,True
Full,NA,2,1test,tongue,5,0.0,True
Full,NA,3,1test,left_hand,1,0.0,True
Full,NA,3,1test,left_hand,2,0.0,True
Full,NA,3,1test,left_hand,3,0.0,True
Full,NA,3,1test,left_hand,4,0.0,True
Full,NA,3,1test,left_hand,5,0.0,True
Full,NA,3,1test,right_hand,1,0.0,True
Full,NA,3,1test,right_hand,2,0.0,True
Full,NA,3,1test,right_hand,3,0.0,True
Full,NA,3,1test,right_hand,4,0.0,True
Full,NA,3,1test,right_hand,5,0.0,True
Full,NA,3,1test,feet,1,0.0,True
Full,NA,3,1test,feet,2,0.0,True
Full,NA,3,1test,feet,3,0.0,True
Full,NA,3,1test,feet,4,0.0,True
Full,NA,3,1test,feet,5,0.0,True
Full,NA,3,1test,tongue,1,0.0,True
Full,NA,3,1test,tongue,2,0.0,True
Full,NA,3,1test,tongue,3,0.0,True
Full,NA,3,1test,tongue,4,0.0,True
Full,NA,3,1test,tongue,5,0.0,True
Full,NA,4,1test,left_hand,1,0.0,True
Full,NA,4,1test,left_hand,2,0.0,True
Full,NA,4,1test,left_hand,3,0.0,True
Full,NA,4,1test,left_hand,4,0.0,True
Full,NA,4,1test,left_hand,5,0.0,True
