session0_anchor,S1 Left,S1 Right,S1 Feet,S1 Tongue,S2 Left,S2 Right,S2 Feet,S2 Tongue,S3 Left,S3 Right,S3 Feet,S3 Tongue,S4 Left,S4 Right,S4 Feet,S4 Tongue,S5 Left,S5 Right,S5 Feet,S5 Tongue,S6 Left,S6 Right,S6 Feet,S6 Tongue,S7 Left,S7 Right,S7 Feet,S7 Tongue,S8 Left,S8 Right,S8 Feet,S8 Tongue,S9 Left,S9 Right,S9 Feet,S9 Tongue
S3 Feet,0.19759655200013967,0.20286186574450876,0.2517038839835219,0.2808965701669787,0.23540489281684493,0.1988534951132112,0.34936386308774064,0.265774825670946,0.06599375730335787,0.0902472613939699,0.2930834231455419,0.5269593089240707,0.35466158281982346,0.2605928099637233,0.4924497076046467,0.5707076262395552,0.4262080751969139,0.3520866125100947,0.3351161246846319,0.3042790575826678,0.23035846699186785,0.27137112696215715,0.15451200768839712,0.229215093469962,0.16375374337886286,0.20928417991329312,0.30718593155408414,0.10931334700372772,0.16325117261052396,0.30567894471151613,0.36152136462589496,0.24965663977415462,1.4401879118629803,0.14997826002535938,0.18955998337518734,0.28992774350955164
S3 Tongue,0.6006896048448238,0.564289930794885,0.5895461743499605,0.25561392948814055,0.5630769777652664,0.5023153686300813,0.23795171905713858,0.3860035169904181,0.5229365478482574,0.46007045313010786,0.268480133564111,0.1524512139028145,0.7961779279830329,0.6462625125340666,0.19482625259256875,0.2788682316468476,0.8640950890290011,0.8015047704178001,0.7652203632407957,0.7199175800985902,0.6759757275042028,0.6973535643699945,0.4754851428713582,0.6656009581782114,0.6004293790004022,0.6236362226526713,0.7189200739357937,0.4904223864758683,0.551785100825431,0.7466094005801271,0.818156294075302,0.4994743873528093,1.0422484010284565,0.61015475723957,0.46433005355034956,0.36852358150244857
S4 Left,0.1189820545520528,0.11610910131924357,0.1684650560304787,0.2618070683116307,0.14843063572814486,0.07309891279009667,0.3224627243180839,0.191259754005654,0.12131090918505699,0.12716101413835829,0.2660130764550713,0.513226282741999,0.31808313398300253,0.2212373419995542,0.4686082104439768,0.5373714987181524,0.38206073857723766,0.3221583215595555,0.2875070497841725,0.24202757984840223,0.18336813383555162,0.20673308755592867,0.2729705791514008,0.24455260749282903,0.11489893180513773,0.13995695155732016,0.2514663346524283,0.1048285473252561,0.13496204890572416,0.30066001297978096,0.328318841245976,0.15075487459205755,1.4378559974149616,0.15381252496766412,0.1487286356269878,0.24792746113706415
S4 Right,0.24120633649963158,0.2658261781482409,0.19691896986723922,0.2764870317409591,0.2922466020662495,0.21860741767879546,0.3601385067794971,0.2911271739726147,0.16142466807051475,0.1954524305232324,0.2903851019104706,0.5120152343167051,0.402091265556904,0.19487412408464264,0.49395354876912834,0.5384536693123049,0.4796316676164174,0.4089707540281434,0.37949948557639496,0.3601780873233238,0.26357141632198544,0.2968214202140129,0.1870431368379212,0.21050493206929838,0.18434767666401117,0.25985573307224696,0.33053768528290306,0.1415286369573504,0.14343212838993,0.3153592242978363,0.3775007984701203,0.19610993267458654,1.384204382149358,0.21276494442835583,0.1408523157436418,0.23904541731025492
S4 Feet,0.2038676440565277,0.18845154189256272,0.21983219090420933,0.16427032743589387,0.2122727600456588,0.11447651779575434,0.24203013428809758,0.13932493640235238,0.1763221394470688,0.1503304759545331,0.18551041191413228,0.4164653806106482,0.40648342067745685,0.28057438434754917,0.3831721082158179,0.44127183034757256,0.4761938567049227,0.41702262611996294,0.37321337574324237,0.3358239091448226,0.2790941669489929,0.2951006031895653,0.2686395583873114,0.3059850847527591,0.20446377281156214,0.2296438489820489,0.3256960479300861,0.12602807333374594,0.17559212091481974,0.37185025705780034,0.42056758869607036,0.1392821919299917,1.3544182279361618,0.23674782787607448,0.11969471678382979,0.1650267729204333
S4 Tongue,0.5801317589755604,0.5524559917588578,0.5766001145689499,0.26958404111765566,0.5657593195717335,0.47885443901770897,0.29253961093956626,0.3669571139317042,0.5685008149060161,0.5216896024098125,0.325377779471325,0.1645891917432848,0.7716664435906173,0.6479945141406458,0.24949221394788298,0.07886653651851315,0.8445000630439876,0.798498478181821,0.7315243203787056,0.7103251428022191,0.6716572825463138,0.6662245714117533,0.5794899734568822,0.6780296460526275,0.6018297459473106,0.6089488543956747,0.669821182851246,0.4997897366148953,0.5406862061194512,0.732389711024977,0.8031271924756545,0.4409897985920949,1.1093205936371604,0.6327287376955195,0.43810670723082573,0.30432940338574155
S5 Left,0.19243676190481088,0.23653361359435782,0.32890400970507966,0.5419948876476879,0.27733661275113514,0.31522258214136634,0.5967211327638158,0.4495557397162773,0.2576853864294751,0.3168987700042577,0.548535371840381,0.7950970058873178,0.0795955371986394,0.3074105350296547,0.7442468051870844,0.8145243175144535,0.11987801026842183,0.04198055208764444,0.09869620904266341,0.12224019574673665,0.11963246395792006,0.13250374766210793,0.41097874883713226,0.24864879780330887,0.19754494052598268,0.16415779214258908,0.16850776578173468,0.3033414658418186,0.28473400512359787,0.19595748239133307,0.12349367611852993,0.3885170729131155,1.7222112269871412,0.17058278077565756,0.3826151960335458,0.513777325153523
S5 Right,0.2764938155874,0.33359817278233833,0.3764881467408569,0.609330035701743,0.3758354986078373,0.3997307356227459,0.674972411206737,0.5376584902804669,0.3072406334346303,0.3828603257976338,0.620601898457696,0.8645589502854384,0.1430621992172725,0.3207794430751427,0.8232433188856083,0.8827124392978456,0.18497975681431633,0.1311865007721323,0.1754446806575489,0.23158478027190652,0.18874212756000353,0.20574418351339832,0.419740882955911,0.23229856385609474,0.2526838482272023,0.25419448995289823,0.22256178195816517,0.3546571333793785,0.3218662427119056,0.1724821725167471,0.11108235840838492,0.4489810863115823,1.7732079971533334,0.2218942314499812,0.4291247324011775,0.5689233984814346
S5 Feet,0.23044140307293345,0.2796653050001295,0.3574928545392456,0.5882342778337871,0.32278580335845175,0.3498924444201771,0.6460570094212821,0.48762044718657593,0.33647302132074625,0.3936587731189167,0.6000993934396945,0.8370713697753388,0.06778269713816837,0.34152820645336324,0.7895905879012749,0.8402471992495304,0.09082787081646577,0.09863410365064022,0.07950950942860915,0.1584143464174071,0.1743829086893824,0.1436362077779874,0.49406980185150073,0.2988036386304021,0.2516620202368359,0.20786764585731862,0.1524726263983852,0.358182726163506,0.3259146448894369,0.2190931115223569,0.12390868190670432,0.4068789756063188,1.7691342295450716,0.24945256864817963,0.4178708551065029,0.5428137680893584
S5 Tongue,0.15360284243937514,0.21267831355087893,0.2561747074521124,0.48625948139754605,0.255239790976801,0.2684371002012976,0.5484983718503409,0.40914896609210966,0.20034636160807473,0.27190764219125274,0.4931267249590536,0.7408283702490964,0.13672459234404444,0.22377230635733458,0.6964750540235037,0.7592231551053529,0.2009328486785289,0.129132798774819,0.13547316109525956,0.14686106533040708,0.05935220647932808,0.10199145060099943,0.3473063926998586,0.17028307349083321,0.12498136547981924,0.13296675201295702,0.15477801156798993,0.24187492853476106,0.2124618644746952,0.1555643287600817,0.11761901216117986,0.3233627422937201,1.6512539657285854,0.11238132188963829,0.3133329302222419,0.44910688725156306
