session0_anchor,S1 Left,S1 Right,S1 Feet,S1 Tongue,S2 Left,S2 Right,S2 Feet,S2 Tongue,S3 Left,S3 Right,S3 Feet,S3 Tongue,S4 Left,S4 Right,S4 Feet,S4 Tongue,S5 Left,S5 Right,S5 Feet,S5 Tongue,S6 Left,S6 Right,S6 Feet,S6 Tongue,S7 Left,S7 Right,S7 Feet,S7 Tongue,S8 Left,S8 Right,S8 Feet,S8 Tongue,S9 Left,S9 Right,S9 Feet,S9 Tongue
S3 Feet,1.1505477300776674,1.2155412923313311,1.1402607098966338,1.2636073128844605,1.0230823285441422,1.0756957820899744,1.257740179120923,1.0635275808344382,0.8237829641784582,0.9422439380018132,0.9115147816990867,1.2078788378513559,1.0225839385541187,1.1104493863959881,1.2075484611588474,1.3321276335729588,0.9737573173446048,1.0327025170322954,1.0554388728671162,1.017463165698313,0.9834005784238367,1.0761751863548175,0.9901971882653703,1.1174368730709037,1.1595450321478118,1.137428747607866,1.1421909616214136,1.0848641242241437,1.1779788685280232,1.1257760892583002,0.9834653120659792,1.1148372631578993,2.4777082668798287,1.0675089274770309,1.2268043472642343,1.2736531611919062
S3 Tongue,1.598818686580494,1.7001614769775348,1.158861540542341,1.1191668214738328,1.0612509725808057,1.048600609413573,1.0540853552932734,0.9499833997276065,1.267872133986072,1.4044058114001383,0.8765668168723851,0.8211802122555028,1.3965772698466146,1.2854547722401337,0.9036519373620674,1.0561950190496558,1.3605228974072363,1.3153893992910675,1.293522245053126,1.2169912300799823,1.2897137037880597,1.4047552288051577,1.0405095348824713,1.490545033499731,1.548340917823787,1.5434262939303685,1.5155876999929825,1.1567260045506171,1.6609634799044402,1.5355730301965234,1.3838963167682903,1.0600504530422092,3.0923366610406573,1.3886634170238799,1.7416336353741848,1.1368362851185743
S4 Left,1.251269126924243,1.3081109222117955,0.9637103598587441,0.9654984771194317,0.7422006637416004,0.7566303184925329,0.9647544448919403,0.7673593477919454,1.1698740382070718,1.236725737630676,1.0130401716559922,1.0709400694894486,0.9708114150925846,0.8292006251802586,0.9769411965677346,1.0456194849936677,0.9717832739070634,0.9986200984944074,0.9809855814416298,0.9037352226099202,1.00499932368095,1.1085654025592966,0.9511476763833046,1.1767648694367279,1.1478995102243912,1.1717452840613438,1.1485234578721468,0.9128810775980917,1.2521167641768587,1.1482536819487557,1.022389077649751,0.8545298498508797,2.7960225087735355,1.1357349788497704,1.4759071713460061,1.0049035340901826
S4 Right,1.3225626643971824,1.3480520961834037,0.9986255376695454,1.0617626833153206,0.8573163223553834,0.8527319915403881,1.0812822370177586,0.8236556853417438,1.1796367477314198,1.25745425303842,1.0251465189560893,1.108728336653677,1.0842968209546426,0.8392117273883144,1.0322544703012764,1.0517417757448697,1.0485517373841584,1.1185277794990767,1.0590486241399868,0.9845175810287324,1.0776551304298156,1.2061420437052466,0.9336552817251081,1.1667302322606397,1.18920373091683,1.190800667834434,1.2301039605699968,0.9628747472972011,1.2957030286523468,1.2179022461945341,1.0777545048111763,0.9042255651816618,2.8347901793948442,1.1995998578487073,1.5187324380560718,1.1296905937536377
S4 Feet,1.1903265645619592,1.2746748352529726,1.0572997411604699,1.1302922328530638,0.9345139128213154,1.0177574155950038,1.1003047648832722,0.9021886250085404,1.00872511960034,1.1057710982573232,0.9970698229059167,1.0786630324639117,1.0723602137502972,1.0520457356297501,0.8962798809914008,1.034778447953133,1.0252270303213948,1.0338210131976484,1.0263814434221552,0.9350739004790348,1.0273293868559024,1.0604749378705007,1.0702566304797427,1.229718306983655,1.1278210715486234,1.1413104756207773,1.242996663444398,1.05483430300673,1.3401906547263882,1.2562957081460553,1.1073570478026067,0.9323801071731965,2.6444468595795128,1.0603155079184459,1.4346792651856688,1.0219662897697304
S4 Tongue,1.539159741437154,1.6555015418686576,1.1651393947375068,0.9939053440838853,1.0189448268940824,1.0316983647210827,0.9604807627893915,0.8348488282393342,1.421347174802803,1.4766767781652752,1.096787811185999,0.894224305691748,1.4045807544401685,1.282564756518652,0.7944415392834722,0.6830583614969005,1.3577065037239808,1.2665589956408487,1.2541227249251208,1.147850383205916,1.2352109284515917,1.3039605885226895,1.1467421698929368,1.5115023151146856,1.4815917575611088,1.500564988934541,1.5416278541757051,1.1506979516055784,1.6980751063615311,1.587647120559379,1.4398862487281388,0.9632895908964118,3.0897303055604874,1.325055216784054,1.7860335025436431,0.9673527986624364
S5 Left,0.8753940708242681,0.8710878303364293,1.1812893699949671,1.4000694180200768,1.0727524722067945,1.1331641821331713,1.4088787039489892,1.2219250706718523,0.9040723274545798,0.9581137079351681,1.293125094669057,1.5724760529460118,0.8123782553080182,1.0642707646299199,1.4713706409043905,1.600631136373891,0.6856611311312641,0.8409403528970535,0.8855599715588057,0.8860271042985122,0.9249023233973113,0.9320443446329447,1.192007599061206,0.996137285766005,0.8878576933155607,0.8359067539109553,0.8953347089758783,1.1099694656917285,0.9940713828911317,0.8961448435897331,0.8591992536527432,1.2205206435134204,2.105244010350393,1.0293923448050124,1.1056776145547145,1.3996622949677255
S5 Right,0.9637998561345036,0.9289692709838161,1.0711126757924587,1.2936040798782948,0.9492564103384369,1.0347334266233397,1.2988541600827634,1.1128950145257404,0.9092276943533611,0.9390171000651014,1.168009516388055,1.4158500360585327,0.8869322479483619,0.9718880409548514,1.3373789240146725,1.4599599891044874,0.7241321478547759,0.8000112412985256,0.8508820024473411,0.8605388417145863,0.9113155600251935,0.9384763026633258,1.0796241886149047,0.9584377457997889,0.8672163852066858,0.9049495882383854,0.9272824192928013,1.026472832990866,1.0575663479680468,0.8834509288008132,0.8509386108287397,1.072559233313051,2.286263058049784,1.0592895183384021,1.1930653145196068,1.2703803848374333
S5 Feet,0.8961308350038633,0.9439247884645958,1.0416072590991432,1.1717617112159926,0.9600234608809172,1.0000871734273644,1.2167164185943946,1.0786548630517594,1.0073749646599297,1.0275745790558672,1.2412246924184487,1.4047301666051923,0.827180808749625,1.0716208256263846,1.355182885543649,1.4082967786564273,0.7366637644511608,0.7668691491684607,0.6843249166507039,0.7745025478741839,0.8612131062179266,0.8997035226580503,1.094184737899312,1.0285584768178782,0.917927517663957,0.8864793968432804,0.907258553985708,0.9811579465539535,1.0645580390548832,0.9572509460612768,0.9179189999333109,1.0833975312727513,2.2451572612814545,1.0081129861690517,1.1695435015979532,1.2186547459403994
S5 Tongue,0.9819498879793755,1.047196760813917,0.9978868886552219,1.122915537664202,0.8623640678699371,0.8917843986440908,1.1871252734261404,0.9573318631849176,0.9322875047984477,1.0307189902352305,1.0821238262888055,1.240301756024399,0.9258324981527675,0.9497736037386592,1.1734526445158202,1.2849909497918823,0.7894620550170841,0.8209204927551066,0.7761704699412744,0.7456424863354796,0.8916165818266074,0.9209124167657777,1.0099094446084187,0.9816017772734875,0.9255433113488322,0.9722269614021795,1.0385648044066962,0.9461657340074712,1.0745785514646444,1.0056573800611939,0.917976479788927,0.9576137768284434,2.4657041995362246,1.0428652368712332,1.2750060557288905,1.1139141231535123
