split_cell,distance,objective,determinant,gradient_norm,best_start_index,second_best_objective,objective_spread
48,0.8913979479707603,0.7945903016464824,-1,8.282121488863037e-07,5,0.8009303625618248,0.033263929254812474
49,0.7079923113409891,0.5012531129179559,1,3.9289514271414913e-07,2,0.5088719161989045,0.04016000379167861
50,0.7259911696290801,0.5270631783793998,-1,2.582479369364273e-07,1,0.5270631783888738,0.010635503469521135
51,0.8962550094397513,0.8032730419458487,1,1.4341717229619809e-07,4,0.8048192854029234,0.0321938680797722
52,0.5126494524657189,0.26280946111340137,1,3.113408215071358e-07,2,0.26280946112508285,0.025168507225771075
53,0.5781987074342968,0.33431374527869157,-1,5.921825106019382e-08,0,0.3343137452911328,0.021852525113910615
54,0.7223795642726689,0.5218322348787711,-1,1.7468279631638682e-07,2,0.5218322348795793,0.013742711287650144
55,0.5364831185924268,0.2878141365346559,-1,2.705011620264104e-07,2,0.2878141365418295,0.013609379744664862
56,0.868977687797808,0.7551222218904248,1,1.1265681970367122e-07,0,0.7551222218905402,0.022586781228800645
57,0.7011770073557607,0.4916491956443805,-1,1.2659397081737663e-07,5,0.49515292622630147,0.018401431255501643
58,0.8144599597747699,0.6633450260763198,1,3.439594027146096e-07,5,0.663447103945851,0.019332150836945505
59,0.8669133172881758,0.7515386996915894,-1,1.690821291323237e-07,3,0.7515386996942621,0.030721933106534927
60,0.6616866349489415,0.4378292028700538,-1,4.7457312997773974e-08,3,0.4378292028833132,0.06442517684789884
61,0.7261434457922535,0.5272843038670475,1,2.601391583268536e-07,1,0.5276250632327044,0.012182476532346276
62,0.7251008675946661,0.5257712681865374,1,1.5608658882039326e-07,3,0.5257712682120087,0.04215721304672104
63,0.8920785222105454,0.7958040897893506,1,9.875597720029538e-08,5,0.7999018713089425,0.05474250109571255
64,0.8552203139294592,0.7314017853576027,1,1.3330492001513927e-07,1,0.731401785360596,0.06050092406629659
65,0.7796865756911698,0.6079111563130224,-1,6.971643444599644e-07,0,0.6079111563226022,0.00881160712622675
66,0.8932198593819627,0.7978417171943333,-1,2.375913818086104e-07,1,0.7978417172076958,0.006842392703512057
67,0.7969715349999602,0.6351636276001928,1,2.3052280202105136e-07,0,0.6351636276103658,0.04474809602842289
68,1.111197589776456,1.2347600835250052,-1,6.540309624665571e-07,0,1.2375659774800898,0.049375062087186006
69,0.7514341754329548,0.5646533200086046,-1,7.025784934173474e-07,4,0.5750267928642372,0.013071517904863161
70,1.1572218652082562,1.3391624453160753,1,1.4518269701252687e-07,5,1.341682040631255,0.010099240019796119
71,0.8929865649363502,0.7974250051568225,1,4.0024111826098644e-07,3,0.7974250051598858,0.027118520972483018
