protocol_version,protocol_sha256,config_sha256,seed,session,generated_at_utc,status,geometry,representation,replicate,statistic,observed_statistic,null_median,effect,p_value,exceedance_count,primary_operand,row_status
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:07:41.849297Z,PASS,AIRM,PATH_D10,66,0.23958333333333331,0.2604166666666667,0.25,0.0104166666666666,0.155,30,True,PASS
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:07:41.849297Z,PASS,AIRM,PATH_D10,67,0.2569444444444445,0.2604166666666667,0.25,0.0104166666666666,0.155,30,True,PASS
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:07:41.849297Z,PASS,AIRM,PATH_D10,68,0.2465277777777778,0.2604166666666667,0.25,0.0104166666666666,0.155,30,True,PASS
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:07:41.849297Z,PASS,AIRM,PATH_D10,69,0.27777777777777773,0.2604166666666667,0.25,0.0104166666666666,0.155,30,True,PASS
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:07:41.849297Z,PASS,AIRM,PATH_D10,70,0.25,0.2604166666666667,0.25,0.0104166666666666,0.155,30,True,PASS
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:07:41.849297Z,PASS,AIRM,PATH_D10,71,0.2361111111111111,0.2604166666666667,0.25,0.0104166666666666,0.155,30,True,PASS
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:07:41.849297Z,PASS,AIRM,PATH_D10,72,0.25,0.2604166666666667,0.25,0.0104166666666666,0.155,30,True,PASS
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:07:41.849297Z,PASS,AIRM,PATH_D10,73,0.25347222222222227,0.2604166666666667,0.25,0.0104166666666666,0.155,30,True,PASS
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:07:41.849297Z,PASS,AIRM,PATH_D10,74,0.26041666666666663,0.2604166666666667,0.25,0.0104166666666666,0.155,30,True,PASS
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:07:41.849297Z,PASS,AIRM,PATH_D10,75,0.25,0.2604166666666667,0.25,0.0104166666666666,0.155,30,True,PASS
