dataset,geometry,template,object,signature,subject,session0_half_cosine,session1_half_cosine,mean_session_half_cosine,same_subject_cross_session_cosine
OpenBMI,AIRM,session_specific,Z,sensor,33,0.42416029434751978,0.17142720616783347,0.29779375025767663,0.65238312801923937
OpenBMI,AIRM,session_specific,Z,sensor,34,-0.28693665125027484,0.11062545251419864,-0.088155599368038073,0.49391520027616748
OpenBMI,AIRM,session_specific,Z,sensor,35,0.35567711340777508,0.68366296473070065,0.51967003906923792,0.33339594529818545
OpenBMI,AIRM,session_specific,Z,sensor,36,0.90573826137751567,0.96613339666323284,0.93593582902037431,0.82136066351759596
OpenBMI,AIRM,session_specific,Z,sensor,37,0.72480626152698857,0.75520329199416825,0.74000477676057841,0.60191699826143197
OpenBMI,AIRM,session_specific,Z,sensor,38,0.092111336274060998,0.35625562314891296,0.224183479711487,0.21054293287941564
OpenBMI,AIRM,session_specific,Z,sensor,39,-0.11989195824050909,-0.63852142992304084,-0.37920669408177521,0.033495019690785
OpenBMI,AIRM,session_specific,Z,sensor,40,0.27828937526750974,0.42871251600617166,0.3535009456368407,0.42656462124031425
OpenBMI,AIRM,session_specific,Z,sensor,41,0.3693018725639034,0.31714833456025937,0.34322510356208147,0.48447688728167637
OpenBMI,AIRM,session_specific,Z,sensor,42,0.69467746315986312,0.33608820234403136,0.51538283275194741,0.47756991301819235
OpenBMI,AIRM,session_specific,Z,sensor,43,0.42503186820414196,0.44488493011039232,0.43495839915726725,0.2783841983251637
OpenBMI,AIRM,session_specific,Z,sensor,44,0.77453691790165813,0.85578760390908415,0.81516226090537125,0.78943066609467483
OpenBMI,AIRM,session_specific,Z,sensor,45,0.80415804586674855,0.65270809368874039,0.72843306977774447,0.32084092903456124
OpenBMI,AIRM,session_specific,Z,sensor,46,0.4757745892551557,0.40881014942077909,0.44229236933796739,0.6469158545711432
OpenBMI,AIRM,session_specific,Z,sensor,47,0.43156933537415998,0.56592185171475906,0.49874559354445969,0.10742948606893903
OpenBMI,AIRM,session_specific,Z,sensor,48,0.55742089913124682,0.66812044838141094,0.61277067375632899,0.28952814906446511
OpenBMI,AIRM,session_specific,Z,sensor,49,0.077227879573162808,0.34014715895430403,0.20868751926373341,0.30276527363382971
OpenBMI,AIRM,session_specific,Z,sensor,50,0.66240750624561962,0.3439440640330173,0.50317578513931849,0.50177827232392302
OpenBMI,AIRM,session_specific,Z,sensor,51,0.057262475216930876,0.24057587868192706,0.14891917694942899,0.33484715227085887
OpenBMI,AIRM,session_specific,Z,sensor,52,0.40794619632140716,0.47380977672379004,0.44087798652259869,0.34449258614940292
OpenBMI,AIRM,session_specific,Z,sensor,53,0.44450223542535722,0.16134283661194443,0.30292253601865082,0.44881613517861901
OpenBMI,AIRM,session_specific,Z,sensor,54,0.40944571536305863,-0.097751973544930426,0.1558468709090641,-0.030870830595265547
OpenBMI,AIRM,session_specific,Z,spectrum,1,0.76300849677263871,0.97450774386134098,0.86875812031698985,0.71346596132449058
OpenBMI,AIRM,session_specific,Z,spectrum,2,0.95548176442263966,0.98832800063192683,0.97190488252728324,0.92985902485369909
OpenBMI,AIRM,session_specific,Z,spectrum,3,0.98953757301081291,0.73479240969501303,0.86216499135291302,0.8056693140862331
OpenBMI,AIRM,session_specific,Z,spectrum,4,0.81828800703853188,0.95114116985465813,0.88471458844659501,0.62251934477297233
OpenBMI,AIRM,session_specific,Z,spectrum,5,0.98398883596303677,0.76517777012751242,0.87458330304527476,0.98053557347681009
OpenBMI,AIRM,session_specific,Z,spectrum,6,0.8821698237534441,0.91672074704340822,0.89944528539842628,0.98388368509701474
OpenBMI,AIRM,session_specific,Z,spectrum,7,0.97635235729352132,0.81410494530394439,0.89522865129873286,0.97999474638808326
OpenBMI,AIRM,session_specific,Z,spectrum,8,0.90438030997914276,0.86603438825113432,0.88520734911513876,0.73883766684392249
OpenBMI,AIRM,session_specific,Z,spectrum,9,0.78323575638294085,0.53831755211870047,0.66077665425082088,0.57793128640608804
OpenBMI,AIRM,session_specific,Z,spectrum,10,0.97461102906921204,0.89796922997323547,0.93629012952122381,0.9877731975693923
