dataset,geometry,template,object,signature,subject,session0_half_cosine,session1_half_cosine,mean_session_half_cosine,same_subject_cross_session_cosine
BNCI2014_001,AIRM,session_specific,R,spectrum,1,0.96916010775642514,0.93201786911941831,0.95058898843792172,0.98591601025225284
BNCI2014_001,AIRM,session_specific,R,spectrum,2,0.97353339572591391,0.97131482908122302,0.97242411240356863,0.9341035357589903
BNCI2014_001,AIRM,session_specific,R,spectrum,3,0.86702562850872678,0.95548151792032221,0.91125357321452471,0.9543035889512802
BNCI2014_001,AIRM,session_specific,R,spectrum,4,0.87198652147574152,0.97886528420380614,0.92542590283977411,0.76360935000607955
BNCI2014_001,AIRM,session_specific,R,spectrum,5,0.97773785517065726,0.98729205391687225,0.98251495454376503,0.96962771212804699
BNCI2014_001,AIRM,session_specific,R,spectrum,6,0.94896294590911312,0.98225494010552361,0.96560894300731837,0.96436517384421649
BNCI2014_001,AIRM,session_specific,R,spectrum,7,0.95093380555693519,0.97081522276916044,0.96087451416304792,0.93411469508968981
BNCI2014_001,AIRM,session_specific,R,spectrum,8,0.96014102843044813,0.98293800245768304,0.97153951544406558,0.96275862073265017
BNCI2014_001,AIRM,session_specific,R,spectrum,9,0.95104375587499179,0.98813076544540213,0.96958726066019707,0.88624725793667025
BNCI2014_001,AIRM,pooled_session,Z,sensor,1,0.85240839985787553,0.7727900165471403,0.81259920820250797,0.92253643643282124
BNCI2014_001,AIRM,pooled_session,Z,sensor,2,0.86416878626506066,0.88903794638005662,0.87660336632255875,0.90824202170656443
BNCI2014_001,AIRM,pooled_session,Z,sensor,3,0.63316833186458221,0.79321970991152924,0.71319402088805595,0.87072484932599759
BNCI2014_001,AIRM,pooled_session,Z,sensor,4,0.61756307534447408,0.7470604551621518,0.68231176525331294,0.5241760595410353
BNCI2014_001,AIRM,pooled_session,Z,sensor,5,0.75402521391348643,0.76891878698811755,0.76147200045080199,0.86283215159106197
BNCI2014_001,AIRM,pooled_session,Z,sensor,6,0.58626227516559837,0.7374675429432197,0.66186490905440909,0.78564097928686916
BNCI2014_001,AIRM,pooled_session,Z,sensor,7,0.68631051368380291,0.73500233824104466,0.71065642596242373,0.79530402933938849
BNCI2014_001,AIRM,pooled_session,Z,sensor,8,0.77973161128453994,0.83200349726710088,0.80586755427582046,0.78924561068375743
BNCI2014_001,AIRM,pooled_session,Z,sensor,9,0.7032964213800863,0.90931193238663588,0.80630417688336109,0.75128228740831271
BNCI2014_001,AIRM,pooled_session,Z,spectrum,1,0.96878850006412498,0.9293346011912873,0.94906155062770625,0.98068236053453717
