half,component,subject,J_s,T_J
B,sensor,17,0.24649824952223143,-0.03534088948970259
B,sensor,18,-0.18243166991048598,-0.03534088948970259
B,sensor,19,0.008818318763777366,-0.03534088948970259
B,sensor,20,-0.2820043700790118,-0.03534088948970259
B,sensor,21,-0.2535343113691113,-0.03534088948970259
B,sensor,22,0.04575146653515283,-0.03534088948970259
B,sensor,23,0.058507330265112234,-0.03534088948970259
B,sensor,24,0.1263347112644977,-0.03534088948970259
B,sensor,25,-0.013210799083003932,-0.03534088948970259
B,sensor,26,-0.5891055155871188,-0.03534088948970259
B,sensor,27,-0.025606506630895698,-0.03534088948970259
B,sensor,28,0.42513146279700376,-0.03534088948970259
B,sensor,29,0.7935129505909511,-0.03534088948970259
B,sensor,30,0.1395825337222656,-0.03534088948970259
B,sensor,31,0.7210480485202424,-0.03534088948970259
B,sensor,32,-0.019149568120458982,-0.03534088948970259
B,sensor,33,-0.8429102731130287,-0.03534088948970259
B,sensor,34,-0.3412239321594994,-0.03534088948970259
B,sensor,35,0.0062273530711285385,-0.03534088948970259
B,sensor,36,0.17976769183824803,-0.03534088948970259
B,sensor,37,-0.05143770144329185,-0.03534088948970259
B,sensor,38,-0.8001980422545285,-0.03534088948970259
B,sensor,39,0.2681647249257515,-0.03534088948970259
B,sensor,40,0.13045117068513346,-0.03534088948970259
B,sensor,41,-0.6321859571375417,-0.03534088948970259
B,sensor,42,-0.13110196355599513,-0.03534088948970259
B,sensor,43,0.8057258100064963,-0.03534088948970259
B,sensor,44,-0.10371643877530201,-0.03534088948970259
B,sensor,45,-0.020389796600406518,-0.03534088948970259
B,sensor,46,1.306652557980259,-0.03534088948970259
B,sensor,47,-0.1511225269008536,-0.03534088948970259
B,sensor,48,1.0768440644363326,-0.03534088948970259
B,sensor,49,-0.09850455326297602,-0.03534088948970259
B,sensor,50,-0.039442917847417824,-0.03534088948970259
B,sensor,51,-0.9872354560669832,-0.03534088948970259
B,sensor,52,0.06862880443360964,-0.03534088948970259
B,sensor,53,-0.14512988470733568,-0.03534088948970259
B,sensor,54,0.4792943848645419,-0.03534088948970259
B,full,1,-0.36265160965477616,-0.05176408350973886
B,full,2,0.11025033214740554,-0.05176408350973886
B,full,3,0.09426114659235652,-0.05176408350973886
B,full,4,-0.022520921775046943,-0.05176408350973886
B,full,5,-0.1027958488885874,-0.05176408350973886
B,full,6,-0.4484390892475454,-0.05176408350973886
B,full,7,0.35863388037396016,-0.05176408350973886
B,full,8,-0.35683100602091833,-0.05176408350973886
B,full,9,0.29211139988470736,-0.05176408350973886
B,full,10,0.08842589378326737,-0.05176408350973886
B,full,11,0.0009516387729929798,-0.05176408350973886
B,full,12,-0.3206737780411444,-0.05176408350973886
B,full,13,-0.47450861864622884,-0.05176408350973886
B,full,14,-0.3259648308779374,-0.05176408350973886
B,full,15,-0.3052672221595122,-0.05176408350973886
B,full,16,-1.4112079261110964,-0.05176408350973886
B,full,17,0.08288454904450338,-0.05176408350973886
B,full,18,-0.055127485572399326,-0.05176408350973886
B,full,19,0.04575945763875511,-0.05176408350973886
B,full,20,-0.32603139175600826,-0.05176408350973886
B,full,21,-0.17140993813576844,-0.05176408350973886
B,full,22,0.277972128524955,-0.05176408350973886
B,full,23,0.09142448617973509,-0.05176408350973886
B,full,24,0.04112655636762885,-0.05176408350973886
B,full,25,-0.048676013276281016,-0.05176408350973886
B,full,26,-0.4537482806823595,-0.05176408350973886
B,full,27,-0.29636879178038267,-0.05176408350973886
