subject,session,class,state,half,trial_count,normalized_karcher_residual,warning_count
4,0,right_hand,2,B,25,6.160271826229621e-11,0
4,0,right_hand,3,full,50,5.974121021772274e-11,0
4,0,right_hand,3,A,25,5.099627119389193e-11,0
4,0,right_hand,3,B,25,8.066795822318221e-11,0
4,0,right_hand,4,full,50,7.917279990824504e-11,0
4,0,right_hand,4,A,25,5.918026529654554e-11,0
4,0,right_hand,4,B,25,4.1934179671942425e-11,0
4,0,right_hand,5,full,50,4.8484267559726436e-11,0
4,0,right_hand,5,A,25,5.074348675737565e-11,0
4,0,right_hand,5,B,25,5.3507558592614425e-11,0
5,0,left_hand,1,full,50,5.4456329624450334e-11,0
5,0,left_hand,1,A,25,5.825684842291399e-11,0
5,0,left_hand,1,B,25,5.428022565574992e-11,0
5,0,left_hand,2,full,50,5.602078397328266e-11,0
5,0,left_hand,2,A,25,5.75004526701566e-11,0
5,0,left_hand,2,B,25,5.523017016823737e-11,0
5,0,left_hand,3,full,50,5.605135513897987e-11,0
5,0,left_hand,3,A,25,5.975403267062585e-11,0
5,0,left_hand,3,B,25,5.56025396818064e-11,0
5,0,left_hand,4,full,50,5.291533022942154e-11,0
5,0,left_hand,4,A,25,5.7409794966617436e-11,0
5,0,left_hand,4,B,25,5.302082434493952e-11,0
5,0,left_hand,5,full,50,5.747296620812519e-11,0
5,0,left_hand,5,A,25,5.3380752139121486e-11,0
5,0,left_hand,5,B,25,6.685866346848074e-11,0
5,0,right_hand,1,full,50,5.5857984334431527e-11,0
5,0,right_hand,1,A,25,5.496639309298182e-11,0
5,0,right_hand,1,B,25,6.024801232010762e-11,0
5,0,right_hand,2,full,50,5.461053503669008e-11,0
5,0,right_hand,2,A,25,5.7243189748919265e-11,0
5,0,right_hand,2,B,25,5.60484504924162e-11,0
5,0,right_hand,3,full,50,5.490429468681197e-11,0
5,0,right_hand,3,A,25,5.5509324827372216e-11,0
5,0,right_hand,3,B,25,5.957213737249142e-11,0
5,0,right_hand,4,full,50,5.3251627980739035e-11,0
5,0,right_hand,4,A,25,5.085428747373094e-11,0
5,0,right_hand,4,B,25,5.804532133114243e-11,0
5,0,right_hand,5,full,50,5.606711850842976e-11,0
5,0,right_hand,5,A,25,5.825123160350332e-11,0
5,0,right_hand,5,B,25,5.914354951084068e-11,0
6,0,left_hand,1,full,50,6.53205972216175e-11,0
6,0,left_hand,1,A,25,6.459075366550608e-11,0
6,0,left_hand,1,B,25,6.681909041748958e-11,0
6,0,left_hand,2,full,50,6.909985089181726e-11,0
6,0,left_hand,2,A,25,6.933008660862095e-11,0
6,0,left_hand,2,B,25,7.570476428618494e-11,0
6,0,left_hand,3,full,50,6.839092387498527e-11,0
6,0,left_hand,3,A,25,7.007324096809056e-11,0
6,0,left_hand,3,B,25,6.994647506533033e-11,0
6,0,left_hand,4,full,50,6.350221529266099e-11,0
6,0,left_hand,4,A,25,6.507417654641874e-11,0
6,0,left_hand,4,B,25,6.427967977786671e-11,0
6,0,left_hand,5,full,50,7.1026722462129e-11,0
6,0,left_hand,5,A,25,7.296345457073492e-11,0
6,0,left_hand,5,B,25,7.127468641454104e-11,0
6,0,right_hand,1,full,50,6.293232295058445e-11,0
6,0,right_hand,1,A,25,6.27861611465611e-11,0
6,0,right_hand,1,B,25,6.34908983267208e-11,0
6,0,right_hand,2,full,50,6.449521767009357e-11,0
6,0,right_hand,2,A,25,6.872095085536506e-11,0
6,0,right_hand,2,B,25,6.070520472141403e-11,0
6,0,right_hand,3,full,50,6.987163046058684e-11,0
6,0,right_hand,3,A,25,6.605204157180885e-11,0
6,0,right_hand,3,B,25,7.219285320311209e-11,0
6,0,right_hand,4,full,50,5.7111375905728484e-11,0
6,0,right_hand,4,A,25,6.473810624552368e-11,0
6,0,right_hand,4,B,25,5.32859030766825e-11,0
6,0,right_hand,5,full,50,6.535889501519426e-11,0
6,0,right_hand,5,A,25,6.721436617489822e-11,0
