subject,class,identity_cost,median_derangement_cost,identity_advantage,identity_rank_among_120
44,left_hand,2.5080849627412656,2.516041489201033,0.00795652645976741,31
44,right_hand,2.6533234471874745,2.6434125960094113,-0.009910851178063229,95
45,left_hand,3.257461468201849,3.2613003121992996,0.003838843997450603,24
45,right_hand,2.4559870145707428,2.4831727574425746,0.02718574287183184,9
46,left_hand,3.570343692976142,3.5909415852494337,0.020597892273291674,26
46,right_hand,3.31096454034256,3.3739513168821826,0.06298677653962281,5
47,left_hand,1.8985777698256199,1.864885687369965,-0.033692082455654804,99
47,right_hand,1.8375256240787956,1.7336723811919108,-0.1038532428868848,107
48,left_hand,1.3015685971194904,1.2831209188650834,-0.018447678254406963,87
48,right_hand,1.1635294866564416,1.1647542799952404,0.0012247933387987686,50
49,left_hand,1.6147193002643365,1.6494561426459773,0.034736842381640765,17
49,right_hand,1.6692467097485209,1.663150335891061,-0.006096373857459758,82
50,left_hand,5.087018636724404,5.090054666436593,0.00303602971218897,12
50,right_hand,5.649809803634751,5.650902710678382,0.001092907043631186,15
51,left_hand,1.2376063749070392,1.2213055614535642,-0.016300813453475005,98
51,right_hand,1.3501906328341726,1.3352561679789834,-0.014934464855189233,78
52,left_hand,1.2720587623284134,1.279863520340329,0.007804758011915602,32
52,right_hand,1.5365927479219772,1.5219321256605522,-0.01466062226142495,81
53,left_hand,1.1338460452242598,1.1247844525733717,-0.009061592650888128,79
53,right_hand,1.2993075215363084,1.2621538026899197,-0.03715371884638863,100
54,left_hand,0.827883298729907,1.0317318135105489,0.20384851478064192,1
54,right_hand,0.8022359762986644,0.9631527039220376,0.16091672762337317,13
