component,subject,S_s,C_s,J_s
sensor,7,-0.06887543470651647,-0.034573860973380666,-0.06417060097222049
sensor,8,0.15312911191381517,-0.579270733820339,-0.5303461907281348
sensor,9,0.1911392774789843,-0.08205696463616174,-0.019473904851429302
sensor,10,0.6433012494505721,0.10984017118101264,0.11570502662821491
sensor,11,0.3168237083889105,-0.032770356817000024,-0.022591252148325247
sensor,12,0.11542850834778273,-0.0938105111016947,-0.0781274123102349
sensor,13,-0.37930377465859233,-0.10141901112675156,-0.2220192798582873
sensor,14,0.25733130024380246,-0.03840227302073396,-0.08894924019672967
sensor,15,0.37541359463265633,0.03441266185098957,0.09291279147206366
sensor,16,0.08200903021147421,-0.538857901961878,-0.6117026161685161
sensor,17,-0.002295512483975526,0.17832945802201527,0.09680935889171671
sensor,18,0.08192760747996009,0.07007708753355679,0.13210877112473085
sensor,19,-0.0334666646817976,0.7062212230520704,0.6274112027131173
sensor,20,-0.18939797938549852,-0.4677537415327243,-0.3801983037654716
sensor,21,-0.025033484801415096,-0.09289375194410332,-0.05637603954669945
sensor,22,0.5537337509056627,0.3399183259589509,0.36796656072692124
sensor,23,0.11283447818726389,0.39871082738343366,0.4086104321670794
sensor,24,0.24427759237993985,0.07884471953314909,0.0992148611734287
sensor,25,0.16037125571431887,-0.25811003012707323,-0.1959605680716735
sensor,26,-0.3756888837622907,-0.22535276520182435,-0.21758980131666128
sensor,27,0.16619568695183984,0.03229959796450366,0.00407415668736566
sensor,28,0.340858554376926,0.06968578885209165,0.03668180855116765
sensor,29,0.6882128142311699,0.5164878223244223,0.38416579844197674
sensor,30,0.3882405967554271,0.37866785465762853,0.2601731766327303
sensor,31,0.1090757305348714,0.04374945005388431,0.028854335501508177
sensor,32,0.2739899950233714,0.1657655786868688,0.2213956529557225
sensor,33,-0.18289506216308493,-0.30876075830194627,-0.1527900571973706
sensor,34,0.4282669648564785,-0.31379381812600626,-0.20574637667847506
sensor,35,0.35007659556905757,-0.01659231712645537,-0.011426021436326539
sensor,36,0.17457458292506522,0.02174346618170897,0.027376528935817213
sensor,37,-0.09846570842668001,-0.24083360443721924,-0.11690433977764259
sensor,38,-0.20828016267399274,-0.34298408870673325,-0.3577460398968444
sensor,39,-0.04897949482349662,-0.15209186885103587,-0.09043708951287943
sensor,40,0.31786544302383357,0.4148102432105588,0.3697231954648851
sensor,41,0.07076408746926177,-0.11517077246568008,-0.1211166609167178
sensor,42,0.09561836319671047,0.04908538183651556,0.0292719374571081
sensor,43,0.4326853802690347,0.1744244897735967,0.12395762037011893
sensor,44,-0.3760502585601686,-0.28708479175110524,-0.276937754767139
sensor,45,0.3404879594741125,0.32036976204384504,0.2744886087140832
sensor,46,0.46964832846558957,0.19456886782958616,0.2029674191603721
sensor,47,-0.6570566434373115,0.03346178367205588,0.0506600645000721
sensor,48,0.2579472552863966,-0.0977194565265993,-0.04985244464519567
sensor,49,0.006063947728550012,-0.19930356875856914,-0.20094927061850365
sensor,50,0.10690412841703356,0.09606609023237189,0.1558168087064633
sensor,51,-0.24090780443738535,-0.8675747195207478,-0.8623285178098694
sensor,52,0.03242197846868833,0.06822559056591948,0.10614844248128885
sensor,53,-0.18789053365378383,-0.3805161284713958,-0.4076699821447205
sensor,54,0.3529880643951535,0.3746710096910044,0.3336720386453089
