phase,session,geometry,split,row_type,subject,class_row,class_column,value
discovery,0train,AIRM,F,subject_median,,left_hand,right_hand,0.5749319911513576
discovery,0train,AIRM,F,subject_median,,left_hand,feet,0.9646557526038694
discovery,0train,AIRM,F,subject_median,,left_hand,tongue,1.7316540567817207
discovery,0train,AIRM,F,subject_median,,right_hand,left_hand,0.5749319911513576
discovery,0train,AIRM,F,subject_median,,right_hand,right_hand,0.0
discovery,0train,AIRM,F,subject_median,,right_hand,feet,0.8813565297549928
discovery,0train,AIRM,F,subject_median,,right_hand,tongue,1.427206598544093
discovery,0train,AIRM,F,subject_median,,feet,left_hand,0.9646557526038694
discovery,0train,AIRM,F,subject_median,,feet,right_hand,0.8813565297549928
discovery,0train,AIRM,F,subject_median,,feet,feet,0.0
discovery,0train,AIRM,F,subject_median,,feet,tongue,0.959675732434786
discovery,0train,AIRM,F,subject_median,,tongue,left_hand,1.7316540567817207
discovery,0train,AIRM,F,subject_median,,tongue,right_hand,1.427206598544093
discovery,0train,AIRM,F,subject_median,,tongue,feet,0.959675732434786
discovery,0train,AIRM,F,subject_median,,tongue,tongue,0.0
confirmatory,1test,AIRM,F,subject,1,left_hand,left_hand,0.0
confirmatory,1test,AIRM,F,subject,1,left_hand,right_hand,1.0464054246024885
confirmatory,1test,AIRM,F,subject,1,left_hand,feet,2.026363282698669
confirmatory,1test,AIRM,F,subject,1,left_hand,tongue,2.262820248404042
confirmatory,1test,AIRM,F,subject,1,right_hand,left_hand,1.0464054246024885
confirmatory,1test,AIRM,F,subject,1,right_hand,right_hand,0.0
confirmatory,1test,AIRM,F,subject,1,right_hand,feet,2.2438485374859534
confirmatory,1test,AIRM,F,subject,1,right_hand,tongue,2.506748459974084
confirmatory,1test,AIRM,F,subject,1,feet,left_hand,2.026363282698669
confirmatory,1test,AIRM,F,subject,1,feet,right_hand,2.2438485374859534
confirmatory,1test,AIRM,F,subject,1,feet,feet,0.0
confirmatory,1test,AIRM,F,subject,1,feet,tongue,0.5397582730877358
confirmatory,1test,AIRM,F,subject,1,tongue,left_hand,2.262820248404042
confirmatory,1test,AIRM,F,subject,1,tongue,right_hand,2.506748459974084
confirmatory,1test,AIRM,F,subject,1,tongue,feet,0.5397582730877358
confirmatory,1test,AIRM,F,subject,1,tongue,tongue,0.0
confirmatory,1test,AIRM,F,subject,2,left_hand,left_hand,0.0
confirmatory,1test,AIRM,F,subject,2,left_hand,right_hand,0.47940189305839953
confirmatory,1test,AIRM,F,subject,2,left_hand,feet,0.73611272138583
confirmatory,1test,AIRM,F,subject,2,left_hand,tongue,0.7731009945618632
confirmatory,1test,AIRM,F,subject,2,right_hand,left_hand,0.47940189305839953
confirmatory,1test,AIRM,F,subject,2,right_hand,right_hand,0.0
confirmatory,1test,AIRM,F,subject,2,right_hand,feet,0.7554012764300229
confirmatory,1test,AIRM,F,subject,2,right_hand,tongue,0.5944602504232339
confirmatory,1test,AIRM,F,subject,2,feet,left_hand,0.73611272138583
confirmatory,1test,AIRM,F,subject,2,feet,right_hand,0.7554012764300229
confirmatory,1test,AIRM,F,subject,2,feet,feet,0.0
confirmatory,1test,AIRM,F,subject,2,feet,tongue,0.8884629284495202
confirmatory,1test,AIRM,F,subject,2,tongue,left_hand,0.7731009945618632
confirmatory,1test,AIRM,F,subject,2,tongue,right_hand,0.5944602504232339
confirmatory,1test,AIRM,F,subject,2,tongue,feet,0.8884629284495202
confirmatory,1test,AIRM,F,subject,2,tongue,tongue,0.0
confirmatory,1test,AIRM,F,subject,3,left_hand,left_hand,0.0
confirmatory,1test,AIRM,F,subject,3,left_hand,right_hand,1.2678598682321225
confirmatory,1test,AIRM,F,subject,3,left_hand,feet,1.4427368186750635
confirmatory,1test,AIRM,F,subject,3,left_hand,tongue,1.9877668206273664
confirmatory,1test,AIRM,F,subject,3,right_hand,left_hand,1.2678598682321225
confirmatory,1test,AIRM,F,subject,3,right_hand,right_hand,0.0
confirmatory,1test,AIRM,F,subject,3,right_hand,feet,1.595558616315028
confirmatory,1test,AIRM,F,subject,3,right_hand,tongue,2.1367146378349693
confirmatory,1test,AIRM,F,subject,3,feet,left_hand,1.4427368186750635
confirmatory,1test,AIRM,F,subject,3,feet,right_hand,1.595558616315028
confirmatory,1test,AIRM,F,subject,3,feet,feet,0.0
confirmatory,1test,AIRM,F,subject,3,feet,tongue,1.013589271555289
confirmatory,1test,AIRM,F,subject,3,tongue,left_hand,1.9877668206273664
confirmatory,1test,AIRM,F,subject,3,tongue,right_hand,2.1367146378349693
confirmatory,1test,AIRM,F,subject,3,tongue,feet,1.013589271555289
confirmatory,1test,AIRM,F,subject,3,tongue,tongue,0.0
confirmatory,1test,AIRM,F,subject,4,left_hand,left_hand,0.0
confirmatory,1test,AIRM,F,subject,4,left_hand,right_hand,0.49865443963434697
confirmatory,1test,AIRM,F,subject,4,left_hand,feet,1.4327380018991132
confirmatory,1test,AIRM,F,subject,4,left_hand,tongue,1.3362551267730616
confirmatory,1test,AIRM,F,subject,4,right_hand,left_hand,0.49865443963434697
confirmatory,1test,AIRM,F,subject,4,right_hand,right_hand,0.0
confirmatory,1test,AIRM,F,subject,4,right_hand,feet,1.3552736844694089
confirmatory,1test,AIRM,F,subject,4,right_hand,tongue,1.2090768224878015
confirmatory,1test,AIRM,F,subject,4,feet,left_hand,1.4327380018991132
confirmatory,1test,AIRM,F,subject,4,feet,right_hand,1.3552736844694089
confirmatory,1test,AIRM,F,subject,4,feet,feet,0.0
confirmatory,1test,AIRM,F,subject,4,feet,tongue,0.48591740145401735
confirmatory,1test,AIRM,F,subject,4,tongue,left_hand,1.3362551267730616
confirmatory,1test,AIRM,F,subject,4,tongue,right_hand,1.2090768224878015
confirmatory,1test,AIRM,F,subject,4,tongue,feet,0.48591740145401735
confirmatory,1test,AIRM,F,subject,4,tongue,tongue,0.0
confirmatory,1test,AIRM,F,subject,5,left_hand,left_hand,0.0
confirmatory,1test,AIRM,F,subject,5,left_hand,right_hand,0.35149579163707584
confirmatory,1test,AIRM,F,subject,5,left_hand,feet,0.47544907740817094
confirmatory,1test,AIRM,F,subject,5,left_hand,tongue,0.568565298779204
confirmatory,1test,AIRM,F,subject,5,right_hand,left_hand,0.35149579163707584
confirmatory,1test,AIRM,F,subject,5,right_hand,right_hand,0.0
confirmatory,1test,AIRM,F,subject,5,right_hand,feet,0.4810596726730032
confirmatory,1test,AIRM,F,subject,5,right_hand,tongue,0.5823305848105479
confirmatory,1test,AIRM,F,subject,5,feet,left_hand,0.47544907740817094
confirmatory,1test,AIRM,F,subject,5,feet,right_hand,0.4810596726730032
confirmatory,1test,AIRM,F,subject,5,feet,feet,0.0
confirmatory,1test,AIRM,F,subject,5,feet,tongue,0.5311088381591696
confirmatory,1test,AIRM,F,subject,5,tongue,left_hand,0.568565298779204
confirmatory,1test,AIRM,F,subject,5,tongue,right_hand,0.5823305848105479
confirmatory,1test,AIRM,F,subject,5,tongue,feet,0.5311088381591696
confirmatory,1test,AIRM,F,subject,5,tongue,tongue,0.0
confirmatory,1test,AIRM,F,subject,6,left_hand,left_hand,0.0
confirmatory,1test,AIRM,F,subject,6,left_hand,right_hand,0.5562145699199453
confirmatory,1test,AIRM,F,subject,6,left_hand,feet,1.072539022150177
confirmatory,1test,AIRM,F,subject,6,left_hand,tongue,0.6775619305859665
confirmatory,1test,AIRM,F,subject,6,right_hand,left_hand,0.5562145699199453
confirmatory,1test,AIRM,F,subject,6,right_hand,right_hand,0.0
confirmatory,1test,AIRM,F,subject,6,right_hand,feet,0.9313782957374873
confirmatory,1test,AIRM,F,subject,6,right_hand,tongue,0.6375430891893333
confirmatory,1test,AIRM,F,subject,6,feet,left_hand,1.072539022150177
confirmatory,1test,AIRM,F,subject,6,feet,right_hand,0.9313782957374873
confirmatory,1test,AIRM,F,subject,6,feet,feet,0.0
confirmatory,1test,AIRM,F,subject,6,feet,tongue,0.860471649579312
confirmatory,1test,AIRM,F,subject,6,tongue,left_hand,0.6775619305859665
confirmatory,1test,AIRM,F,subject,6,tongue,right_hand,0.6375430891893333
confirmatory,1test,AIRM,F,subject,6,tongue,feet,0.860471649579312
confirmatory,1test,AIRM,F,subject,6,tongue,tongue,0.0
confirmatory,1test,AIRM,F,subject,7,left_hand,left_hand,0.0
confirmatory,1test,AIRM,F,subject,7,left_hand,right_hand,0.6104204373228967
confirmatory,1test,AIRM,F,subject,7,left_hand,feet,1.2043690223266867
confirmatory,1test,AIRM,F,subject,7,left_hand,tongue,1.5798189062327945
confirmatory,1test,AIRM,F,subject,7,right_hand,left_hand,0.6104204373228967
confirmatory,1test,AIRM,F,subject,7,right_hand,right_hand,0.0
confirmatory,1test,AIRM,F,subject,7,right_hand,feet,1.1650531345592559
confirmatory,1test,AIRM,F,subject,7,right_hand,tongue,1.5250985211350732
confirmatory,1test,AIRM,F,subject,7,feet,left_hand,1.2043690223266867
confirmatory,1test,AIRM,F,subject,7,feet,right_hand,1.1650531345592559
confirmatory,1test,AIRM,F,subject,7,feet,feet,0.0
confirmatory,1test,AIRM,F,subject,7,feet,tongue,1.005718760306749
confirmatory,1test,AIRM,F,subject,7,tongue,left_hand,1.5798189062327945
confirmatory,1test,AIRM,F,subject,7,tongue,right_hand,1.5250985211350732
confirmatory,1test,AIRM,F,subject,7,tongue,feet,1.005718760306749
confirmatory,1test,AIRM,F,subject,7,tongue,tongue,0.0
confirmatory,1test,AIRM,F,subject,8,left_hand,left_hand,0.0
confirmatory,1test,AIRM,F,subject,8,left_hand,right_hand,1.2996089793404622
confirmatory,1test,AIRM,F,subject,8,left_hand,feet,0.9708647833955235
confirmatory,1test,AIRM,F,subject,8,left_hand,tongue,1.9617282890223322
confirmatory,1test,AIRM,F,subject,8,right_hand,left_hand,1.2996089793404622
confirmatory,1test,AIRM,F,subject,8,right_hand,right_hand,0.0
confirmatory,1test,AIRM,F,subject,8,right_hand,feet,0.8616598930156372
confirmatory,1test,AIRM,F,subject,8,right_hand,tongue,1.5221093115904605
confirmatory,1test,AIRM,F,subject,8,feet,left_hand,0.9708647833955235
confirmatory,1test,AIRM,F,subject,8,feet,right_hand,0.8616598930156372
confirmatory,1test,AIRM,F,subject,8,feet,feet,0.0
confirmatory,1test,AIRM,F,subject,8,feet,tongue,1.4087892345894637
confirmatory,1test,AIRM,F,subject,8,tongue,left_hand,1.9617282890223322
confirmatory,1test,AIRM,F,subject,8,tongue,right_hand,1.5221093115904605
confirmatory,1test,AIRM,F,subject,8,tongue,feet,1.4087892345894637
confirmatory,1test,AIRM,F,subject,8,tongue,tongue,0.0
confirmatory,1test,AIRM,F,subject,9,left_hand,left_hand,0.0
confirmatory,1test,AIRM,F,subject,9,left_hand,right_hand,2.378031305817377
confirmatory,1test,AIRM,F,subject,9,left_hand,feet,2.801786302574738
confirmatory,1test,AIRM,F,subject,9,left_hand,tongue,4.032111428232423
confirmatory,1test,AIRM,F,subject,9,right_hand,left_hand,2.378031305817377
confirmatory,1test,AIRM,F,subject,9,right_hand,right_hand,0.0
confirmatory,1test,AIRM,F,subject,9,right_hand,feet,1.2184612750154806
confirmatory,1test,AIRM,F,subject,9,right_hand,tongue,2.039438196383882
confirmatory,1test,AIRM,F,subject,9,feet,left_hand,2.801786302574738
confirmatory,1test,AIRM,F,subject,9,feet,right_hand,1.2184612750154806
confirmatory,1test,AIRM,F,subject,9,feet,feet,0.0
confirmatory,1test,AIRM,F,subject,9,feet,tongue,2.057094391067245
confirmatory,1test,AIRM,F,subject,9,tongue,left_hand,4.032111428232423
confirmatory,1test,AIRM,F,subject,9,tongue,right_hand,2.039438196383882
confirmatory,1test,AIRM,F,subject,9,tongue,feet,2.057094391067245
confirmatory,1test,AIRM,F,subject,9,tongue,tongue,0.0
confirmatory,1test,AIRM,F,subject_median,,left_hand,left_hand,0.0
confirmatory,1test,AIRM,F,subject_median,,left_hand,right_hand,0.6104204373228967
confirmatory,1test,AIRM,F,subject_median,,left_hand,feet,1.2043690223266867
confirmatory,1test,AIRM,F,subject_median,,left_hand,tongue,1.5798189062327945
confirmatory,1test,AIRM,F,subject_median,,right_hand,left_hand,0.6104204373228967
confirmatory,1test,AIRM,F,subject_median,,right_hand,right_hand,0.0
confirmatory,1test,AIRM,F,subject_median,,right_hand,feet,1.1650531345592559
confirmatory,1test,AIRM,F,subject_median,,right_hand,tongue,1.5221093115904605
confirmatory,1test,AIRM,F,subject_median,,feet,left_hand,1.2043690223266867
confirmatory,1test,AIRM,F,subject_median,,feet,right_hand,1.1650531345592559
confirmatory,1test,AIRM,F,subject_median,,feet,feet,0.0
confirmatory,1test,AIRM,F,subject_median,,feet,tongue,0.8884629284495202
confirmatory,1test,AIRM,F,subject_median,,tongue,left_hand,1.5798189062327945
confirmatory,1test,AIRM,F,subject_median,,tongue,right_hand,1.5221093115904605
confirmatory,1test,AIRM,F,subject_median,,tongue,feet,0.8884629284495202
confirmatory,1test,AIRM,F,subject_median,,tongue,tongue,0.0
