phase,session,geometry,split,row_type,subject,class_row,class_column,value
discovery,0train,AIRM,F,subject,8,left_hand,right_hand,-0.10044108180665774
discovery,0train,AIRM,F,subject,8,left_hand,feet,0.18889417141583534
discovery,0train,AIRM,F,subject,8,left_hand,tongue,-0.7855297207602827
discovery,0train,AIRM,F,subject,8,right_hand,left_hand,-0.10044108180665774
discovery,0train,AIRM,F,subject,8,right_hand,right_hand,0.49841540699207526
discovery,0train,AIRM,F,subject,8,right_hand,feet,0.040407749642077655
discovery,0train,AIRM,F,subject,8,right_hand,tongue,-0.4376245275696272
discovery,0train,AIRM,F,subject,8,feet,left_hand,0.18889417141583534
discovery,0train,AIRM,F,subject,8,feet,right_hand,0.040407749642077655
discovery,0train,AIRM,F,subject,8,feet,feet,0.2985820071959722
discovery,0train,AIRM,F,subject,8,feet,tongue,-0.5264105014630203
discovery,0train,AIRM,F,subject,8,tongue,left_hand,-0.7855297207602827
discovery,0train,AIRM,F,subject,8,tongue,right_hand,-0.4376245275696272
discovery,0train,AIRM,F,subject,8,tongue,feet,-0.5264105014630203
discovery,0train,AIRM,F,subject,8,tongue,tongue,1.7468351279583736
discovery,0train,AIRM,F,subject,9,left_hand,left_hand,1.0370945979472634
discovery,0train,AIRM,F,subject,9,left_hand,right_hand,0.2790729907754155
discovery,0train,AIRM,F,subject,9,left_hand,feet,-0.09234232446376552
discovery,0train,AIRM,F,subject,9,left_hand,tongue,-1.2243852412642537
discovery,0train,AIRM,F,subject,9,right_hand,left_hand,0.2790729907754155
discovery,0train,AIRM,F,subject,9,right_hand,right_hand,0.4154255994897337
discovery,0train,AIRM,F,subject,9,right_hand,feet,-0.05873550432710255
discovery,0train,AIRM,F,subject,9,right_hand,tongue,-0.6359548689020169
discovery,0train,AIRM,F,subject,9,feet,left_hand,-0.09234232446376552
discovery,0train,AIRM,F,subject,9,feet,right_hand,-0.05873550432710255
discovery,0train,AIRM,F,subject,9,feet,feet,0.2435610022414472
discovery,0train,AIRM,F,subject,9,feet,tongue,-0.09340973852233636
discovery,0train,AIRM,F,subject,9,tongue,left_hand,-1.2243852412642537
discovery,0train,AIRM,F,subject,9,tongue,right_hand,-0.6359548689020169
discovery,0train,AIRM,F,subject,9,tongue,feet,-0.09340973852233636
discovery,0train,AIRM,F,subject,9,tongue,tongue,1.955569253581349
discovery,0train,AIRM,F,subject_median,,left_hand,left_hand,0.6451136366776066
discovery,0train,AIRM,F,subject_median,,left_hand,right_hand,0.05567565427983283
discovery,0train,AIRM,F,subject_median,,left_hand,feet,-0.17217441750174323
discovery,0train,AIRM,F,subject_median,,left_hand,tongue,-0.7053967510073966
discovery,0train,AIRM,F,subject_median,,right_hand,left_hand,0.05567565427983283
discovery,0train,AIRM,F,subject_median,,right_hand,right_hand,0.2915878556113731
