dataset,geometry,template,object,signature,subject,same_subject_cross_session_cosine
BNCI2014_001,LE,pooled_session,R,sensor,9,0.75657584949633494
BNCI2014_001,LE,pooled_session,R,spectrum,1,0.97998152256409443
BNCI2014_001,LE,pooled_session,R,spectrum,2,0.96059541717401975
BNCI2014_001,LE,pooled_session,R,spectrum,3,0.97963170864177673
BNCI2014_001,LE,pooled_session,R,spectrum,4,0.68176096802065722
BNCI2014_001,LE,pooled_session,R,spectrum,5,0.97889769068436272
BNCI2014_001,LE,pooled_session,R,spectrum,6,0.96316097707885229
BNCI2014_001,LE,pooled_session,R,spectrum,7,0.95999943544243815
BNCI2014_001,LE,pooled_session,R,spectrum,8,0.95250457101881125
BNCI2014_001,LE,pooled_session,R,spectrum,9,0.86698141363504144
