protocol,subject,feature,balanced_accuracy,accuracy,macro_f1
P1,9,F0,0.6892361111111112,0.6892361111111112,0.6896685778599108
P1,9,F1,0.7083333333333334,0.7083333333333334,0.7021266849193627
P1,9,F2-S,0.5642361111111112,0.5642361111111112,0.5655854879057112
P1,9,F2-S-REVERSE,0.5642361111111112,0.5642361111111112,0.5655854879057112
P1,9,F2-S-SHUFFLE,0.4461805555555556,0.4461805555555556,0.4489870811465223
P1,9,F2-V,0.5677083333333333,0.5677083333333333,0.5678818519188238
P1,9,F3-D,0.35416666666666663,0.35416666666666663,0.3496552331402192
P1,9,F3-G,0.35416666666666663,0.35416666666666663,0.35113535026762965
P2,1,F0,0.46875,0.46875,0.3726639729043738
P2,1,F1,0.49652777777777773,0.4965277777777778,0.42435732187611885
P2,1,F2-S,0.4253472222222222,0.4253472222222222,0.42490960110929155
P2,1,F2-S-REVERSE,0.4253472222222222,0.4253472222222222,0.42490960110929155
P2,1,F2-S-SHUFFLE,0.3802083333333333,0.3802083333333333,0.38077061109824123
P2,1,F2-V,0.4600694444444444,0.4600694444444444,0.460583731167545
P2,1,F3-D,0.2690972222222222,0.2690972222222222,0.2665451821246458
P2,1,F3-G,0.265625,0.265625,0.26428474622101567
P2,2,F0,0.2847222222222222,0.2847222222222222,0.24716922910392963
P2,2,F1,0.2899305555555556,0.2899305555555556,0.2676226504972816
P2,2,F2-S,0.2986111111111111,0.2986111111111111,0.2937654249442882
P2,2,F2-S-REVERSE,0.2986111111111111,0.2986111111111111,0.2937654249442882
P2,2,F2-S-SHUFFLE,0.2708333333333333,0.2708333333333333,0.267940634051236
P2,2,F2-V,0.3020833333333333,0.3020833333333333,0.295263447676047
P2,2,F3-D,0.2482638888888889,0.2482638888888889,0.24106810702385642
P2,2,F3-G,0.2309027777777778,0.2309027777777778,0.2210966294844317
P2,3,F0,0.390625,0.390625,0.3440130284727146
P2,3,F1,0.4444444444444444,0.4444444444444444,0.4082753536581876
P2,3,F2-S,0.4392361111111111,0.4392361111111111,0.43964010989671143
P2,3,F2-S-REVERSE,0.4392361111111111,0.4392361111111111,0.43964010989671143
P2,3,F2-S-SHUFFLE,0.42187499999999994,0.421875,0.4205837090906794
P2,3,F2-V,0.44791666666666663,0.4479166666666667,0.4480698118051225
P2,3,F3-D,0.2951388888888889,0.2951388888888889,0.2907684746225558
P2,3,F3-G,0.29166666666666663,0.2916666666666667,0.28984134108464027
P2,4,F0,0.3211805555555556,0.3211805555555556,0.26643697376013686
P2,4,F1,0.3663194444444444,0.3663194444444444,0.3449046364226233
P2,4,F2-S,0.3506944444444444,0.3506944444444444,0.35190248367810206
P2,4,F2-S-REVERSE,0.3506944444444444,0.3506944444444444,0.35190248367810206
P2,4,F2-S-SHUFFLE,0.3177083333333333,0.3177083333333333,0.3175294138212293
P2,4,F2-V,0.3368055555555556,0.3368055555555556,0.3362382829067614
P2,4,F3-D,0.27083333333333337,0.2708333333333333,0.26492678105544665
P2,4,F3-G,0.2586805555555556,0.2586805555555556,0.25378175041899637
P2,5,F0,0.25520833333333337,0.2552083333333333,0.11644996917274145
P2,5,F1,0.2690972222222222,0.2690972222222222,0.15457458207498245
P2,5,F2-S,0.3194444444444444,0.3194444444444444,0.31852359194626534
P2,5,F2-S-REVERSE,0.3194444444444444,0.3194444444444444,0.31852359194626534
P2,5,F2-S-SHUFFLE,0.2604166666666667,0.2604166666666667,0.2601396985586544
P2,5,F2-V,0.296875,0.296875,0.29669317492357145
P2,5,F3-D,0.2552083333333333,0.2552083333333333,0.23255327389406197
P2,5,F3-G,0.27777777777777773,0.2777777777777778,0.2419853784205385
P2,6,F0,0.28125,0.28125,0.20182484025382627
P2,6,F1,0.2725694444444445,0.2725694444444444,0.1971729789099359
P2,6,F2-S,0.32291666666666663,0.3229166666666667,0.32233411100841625
P2,6,F2-S-REVERSE,0.32291666666666663,0.3229166666666667,0.32233411100841625
P2,6,F2-S-SHUFFLE,0.3020833333333333,0.3020833333333333,0.2956876833412835
P2,6,F2-V,0.3038194444444445,0.3038194444444444,0.3017584152266268
P2,6,F3-D,0.22395833333333331,0.22395833333333334,0.1985189685702133
P2,6,F3-G,0.2204861111111111,0.2204861111111111,0.2084874701567691
P2,7,F0,0.34375,0.34375,0.3375794581635005
P2,7,F1,0.38541666666666663,0.3854166666666667,0.38751354448685027
P2,7,F2-S,0.3680555555555555,0.3680555555555556,0.3650556125411072
P2,7,F2-S-REVERSE,0.3680555555555555,0.3680555555555556,0.3650556125411072
P2,7,F2-S-SHUFFLE,0.3368055555555556,0.3368055555555556,0.3294465453324257
P2,7,F2-V,0.3923611111111111,0.3923611111111111,0.3896008522509211
P2,7,F3-D,0.2777777777777778,0.2777777777777778,0.27200462567790107
P2,7,F3-G,0.2673611111111111,0.2673611111111111,0.2549307258202952
P2,8,F0,0.45138888888888884,0.4513888888888889,0.40773474975780855
P2,8,F1,0.5243055555555556,0.5243055555555556,0.49906572320221587
P2,8,F2-S,0.5052083333333334,0.5052083333333334,0.49761309027364076
P2,8,F2-S-REVERSE,0.5052083333333334,0.5052083333333334,0.49761309027364076
P2,8,F2-S-SHUFFLE,0.390625,0.390625,0.38619892633013236
P2,8,F2-V,0.4930555555555555,0.4930555555555556,0.4875047194744393
P2,8,F3-D,0.2899305555555556,0.2899305555555556,0.28784565455765554
P2,8,F3-G,0.28125,0.28125,0.2741011558789047
P2,9,F0,0.41145833333333337,0.4114583333333333,0.3696328407840467
P2,9,F1,0.515625,0.515625,0.47105423555248394
P2,9,F2-S,0.4774305555555556,0.4774305555555556,0.4768653177512293
P2,9,F2-S-REVERSE,0.4774305555555556,0.4774305555555556,0.4768653177512293
P2,9,F2-S-SHUFFLE,0.4079861111111111,0.4079861111111111,0.4043182291209284
P2,9,F2-V,0.4809027777777778,0.4809027777777778,0.48046071926769396
P2,9,F3-D,0.2777777777777778,0.2777777777777778,0.19332181700702764
P2,9,F3-G,0.26041666666666663,0.2604166666666667,0.2001684803940697
P3,1,F0,0.6614583333333334,0.6614583333333334,0.6549498622017075
P3,1,F1,0.6059027777777778,0.6059027777777778,0.6058712468096112
P3,1,F2-S,0.3958333333333333,0.3958333333333333,0.3963066779118857
P3,1,F2-S-REVERSE,0.3958333333333333,0.3958333333333333,0.3963066779118857
P3,1,F2-S-SHUFFLE,0.3802083333333333,0.3802083333333333,0.38160443118128
P3,1,F2-V,0.4375,0.4375,0.438448208058268
P3,1,F3-D,0.2690972222222222,0.2690972222222222,0.2665451821246458
P3,1,F3-G,0.265625,0.265625,0.26428474622101567
P3,2,F0,0.265625,0.265625,0.2637976963430861
P3,2,F1,0.31770833333333337,0.3177083333333333,0.30636827851062787
P3,2,F2-S,0.3246527777777778,0.3246527777777778,0.3100701678433018
P3,2,F2-S-REVERSE,0.3246527777777778,0.3246527777777778,0.3100701678433018
P3,2,F2-S-SHUFFLE,0.2517361111111111,0.2517361111111111,0.244135317627998
P3,2,F2-V,0.3003472222222222,0.3003472222222222,0.2894612632928586
P3,2,F3-D,0.2482638888888889,0.2482638888888889,0.24106810702385642
P3,2,F3-G,0.2309027777777778,0.2309027777777778,0.2210966294844317
P3,3,F0,0.7048611111111112,0.7048611111111112,0.7042805421975001
P3,3,F1,0.640625,0.640625,0.6309952488454452
P3,3,F2-S,0.4357638888888889,0.4357638888888889,0.43693509848228174
P3,3,F2-S-REVERSE,0.4357638888888889,0.4357638888888889,0.43693509848228174
P3,3,F2-S-SHUFFLE,0.42361111111111116,0.4236111111111111,0.4234050205471412
P3,3,F2-V,0.45659722222222227,0.4565972222222222,0.4573780241154049
P3,3,F3-D,0.2951388888888889,0.2951388888888889,0.2907684746225558
P3,3,F3-G,0.29166666666666663,0.2916666666666667,0.28984134108464027
P3,4,F0,0.4722222222222222,0.4722222222222222,0.4716104837131666
P3,4,F1,0.453125,0.453125,0.45077682539782304
P3,4,F2-S,0.32291666666666663,0.3229166666666667,0.32368919070492946
P3,4,F2-S-REVERSE,0.32291666666666663,0.3229166666666667,0.32368919070492946
P3,4,F2-S-SHUFFLE,0.3107638888888889,0.3107638888888889,0.30991363599261434
P3,4,F2-V,0.328125,0.328125,0.32398782007507865
P3,4,F3-D,0.27083333333333337,0.2708333333333333,0.26492678105544665
P3,4,F3-G,0.2586805555555556,0.2586805555555556,0.25378175041899637
P3,5,F0,0.3680555555555556,0.3680555555555556,0.3649616975750102
P3,5,F1,0.3524305555555555,0.3524305555555556,0.30513268140978034
P3,5,F2-S,0.328125,0.328125,0.3295085423135953
P3,5,F2-S-REVERSE,0.328125,0.328125,0.3295085423135953
P3,5,F2-S-SHUFFLE,0.2743055555555556,0.2743055555555556,0.27307166465448196
P3,5,F2-V,0.2986111111111111,0.2986111111111111,0.29939453984564096
P3,5,F3-D,0.2552083333333333,0.2552083333333333,0.23255327389406197
P3,5,F3-G,0.27777777777777773,0.2777777777777778,0.2419853784205385
P3,6,F0,0.3819444444444444,0.3819444444444444,0.3820506471773505
P3,6,F1,0.4288194444444445,0.4288194444444444,0.4102989881474395
P3,6,F2-S,0.3246527777777778,0.3246527777777778,0.3227287435768001
P3,6,F2-S-REVERSE,0.3246527777777778,0.3246527777777778,0.3227287435768001
P3,6,F2-S-SHUFFLE,0.3229166666666667,0.3229166666666667,0.3185935917974084
P3,6,F2-V,0.3055555555555556,0.3055555555555556,0.30507925407925407
P3,6,F3-D,0.22395833333333331,0.22395833333333334,0.1985189685702133
P3,6,F3-G,0.2204861111111111,0.2204861111111111,0.2084874701567691
P3,7,F0,0.41666666666666674,0.4166666666666667,0.41437781099078685
P3,7,F1,0.4548611111111111,0.4548611111111111,0.44237112986732435
P3,7,F2-S,0.38020833333333337,0.3802083333333333,0.3790916866277285
P3,7,F2-S-REVERSE,0.38020833333333337,0.3802083333333333,0.3790916866277285
P3,7,F2-S-SHUFFLE,0.328125,0.328125,0.32027358562270125
P3,7,F2-V,0.3819444444444444,0.3819444444444444,0.37928756303206046
P3,7,F3-D,0.2777777777777778,0.2777777777777778,0.27200462567790107
P3,7,F3-G,0.2673611111111111,0.2673611111111111,0.2549307258202952
P3,8,F0,0.6927083333333334,0.6927083333333334,0.6888578863983177
P3,8,F1,0.6614583333333334,0.6614583333333334,0.6569200435649749
P3,8,F2-S,0.4652777777777778,0.4652777777777778,0.4569523329753509
P3,8,F2-S-REVERSE,0.4652777777777778,0.4652777777777778,0.4569523329753509
P3,8,F2-S-SHUFFLE,0.38020833333333337,0.3802083333333333,0.37778808185118934
P3,8,F2-V,0.47916666666666663,0.4791666666666667,0.4742863097849934
P3,8,F3-D,0.2899305555555556,0.2899305555555556,0.28784565455765554
P3,8,F3-G,0.28125,0.28125,0.2741011558789047
P3,9,F0,0.5798611111111112,0.5798611111111112,0.5783305498755306
P3,9,F1,0.5729166666666666,0.5729166666666666,0.5724546552031069
P3,9,F2-S,0.4652777777777778,0.4652777777777778,0.46292690652451984
P3,9,F2-S-REVERSE,0.4652777777777778,0.4652777777777778,0.46292690652451984
P3,9,F2-S-SHUFFLE,0.375,0.375,0.3739760125344137
P3,9,F2-V,0.4670138888888889,0.4670138888888889,0.46419587270494833
P3,9,F3-D,0.2777777777777778,0.2777777777777778,0.19332181700702764
P3,9,F3-G,0.26041666666666663,0.2604166666666667,0.2001684803940697
