protocol,subject,split,feature,n_train,n_test,balanced_accuracy,accuracy,macro_f1,confusion_matrix
P0,2,0train_fold3,F1,231,57,0.6511904761904761,0.6491228070175439,0.645320197044335,"[[14, 0, 0, 0], [1, 4, 5, 4], [0, 7, 8, 0], [0, 3, 0, 11]]"
P0,2,0train_fold3,F2-S,231,57,0.37142857142857144,0.3684210526315789,0.34203574203574205,"[[10, 1, 1, 2], [3, 2, 6, 3], [5, 2, 3, 5], [4, 3, 1, 6]]"
P0,2,0train_fold3,F2-V,231,57,0.37142857142857144,0.3684210526315789,0.3550671550671551,"[[9, 1, 3, 1], [4, 3, 5, 2], [3, 5, 3, 4], [5, 3, 0, 6]]"
P0,2,0train_fold3,F3-G,231,57,0.38809523809523805,0.38596491228070173,0.39107142857142857,"[[8, 0, 2, 4], [1, 7, 4, 2], [3, 3, 4, 5], [6, 0, 5, 3]]"
P0,2,0train_fold3,F3-D,231,57,0.30357142857142855,0.2982456140350877,0.27901785714285715,"[[8, 1, 0, 5], [1, 6, 3, 4], [4, 5, 0, 6], [5, 2, 4, 3]]"
P0,2,0train_fold3,F2-S-SHUFFLE,231,57,0.33333333333333326,0.3333333333333333,0.3372236958443855,"[[6, 2, 1, 5], [2, 4, 5, 3], [2, 4, 5, 4], [2, 5, 3, 4]]"
P0,2,0train_fold3,F2-S-REVERSE,231,57,0.37142857142857144,0.3684210526315789,0.34203574203574205,"[[10, 1, 1, 2], [3, 2, 6, 3], [5, 2, 3, 5], [4, 3, 1, 6]]"
P0,2,0train_fold4,F0,231,57,0.5916666666666667,0.5964912280701754,0.5817717403924301,"[[13, 0, 0, 2], [0, 9, 4, 1], [0, 4, 7, 3], [5, 2, 2, 5]]"
P0,2,0train_fold4,F1,231,57,0.5547619047619048,0.5614035087719298,0.5416083916083916,"[[14, 0, 0, 1], [0, 8, 3, 3], [1, 5, 5, 3], [3, 3, 3, 5]]"
P0,2,0train_fold4,F2-S,231,57,0.47023809523809523,0.47368421052631576,0.4662449619346171,"[[10, 2, 1, 2], [0, 8, 4, 2], [2, 5, 5, 2], [2, 4, 4, 4]]"
P0,2,0train_fold4,F2-V,231,57,0.369047619047619,0.3684210526315789,0.3506906906906907,"[[5, 5, 2, 3], [0, 10, 1, 3], [3, 4, 3, 4], [2, 4, 5, 3]]"
P0,2,0train_fold4,F3-G,231,57,0.23095238095238094,0.22807017543859648,0.22067049808429118,"[[1, 4, 0, 10], [3, 6, 2, 3], [4, 3, 2, 5], [2, 2, 6, 4]]"
P0,2,0train_fold4,F3-D,231,57,0.29880952380952375,0.2982456140350877,0.28572825024437926,"[[4, 3, 1, 7], [3, 8, 0, 3], [5, 4, 2, 3], [4, 4, 3, 3]]"
P0,2,0train_fold4,F2-S-SHUFFLE,231,57,0.3833333333333333,0.38596491228070173,0.3708064923582165,"[[8, 3, 2, 2], [1, 8, 1, 4], [3, 5, 4, 2], [2, 5, 5, 2]]"
P0,2,0train_fold4,F2-S-REVERSE,231,57,0.47023809523809523,0.47368421052631576,0.4662449619346171,"[[10, 2, 1, 2], [0, 8, 4, 2], [2, 5, 5, 2], [2, 4, 4, 4]]"
P0,2,1test_fold0,F0,230,58,0.5345238095238095,0.5344827586206896,0.5317050691244241,"[[11, 2, 2, 0], [2, 5, 5, 3], [2, 3, 8, 1], [1, 3, 3, 7]]"
P0,2,1test_fold0,F1,230,58,0.5333333333333333,0.5344827586206896,0.5370797983944535,"[[10, 2, 2, 1], [3, 7, 2, 3], [0, 2, 8, 4], [1, 6, 1, 6]]"
P0,2,1test_fold0,F2-S,230,58,0.35952380952380947,0.3620689655172414,0.3590848806366048,"[[8, 1, 4, 2], [4, 5, 3, 3], [2, 2, 4, 6], [3, 3, 4, 4]]"
P0,2,1test_fold0,F2-V,230,58,0.37976190476190474,0.3793103448275862,0.36196969696969694,"[[4, 3, 3, 5], [0, 7, 5, 3], [1, 3, 9, 1], [2, 5, 5, 2]]"
P0,2,1test_fold0,F3-G,230,58,0.1380952380952381,0.13793103448275862,0.14052508485211487,"[[3, 4, 4, 4], [2, 1, 6, 6], [3, 4, 2, 5], [3, 5, 4, 2]]"
P0,2,1test_fold0,F3-D,230,58,0.20595238095238097,0.20689655172413793,0.2063260837833893,"[[3, 3, 3, 6], [3, 4, 2, 6], [3, 4, 2, 5], [2, 5, 4, 3]]"
P0,2,1test_fold0,F2-S-SHUFFLE,230,58,0.3595238095238095,0.3620689655172414,0.3604679802955665,"[[7, 2, 2, 4], [3, 6, 4, 2], [2, 2, 5, 5], [2, 5, 4, 3]]"
P0,2,1test_fold0,F2-S-REVERSE,230,58,0.35952380952380947,0.3620689655172414,0.3590848806366048,"[[8, 1, 4, 2], [4, 5, 3, 3], [2, 2, 4, 6], [3, 3, 4, 4]]"
P0,2,1test_fold1,F0,230,58,0.5892857142857143,0.5862068965517241,0.5806966022483264,"[[11, 0, 1, 2], [3, 6, 5, 1], [2, 3, 8, 1], [3, 2, 1, 9]]"
P0,2,1test_fold1,F1,230,58,0.6214285714285714,0.6206896551724138,0.6270779220779221,"[[9, 2, 1, 2], [1, 9, 2, 3], [0, 1, 9, 4], [1, 1, 4, 9]]"
P0,2,1test_fold1,F2-S,230,58,0.44880952380952377,0.4482758620689655,0.44761904761904764,"[[8, 3, 2, 1], [4, 6, 4, 1], [3, 2, 5, 4], [1, 4, 3, 7]]"
P0,2,1test_fold1,F2-V,230,58,0.430952380952381,0.43103448275862066,0.4370757918552036,"[[6, 3, 2, 3], [2, 6, 3, 4], [1, 2, 6, 5], [1, 6, 1, 7]]"
P0,2,1test_fold1,F3-G,230,58,0.1880952380952381,0.1896551724137931,0.16601988843075427,"[[4, 6, 0, 4], [3, 5, 3, 4], [5, 6, 0, 3], [5, 6, 2, 2]]"
P0,2,1test_fold1,F3-D,230,58,0.22619047619047616,0.22413793103448276,0.20596638655462185,"[[6, 7, 1, 0], [4, 4, 5, 2], [6, 3, 2, 3], [6, 5, 3, 1]]"
P0,2,1test_fold1,F2-S-SHUFFLE,230,58,0.2595238095238095,0.25862068965517243,0.2524193548387097,"[[6, 0, 4, 4], [5, 5, 5, 0], [4, 5, 2, 3], [2, 6, 5, 2]]"
P0,2,1test_fold1,F2-S-REVERSE,230,58,0.44880952380952377,0.4482758620689655,0.44761904761904764,"[[8, 3, 2, 1], [4, 6, 4, 1], [3, 2, 5, 4], [1, 4, 3, 7]]"
P0,2,1test_fold2,F0,230,58,0.6035714285714286,0.603448275862069,0.6047550776583035,"[[10, 1, 0, 3], [1, 7, 3, 3], [1, 6, 7, 1], [1, 3, 0, 11]]"
P0,2,1test_fold2,F1,230,58,0.6547619047619048,0.6551724137931034,0.6539025490638394,"[[9, 2, 1, 2], [1, 9, 3, 1], [1, 2, 12, 0], [1, 4, 2, 8]]"
P0,2,1test_fold2,F2-S,230,58,0.31071428571428567,0.3103448275862069,0.31464803312629397,"[[5, 3, 4, 2], [2, 4, 3, 5], [1, 5, 6, 3], [1, 4, 7, 3]]"
P0,2,1test_fold2,F2-V,230,58,0.3583333333333333,0.3620689655172414,0.35624999999999996,"[[3, 4, 2, 5], [3, 4, 3, 4], [1, 4, 8, 2], [3, 4, 2, 6]]"
P0,2,1test_fold2,F3-G,230,58,0.2976190476190476,0.29310344827586204,0.2869549805033676,"[[7, 2, 3, 2], [2, 5, 4, 3], [3, 7, 2, 3], [5, 3, 4, 3]]"
P0,2,1test_fold2,F3-D,230,58,0.3142857142857143,0.3103448275862069,0.30505952380952384,"[[6, 4, 0, 4], [3, 6, 2, 3], [2, 5, 2, 6], [3, 3, 5, 4]]"
P0,2,1test_fold2,F2-S-SHUFFLE,230,58,0.325,0.3275862068965517,0.321233164983165,"[[3, 3, 4, 4], [2, 4, 2, 6], [2, 5, 6, 2], [3, 1, 5, 6]]"
P0,2,1test_fold2,F2-S-REVERSE,230,58,0.31071428571428567,0.3103448275862069,0.31464803312629397,"[[5, 3, 4, 2], [2, 4, 3, 5], [1, 5, 6, 3], [1, 4, 7, 3]]"
P0,2,1test_fold3,F0,231,57,0.6178571428571429,0.6140350877192983,0.6081498211932994,"[[7, 5, 0, 2], [1, 9, 2, 2], [1, 6, 6, 2], [0, 1, 0, 13]]"
P0,2,1test_fold3,F1,231,57,0.5476190476190477,0.543859649122807,0.542497014479773,"[[11, 2, 0, 1], [2, 8, 0, 4], [0, 7, 5, 3], [1, 2, 4, 7]]"
P0,2,1test_fold3,F2-S,231,57,0.35238095238095235,0.3508771929824561,0.3507326007326007,"[[6, 2, 2, 4], [2, 6, 1, 5], [3, 5, 4, 3], [3, 3, 4, 4]]"
P0,2,1test_fold3,F2-V,231,57,0.4238095238095238,0.42105263157894735,0.41549783549783553,"[[7, 3, 2, 2], [2, 8, 1, 3], [2, 5, 4, 4], [3, 3, 3, 5]]"
P0,2,1test_fold3,F3-G,231,57,0.23214285714285712,0.22807017543859648,0.22227180527383367,"[[6, 1, 4, 3], [3, 4, 5, 2], [3, 9, 0, 3], [3, 6, 2, 3]]"
P0,2,1test_fold3,F3-D,231,57,0.26666666666666666,0.2631578947368421,0.2550770308123249,"[[6, 4, 2, 2], [2, 5, 5, 2], [2, 5, 1, 7], [4, 6, 1, 3]]"
P0,2,1test_fold3,F2-S-SHUFFLE,231,57,0.3678571428571429,0.3684210526315789,0.3767094017094017,"[[5, 6, 3, 0], [2, 5, 2, 5], [2, 5, 6, 2], [2, 6, 1, 5]]"
