direction,subject,outer_fold,sse_zero,sse_location,normalized_sse_ratio,error_gain,cosine,normalized_mae,predicted_residual_norm,true_residual_norm
SAME_SESSION_2,33,2,1.5770744997030919,1.582794252668458,1.0036268121553185,-0.005719752965366087,-0.17612892248445525,1.001082756460411,0.012572444702884242,1.2558162682905059
SAME_SESSION_2,34,2,0.9673378732292093,0.9761974859401797,1.0091587571996896,-0.008859612710970466,-0.05881474833950922,0.9994004298746262,0.0526336103619443,0.9835333615232426
SAME_SESSION_2,44,2,1.0765028043547638,1.0594728736107164,0.9841803192010682,0.01702993074404735,0.31892941379455914,0.9949719618756379,0.02681925488805696,1.0375465311757173
SAME_SESSION_2,49,2,0.5650082749140575,0.5677191056424727,1.0047978602239545,-0.00271083072841527,-0.2286145271582725,1.0018245795494733,0.007714375646791276,0.7516703232894442
SAME_SESSION_2,61,2,1.0151048379717127,0.9923069716867282,0.9775413677167207,0.02279786628498448,0.4637760231787258,0.9936093074859432,0.025067374128241914,1.0075241128487757
SAME_SESSION_2,62,2,0.7715056923988214,0.8053241370956354,1.043834342416403,-0.033818444696814054,-0.24233263307931147,1.0163209483366913,0.06843818495509499,0.8783539676000908
SAME_SESSION_2,3,3,0.7446330188275281,0.716755873581891,0.9625625717087708,0.027877145245637114,0.19545374825188083,1.0006214986099626,0.14479802931649616,0.8629212124102223
SAME_SESSION_2,17,3,2.4437165122977302,3.1130391585044683,1.2738953732310792,-0.6693226462067381,-0.755926125487317,1.0758990112857265,0.2555685794693445,1.563239109124938
SAME_SESSION_2,20,3,0.6314191111993384,0.5967273612977906,0.9450574914724182,0.034691749901547775,0.5152815852009391,0.9844945014199052,0.04481624814565976,0.7946188464914096
SAME_SESSION_2,24,3,0.5404884089319659,0.6152837781796777,1.1383847794174005,-0.0747953692477118,-0.23951558102334095,1.045220112966147,0.1491852566251582,0.735179167912126
SAME_SESSION_2,29,3,0.6120038314295527,0.7128017299161138,1.164701417393273,-0.10079789848656107,-0.48163744241084844,1.0392827622727643,0.11592595891012625,0.7823067374307553
SAME_SESSION_2,40,3,1.2657410678233871,1.3439673294824228,1.0618027364740217,-0.07822626165903568,-0.17687789129475653,1.0077156368873812,0.14426112337057603,1.1250515845166333
SAME_SESSION_2,43,3,0.9494360042900664,0.919417083608762,0.9683823653772738,0.030018920681304406,0.5685558685258109,0.9908118092480347,0.02779014447682628,0.9743900678322138
SAME_SESSION_2,45,3,0.5460765023125442,0.4963733597110286,0.9089813562915984,0.04970314260151565,0.523931053102906,0.9706676568378945,0.07063032830583234,0.7389698926969516
SAME_SESSION_2,47,3,0.3682025822506467,0.4421610682148268,1.2008635722001382,-0.07395848596418009,0.10894407477893325,1.058780497300262,0.34597943036950396,0.606796986026337
SAME_SESSION_2,55,3,1.2414596746381439,1.3223605907717106,1.065165963733093,-0.08090091613356676,-0.5786387038246602,1.0201398554524497,0.059953203470979426,1.1142080930589868
SAME_SESSION_2,1,4,0.6884523090221935,0.6884523090221935,1.0,0.0,0.0,1.0,0.0,0.8297302628096637
SAME_SESSION_2,8,4,0.7347641777542919,0.7347641777542919,1.0,0.0,0.0,1.0,0.0,0.8571838646138248
SAME_SESSION_2,10,4,0.6925936229541447,0.6925936229541447,1.0,0.0,0.0,1.0,0.0,0.8322220995348205
SAME_SESSION_2,13,4,0.44581470821717406,0.44581470821717406,1.0,0.0,0.0,1.0,0.0,0.6676935735928377
SAME_SESSION_2,30,4,1.554274688464649,1.554274688464649,1.0,0.0,0.0,1.0,0.0,1.2467055339833255
SAME_SESSION_2,35,4,1.1140238491211776,1.1140238491211776,1.0,0.0,0.0,1.0,0.0,1.055473282049895
SAME_SESSION_2,42,4,0.9385411459167575,0.9385411459167575,1.0,0.0,0.0,1.0,0.0,0.9687833328029326
SAME_SESSION_2,52,4,3.189657565950337,3.189657565950337,1.0,0.0,0.0,1.0,0.0,1.7859612442464525
SAME_SESSION_2,53,4,0.8932401726113061,0.8932401726113061,1.0,0.0,0.0,1.0,0.0,0.9451138410854567
SAME_SESSION_2,57,4,0.5138470601578298,0.5138470601578298,1.0,0.0,0.0,1.0,0.0,0.7168312633792068
SAME_SESSION_2,59,4,0.8776626124562279,0.8776626124562279,1.0,0.0,0.0,1.0,0.0,0.936836491847018
SAME_SESSION_2,2,5,0.44491707394016844,0.44491707394016844,1.0,0.0,0.0,1.0,0.0,0.6670210446006696
SAME_SESSION_2,7,5,0.48205310575126925,0.48205310575126925,1.0,0.0,0.0,1.0,0.0,0.6943004434330063
SAME_SESSION_2,12,5,1.0969838149242106,1.0969838149242106,1.0,0.0,0.0,1.0,0.0,1.0473699513181627
SAME_SESSION_2,14,5,6.404570473070962,6.404570473070962,1.0,0.0,0.0,1.0,0.0,2.530725285974549
SAME_SESSION_2,25,5,0.5867236065761884,0.5867236065761884,1.0,0.0,0.0,1.0,0.0,0.7659788551756428
SAME_SESSION_2,39,5,0.719337834831361,0.719337834831361,1.0,0.0,0.0,1.0,0.0,0.8481378631044372
SAME_SESSION_2,46,5,0.6091759949380995,0.6091759949380995,1.0,0.0,0.0,1.0,0.0,0.7804972741388015
SAME_SESSION_2,50,5,1.5485758170253159,1.5485758170253159,1.0,0.0,0.0,1.0,0.0,1.2444178627074252
SAME_SESSION_2,51,5,0.7359734633218182,0.7359734633218182,1.0,0.0,0.0,1.0,0.0,0.857888957454179
SAME_SESSION_2,54,5,1.9298710252387452,1.9298710252387452,1.0,0.0,0.0,1.0,0.0,1.3891979791371516
SAME_SESSION_2,58,5,0.665370005446755,0.665370005446755,1.0,0.0,0.0,1.0,0.0,0.81570215486215
SAME_SESSION_2,6,6,1.8009415495906387,1.8009415495906387,1.0,0.0,0.0,1.0,0.0,1.3419916354398929
SAME_SESSION_2,9,6,0.76697104225753,0.76697104225753,1.0,0.0,0.0,1.0,0.0,0.875768829233794
SAME_SESSION_2,18,6,1.6549659999433213,1.6549659999433213,1.0,0.0,0.0,1.0,0.0,1.2864548184616984
SAME_SESSION_2,21,6,5.387762440660138,5.387762440660138,1.0,0.0,0.0,1.0,0.0,2.32115541070824
SAME_SESSION_2,23,6,0.8398025234004343,0.8398025234004343,1.0,0.0,0.0,1.0,0.0,0.9164074003413735
SAME_SESSION_2,27,6,0.7756627560363549,0.7756627560363549,1.0,0.0,0.0,1.0,0.0,0.8807171827756939
SAME_SESSION_2,31,6,0.46722156823225375,0.46722156823225375,1.0,0.0,0.0,1.0,0.0,0.6835360767598545
SAME_SESSION_2,32,6,1.071265613351223,1.071265613351223,1.0,0.0,0.0,1.0,0.0,1.0350196197904766
SAME_SESSION_2,36,6,0.5953460736843124,0.5953460736843124,1.0,0.0,0.0,1.0,0.0,0.7715867246682724
SAME_SESSION_2,38,6,1.5506531322802743,1.5506531322802743,1.0,0.0,0.0,1.0,0.0,1.2452522364084613
SAME_SESSION_3,5,1,1.0519469144736875,1.0294395950080275,0.9786041299651315,0.02250731946565998,0.329631909568965,0.9949983465065779,0.03510948656484424,1.0256446336200895
SAME_SESSION_3,11,1,0.9249786743682881,0.9242871289133041,0.9992523660554052,0.000691545454983955,0.03455071044527131,0.9987593429801287,0.012915654750418773,0.9617581163516574
SAME_SESSION_3,15,1,0.9711915143390224,0.9851374088686013,1.0143595720552299,-0.01394589452957895,-0.3119007528752755,1.0062529838718535,0.021904934409066646,0.9854904942915595
SAME_SESSION_3,26,1,2.4874003061845333,2.4616786825498087,0.9896592343537259,0.025721623634724633,0.3988582919322826,0.9972215346932867,0.020788001955569773,1.577149424177853
SAME_SESSION_3,28,1,1.2132946068115267,1.2086294070438854,0.9961549324117568,0.004665199767641237,0.575136430823199,0.9988951168575726,0.003692783566277735,1.1014965305490194
SAME_SESSION_3,37,1,2.3632010663326213,2.2916830720601102,0.9697368136417196,0.07151799427251104,0.6198625784757485,0.9926411941403469,0.03829617777269605,1.5372706548726613
SAME_SESSION_3,41,1,0.7913568569273259,0.7899517343993492,0.9982244135301581,0.0014051225279767543,0.3544695358970103,0.9994549586028654,0.002235947425619734,0.8895824059227598
SAME_SESSION_3,48,1,3.5734433631717075,3.5719500514408393,0.9995821084653926,0.0014933117308681965,0.5397865987950996,0.9998857473646826,0.0007319994165110413,1.890355353676051
SAME_SESSION_3,56,1,2.9674830255520206,3.0870068009658276,1.0402778295224024,-0.11952377541380699,-0.7198951415922796,1.012314553811569,0.04728882535760474,1.722638390827286
SAME_SESSION_3,60,1,5.327221030967509,5.3217337144993975,0.9989699476638545,0.005487316468111736,0.03737127134407371,0.999698197290569,0.042065922400555116,2.3080773451007897
SAME_SESSION_3,4,2,0.9752470965205697,0.9752470965205697,1.0,0.0,0.0,1.0,0.0,0.9875459971670026
