direction,session,subject,class,delta_norm
REVERSE,2,47,both_hand,0.2856978330763411
REVERSE,2,47,rest,0.25825564898372183
REVERSE,2,55,right_hand,0.6440017259359919
REVERSE,2,55,left_hand,0.31076690288764636
REVERSE,2,55,both_hand,0.3515559484055114
REVERSE,2,55,rest,0.778815638543506
REVERSE,2,1,right_hand,0.3572008133951923
REVERSE,2,1,left_hand,0.40181203894259154
REVERSE,2,1,both_hand,0.4318537356461261
REVERSE,2,1,rest,0.4614209838111934
REVERSE,2,8,right_hand,0.3693471725099348
REVERSE,2,8,left_hand,0.47820052820428666
REVERSE,2,8,both_hand,0.29233693794724375
REVERSE,2,8,rest,0.5331136965507254
REVERSE,2,10,right_hand,0.3803177638246659
REVERSE,2,10,left_hand,0.44278916611900915
REVERSE,2,10,both_hand,0.28890503032814685
REVERSE,2,10,rest,0.5180961872975669
REVERSE,2,13,right_hand,0.29727975205153245
REVERSE,2,13,left_hand,0.4421631757760622
REVERSE,2,13,both_hand,0.26520613752902517
REVERSE,2,13,rest,0.30264977753488675
REVERSE,2,30,right_hand,0.4623254844307739
REVERSE,2,30,left_hand,0.5285134821266554
REVERSE,2,30,both_hand,0.5933920012730016
REVERSE,2,30,rest,0.8420743832620006
REVERSE,2,35,right_hand,0.3916091977141606
REVERSE,2,35,left_hand,0.458928399894374
REVERSE,2,35,both_hand,0.49743346023955215
REVERSE,2,35,rest,0.7089504649771692
REVERSE,2,42,right_hand,0.3763587898744535
REVERSE,2,42,left_hand,0.741961780706353
REVERSE,2,42,both_hand,0.3979253394474912
REVERSE,2,42,rest,0.29672099251258127
REVERSE,2,52,right_hand,0.8398989137293016
REVERSE,2,52,left_hand,1.1961919189758605
REVERSE,2,52,both_hand,0.5508750483285921
REVERSE,2,52,rest,0.8659612894191608
REVERSE,2,53,right_hand,0.39324097006235925
REVERSE,2,53,left_hand,0.42130241002113855
REVERSE,2,53,both_hand,0.43968322826940764
REVERSE,2,53,rest,0.6064525127037509
REVERSE,2,57,right_hand,0.4469561377517076
REVERSE,2,57,left_hand,0.28212478120126855
REVERSE,2,57,both_hand,0.34600158861747354
REVERSE,2,57,rest,0.33877098398509164
REVERSE,2,59,right_hand,0.5933646247774137
REVERSE,2,59,left_hand,0.5589897391823722
REVERSE,2,59,both_hand,0.30783545523700057
REVERSE,2,59,rest,0.34401866011430127
REVERSE,2,2,right_hand,0.2571977076263239
REVERSE,2,2,left_hand,0.32414372812153286
REVERSE,2,2,both_hand,0.39235252804411463
REVERSE,2,2,rest,0.34605888283469693
REVERSE,2,7,right_hand,0.3170898601351204
REVERSE,2,7,left_hand,0.3937365414682368
REVERSE,2,7,both_hand,0.23061563370160168
REVERSE,2,7,rest,0.41628727071074273
REVERSE,2,12,right_hand,0.3567318609403179
REVERSE,2,12,left_hand,0.47958998203751335
REVERSE,2,12,both_hand,0.6514559026594529
REVERSE,2,12,rest,0.5615379331208921
