direction,fold,component,variance_fraction,cumulative_variance_fraction
REVERSE,4,6,0.030343294909995197,0.7883389915268315
REVERSE,4,7,0.021548701427799084,0.8098876929546306
REVERSE,4,8,0.017542527800562615,0.8274302207551931
REVERSE,4,9,0.016695785377799196,0.8441260061329925
REVERSE,4,10,0.014970077061040879,0.8590960831940333
REVERSE,4,11,0.013515111653795524,0.8726111948478288
REVERSE,4,12,0.012377030031624848,0.8849882248794537
REVERSE,4,13,0.010976469453501484,0.8959646943329551
FORWARD,5,1,0.5603050471570307,0.5603050471570307
FORWARD,5,2,0.08163863235934683,0.6419436795163775
FORWARD,5,3,0.05786032758273065,0.6998040070991082
FORWARD,5,4,0.043252767613945024,0.7430567747130532
FORWARD,5,5,0.03264265612755462,0.7756994308406078
FORWARD,5,6,0.028559836531347214,0.804259267371955
FORWARD,5,7,0.025048401849347736,0.8293076692213027
FORWARD,5,8,0.016981765951136474,0.8462894351724393
FORWARD,5,9,0.01622362727794258,0.8625130624503818
FORWARD,5,10,0.015211300682068194,0.8777243631324501
FORWARD,5,11,0.011833281649080743,0.8895576447815308
FORWARD,5,12,0.010670432969191268,0.900228077750722
FORWARD,5,13,0.010589437081204578,0.9108175148319267
REVERSE,5,1,0.56336019845375,0.56336019845375
REVERSE,5,2,0.06731908554905212,0.6306792840028022
REVERSE,5,3,0.05251902582025186,0.683198309823054
REVERSE,5,4,0.04226057761960746,0.7254588874426614
REVERSE,5,5,0.032322887253624345,0.7577817746962857
REVERSE,5,6,0.028549485154139485,0.7863312598504252
REVERSE,5,7,0.024402818241441016,0.8107340780918662
REVERSE,5,8,0.018039398012656065,0.8287734761045222
REVERSE,5,9,0.01578007621037756,0.8445535523148998
REVERSE,5,10,0.01431188467648701,0.8588654369913868
REVERSE,5,11,0.013069558857290485,0.8719349958486774
REVERSE,5,12,0.012322814609276185,0.8842578104579536
REVERSE,5,13,0.012012847832215326,0.8962706582901689
FORWARD,6,1,0.5422112266079934,0.5422112266079934
FORWARD,6,2,0.09678559068310263,0.638996817291096
FORWARD,6,3,0.05362285177304918,0.6926196690641453
FORWARD,6,4,0.04056905540757599,0.7331887244717212
FORWARD,6,5,0.03049679551185875,0.76368551998358
FORWARD,6,6,0.025305925986628477,0.7889914459702085
FORWARD,6,7,0.022344873199553715,0.8113363191697622
FORWARD,6,8,0.02002368711698919,0.8313600062867513
FORWARD,6,9,0.018041170681176284,0.8494011769679276
FORWARD,6,10,0.01684613662046954,0.8662473135883971
FORWARD,6,11,0.012883341181122117,0.8791306547695193
FORWARD,6,12,0.012161668186169598,0.8912923229556888
FORWARD,6,13,0.010406374106844977,0.9016986970625338
REVERSE,6,1,0.6019236392301682,0.6019236392301682
REVERSE,6,2,0.06632052140668408,0.6682441606368523
REVERSE,6,3,0.04827494191549766,0.71651910255235
REVERSE,6,4,0.03635693680711615,0.7528760393594662
REVERSE,6,5,0.03216873272787108,0.7850447720873374
REVERSE,6,6,0.02436785198527939,0.8094126240726167
REVERSE,6,7,0.019739953890101553,0.8291525779627184
REVERSE,6,8,0.01775374251851631,0.8469063204812343
REVERSE,6,9,0.014169937534672435,0.8610762580159067
REVERSE,6,10,0.013025315924309042,0.8741015739402158
REVERSE,6,11,0.011911747040557846,0.8860133209807737
REVERSE,6,12,0.010992077270116895,0.8970053982508907
REVERSE,6,13,0.009080506827999912,0.9060859050788904
