domain,profile,first,second,euclidean_distance,centered_correlation
G_subject_fixed_class,baseline_adjusted,S2,S5,0.19392678484301162,-0.2483719521574794
G_subject_fixed_class,baseline_adjusted,S2,S6,0.1815544547130473,0.7203288678411657
G_subject_fixed_class,baseline_adjusted,S2,S7,0.4667430169214107,-0.6193024916248578
G_subject_fixed_class,baseline_adjusted,S2,S8,1.2071106697631948,-0.711646456202513
G_subject_fixed_class,baseline_adjusted,S2,S9,7.014798838002322,-0.5178492945105434
G_subject_fixed_class,baseline_adjusted,S3,S4,0.8970113988758565,0.92151449903466
G_subject_fixed_class,baseline_adjusted,S3,S5,1.0795083161332226,0.4638688433010933
G_subject_fixed_class,baseline_adjusted,S3,S6,1.2273957771953796,-0.5797367116238972
G_subject_fixed_class,baseline_adjusted,S3,S7,0.8111418362242204,0.910171130662036
G_subject_fixed_class,baseline_adjusted,S3,S8,0.3747290030468404,0.904579412757446
G_subject_fixed_class,baseline_adjusted,S3,S9,6.2063244123041965,0.4365638961318115
G_subject_fixed_class,baseline_adjusted,S4,S5,0.3083498390197788,0.23900552807058764
G_subject_fixed_class,baseline_adjusted,S4,S6,0.5211450861739405,-0.7885886134709418
G_subject_fixed_class,baseline_adjusted,S4,S7,0.1988865176823074,0.8591476031141037
G_subject_fixed_class,baseline_adjusted,S4,S8,0.8766393005442706,0.8894205585237567
G_subject_fixed_class,baseline_adjusted,S4,S9,6.7886419487412395,0.4840828622622279
G_subject_fixed_class,baseline_adjusted,S5,S6,0.2656239979264815,-0.04132085605626206
G_subject_fixed_class,baseline_adjusted,S5,S7,0.3161981421933139,0.5966344693500049
G_subject_fixed_class,baseline_adjusted,S5,S8,1.051955317993657,0.5985426887535077
G_subject_fixed_class,baseline_adjusted,S5,S9,6.869123746111005,0.7050597046884137
G_subject_fixed_class,baseline_adjusted,S6,S7,0.5160704412371188,-0.5047365097306654
G_subject_fixed_class,baseline_adjusted,S6,S8,1.2252853048860377,-0.5927805059837976
G_subject_fixed_class,baseline_adjusted,S6,S9,7.021184362886416,-0.5140281874184993
G_subject_fixed_class,baseline_adjusted,S7,S8,0.758394836969739,0.9895906571635676
G_subject_fixed_class,baseline_adjusted,S7,S9,6.661471883926969,0.6944501025260296
G_subject_fixed_class,baseline_adjusted,S8,S9,6.021627776055732,0.7441182006339891
H_class_fixed_subject,raw,L,R,5.434170703536943,0.43317039946854236
H_class_fixed_subject,raw,L,F,3.865607565656086,0.8740641813402257
H_class_fixed_subject,raw,L,T,6.2055728157649455,-0.026381693835343747
H_class_fixed_subject,raw,R,F,2.6033937168447188,0.29922628991683103
H_class_fixed_subject,raw,R,T,2.3211112871320343,-0.21272753786113804
H_class_fixed_subject,raw,F,T,2.8870269382095364,0.0639570744571663
H_class_fixed_subject,baseline_adjusted,L,R,5.568847119367387,0.2397876846155407
H_class_fixed_subject,baseline_adjusted,L,F,3.822211947491835,0.8631079838781529
H_class_fixed_subject,baseline_adjusted,L,T,5.943492499749115,-0.07232103755007992
H_class_fixed_subject,baseline_adjusted,R,F,2.7732791382090545,0.14477905646052133
H_class_fixed_subject,baseline_adjusted,R,T,2.336912184680049,-0.2686392311462713
H_class_fixed_subject,baseline_adjusted,F,T,2.6581841964502937,-0.0038511232891695014
