registration_id,fixture_type,solver,subject,session,class_label,gpa_start,gpa_outer_iteration,trial_position,global_sample_index,target_hash,source_hash,start_index,initial_determinant,final_determinant,starting_permutation,final_permutation,initial_objective,final_objective,final_gradient_norm,gradient_tolerance,gradient_ratio_to_tolerance,optimizer_iterations,cost_calls_counted,gradient_calls_counted,hessian_calls_counted,runtime_seconds,alternations,stopping_criterion,converged,objective_change_last_10_iterations,objective_change_last_50_iterations,objective_change_last_100_iterations,trajectory_classification,truth_determinant,dimension,audit_index
known_q_d4_det_+1,known_q_synthetic,TrustRegions,,,,,,,,094f4ad989115a71ef3e74c4cc3bb3f37886ef124f917d7cd3c129bc3bb24c2e,d59baceb0721b339e1d3412bd2c9dd7a0fc1f27ebb74f54ce123a6ebf91ceed8,0,1,1,"2,0,4,1,3","2,0,4,1,3",9.180615303542405e-29,1.384450888662878e-29,4.594593960150769e-16,1e-06,4.5945939601507694e-10,1,2,2,8,0.004653915,1,assignment_stable_and_action_converged,True,,,,not_determinable_no_iteration_trace,1.0,4.0,
known_q_d4_det_+1,known_q_synthetic,TrustRegions,,,,,,,,094f4ad989115a71ef3e74c4cc3bb3f37886ef124f917d7cd3c129bc3bb24c2e,d59baceb0721b339e1d3412bd2c9dd7a0fc1f27ebb74f54ce123a6ebf91ceed8,1,-1,-1,"2,0,4,1,3","2,0,4,1,3",0.23501539539399605,0.0599342731115116,8.501408599970795e-10,1e-06,0.0008501408599970795,10,11,11,26,0.016978333,1,assignment_stable_and_action_converged,True,,,,not_determinable_no_iteration_trace,1.0,4.0,
known_q_d4_det_+1,known_q_synthetic,TrustRegions,,,,,,,,094f4ad989115a71ef3e74c4cc3bb3f37886ef124f917d7cd3c129bc3bb24c2e,d59baceb0721b339e1d3412bd2c9dd7a0fc1f27ebb74f54ce123a6ebf91ceed8,2,1,1,"1,0,4,2,3","1,0,3,2,4",0.15652699987546184,0.06077146935587846,6.357043586855125e-16,1e-06,6.357043586855125e-10,14,17,17,56,0.033929415,3,assignment_stable_and_action_converged,True,,,,not_determinable_no_iteration_trace,1.0,4.0,
known_q_d4_det_+1,known_q_synthetic,TrustRegions,,,,,,,,094f4ad989115a71ef3e74c4cc3bb3f37886ef124f917d7cd3c129bc3bb24c2e,d59baceb0721b339e1d3412bd2c9dd7a0fc1f27ebb74f54ce123a6ebf91ceed8,3,-1,-1,"1,0,4,2,3","1,0,4,2,3",0.21622305974205025,0.12209620624320908,8.178467197762313e-10,1e-06,0.0008178467197762313,8,9,9,25,0.015630541,1,assignment_stable_and_action_converged,True,,,,not_determinable_no_iteration_trace,1.0,4.0,
known_q_d22_det_-1,known_q_synthetic,ConjugateGradient,,,,,,,,d56c37b63ff8bfc92a5981e385ff61a275a1fd37260b8a4c22b689a863c10520,acfbba5b28f8251c19d22dd133036e55f12e2ef8ec4a73bcc13c8d9f4da90b1a,0,-1,-1,"4,2,0,3,1","4,2,0,3,1",5.1217913467883236e-26,5.1217913467883236e-26,4.581705219571793e-14,1e-06,4.581705219571794e-08,1,1,1,0,0.001255832,1,assignment_stable_and_action_converged,True,,,,not_determinable_no_iteration_trace,-1.0,22.0,
known_q_d22_det_-1,known_q_synthetic,ConjugateGradient,,,,,,,,d56c37b63ff8bfc92a5981e385ff61a275a1fd37260b8a4c22b689a863c10520,acfbba5b28f8251c19d22dd133036e55f12e2ef8ec4a73bcc13c8d9f4da90b1a,1,1,1,"4,2,0,3,1","4,2,0,3,1",0.02297589752153359,0.006949054432575324,9.607031501289247e-07,1e-06,0.9607031501289248,116,304,116,0,0.255121625,1,assignment_stable_and_action_converged,True,2.015244852937581e-09,8.17557287339718e-06,0.0009640156321077398,still_descending_at_termination,-1.0,22.0,
known_q_d22_det_-1,known_q_synthetic,ConjugateGradient,,,,,,,,d56c37b63ff8bfc92a5981e385ff61a275a1fd37260b8a4c22b689a863c10520,acfbba5b28f8251c19d22dd133036e55f12e2ef8ec4a73bcc13c8d9f4da90b1a,2,1,1,"3,2,0,4,1","3,2,0,4,1",0.1266248038977363,0.04318880658663175,9.473750962116671e-07,1e-06,0.9473750962116672,114,294,114,0,0.259611999,1,assignment_stable_and_action_converged,True,8.03194996623624e-10,2.7372545563439377e-05,0.010242040632733755,still_descending_at_termination,-1.0,22.0,
known_q_d22_det_-1,known_q_synthetic,ConjugateGradient,,,,,,,,d56c37b63ff8bfc92a5981e385ff61a275a1fd37260b8a4c22b689a863c10520,acfbba5b28f8251c19d22dd133036e55f12e2ef8ec4a73bcc13c8d9f4da90b1a,3,-1,-1,"3,2,0,4,1","3,2,0,4,1",0.12887283183805465,0.04563322760842492,9.223049408258102e-07,1e-06,0.9223049408258103,123,316,123,0,0.281457209,1,assignment_stable_and_action_converged,True,1.4737556515431738e-08,2.6125228108284104e-06,0.0018872394836147374,still_descending_at_termination,-1.0,22.0,
known_q_d22_det_-1,known_q_synthetic,TrustRegions,,,,,,,,d56c37b63ff8bfc92a5981e385ff61a275a1fd37260b8a4c22b689a863c10520,acfbba5b28f8251c19d22dd133036e55f12e2ef8ec4a73bcc13c8d9f4da90b1a,0,-1,-1,"4,2,0,3,1","4,2,0,3,1",5.1217913467883236e-26,1.920950259923025e-28,9.631550540358309e-16,1e-06,9.631550540358308e-10,1,2,2,30,0.040146125,1,assignment_stable_and_action_converged,True,,,,not_determinable_no_iteration_trace,-1.0,22.0,
known_q_d22_det_-1,known_q_synthetic,TrustRegions,,,,,,,,d56c37b63ff8bfc92a5981e385ff61a275a1fd37260b8a4c22b689a863c10520,acfbba5b28f8251c19d22dd133036e55f12e2ef8ec4a73bcc13c8d9f4da90b1a,1,1,1,"4,2,0,3,1","4,2,0,3,1",0.02297589752153359,0.006949054393279577,1.7288368199836116e-07,1e-06,0.17288368199836118,13,14,14,103,0.145457624,1,assignment_stable_and_action_converged,True,,,,not_determinable_no_iteration_trace,-1.0,22.0,
