registration_id,fixture_type,solver,subject,session,class_label,gpa_start,gpa_outer_iteration,trial_position,global_sample_index,target_hash,source_hash,start_index,alternation,permutation_before,permutation_after,objective_before,objective_after_solve,objective_after_assignment,gradient_norm,iterations,cost_evaluations_reported,cost_calls_counted,gradient_calls_counted,hessian_calls_counted,runtime_seconds,stopping_criterion,converged,truth_determinant,dimension,audit_index
known_q_d4_det_+1,known_q_synthetic,ConjugateGradient,,,,,,,,094f4ad989115a71ef3e74c4cc3bb3f37886ef124f917d7cd3c129bc3bb24c2e,d59baceb0721b339e1d3412bd2c9dd7a0fc1f27ebb74f54ce123a6ebf91ceed8,2,2,"1,0,3,2,4","1,0,3,2,4",0.07574617713443874,0.06077146935668774,0.06077146935668774,5.090849445402026e-07,27,27.0,98,27,0,0.020826667,"Terminated - min grad norm reached after 27 iterations, 0.02 seconds.",True,1.0,4.0,
known_q_d4_det_+1,known_q_synthetic,ConjugateGradient,,,,,,,,094f4ad989115a71ef3e74c4cc3bb3f37886ef124f917d7cd3c129bc3bb24c2e,d59baceb0721b339e1d3412bd2c9dd7a0fc1f27ebb74f54ce123a6ebf91ceed8,2,3,"1,0,3,2,4","1,0,3,2,4",0.06077146935668774,0.06077146935668774,0.06077146935668774,5.090849445402026e-07,1,1.0,1,1,0,0.000411124,"Terminated - min grad norm reached after 1 iterations, 0.00 seconds.",True,1.0,4.0,
known_q_d4_det_+1,known_q_synthetic,ConjugateGradient,,,,,,,,094f4ad989115a71ef3e74c4cc3bb3f37886ef124f917d7cd3c129bc3bb24c2e,d59baceb0721b339e1d3412bd2c9dd7a0fc1f27ebb74f54ce123a6ebf91ceed8,3,1,"1,0,4,2,3","1,0,4,2,3",0.21622305974205025,0.09905427417365711,0.09905427417365711,8.291907789126702e-07,70,70.0,201,70,0,0.047053958,"Terminated - min grad norm reached after 70 iterations, 0.05 seconds.",True,1.0,4.0,
known_q_d4_det_+1,known_q_synthetic,TrustRegions,,,,,,,,094f4ad989115a71ef3e74c4cc3bb3f37886ef124f917d7cd3c129bc3bb24c2e,d59baceb0721b339e1d3412bd2c9dd7a0fc1f27ebb74f54ce123a6ebf91ceed8,0,1,"2,0,4,1,3","2,0,4,1,3",9.180615303542405e-29,1.384450888662878e-29,1.384450888662878e-29,4.594593960150769e-16,1,,2,2,8,0.004653915,"Terminated - min grad norm reached after 1 iterations, 0.00 seconds.",True,1.0,4.0,
known_q_d4_det_+1,known_q_synthetic,TrustRegions,,,,,,,,094f4ad989115a71ef3e74c4cc3bb3f37886ef124f917d7cd3c129bc3bb24c2e,d59baceb0721b339e1d3412bd2c9dd7a0fc1f27ebb74f54ce123a6ebf91ceed8,1,1,"2,0,4,1,3","2,0,4,1,3",0.23501539539399605,0.0599342731115116,0.0599342731115116,8.501408599970795e-10,10,,11,11,26,0.016978333,"Terminated - min grad norm reached after 10 iterations, 0.02 seconds.",True,1.0,4.0,
known_q_d4_det_+1,known_q_synthetic,TrustRegions,,,,,,,,094f4ad989115a71ef3e74c4cc3bb3f37886ef124f917d7cd3c129bc3bb24c2e,d59baceb0721b339e1d3412bd2c9dd7a0fc1f27ebb74f54ce123a6ebf91ceed8,2,1,"1,0,4,2,3","1,0,3,2,4",0.15652699987546184,0.07623789045054849,0.07574688220272827,4.040903650474126e-07,7,,8,8,28,0.016667417,"Terminated - min grad norm reached after 7 iterations, 0.02 seconds.",True,1.0,4.0,
known_q_d4_det_+1,known_q_synthetic,TrustRegions,,,,,,,,094f4ad989115a71ef3e74c4cc3bb3f37886ef124f917d7cd3c129bc3bb24c2e,d59baceb0721b339e1d3412bd2c9dd7a0fc1f27ebb74f54ce123a6ebf91ceed8,2,2,"1,0,3,2,4","1,0,3,2,4",0.07574688220272827,0.060771469355878405,0.060771469355878405,4.2577600441132207e-10,6,,7,7,20,0.012631166,"Terminated - min grad norm reached after 6 iterations, 0.01 seconds.",True,1.0,4.0,
known_q_d4_det_+1,known_q_synthetic,TrustRegions,,,,,,,,094f4ad989115a71ef3e74c4cc3bb3f37886ef124f917d7cd3c129bc3bb24c2e,d59baceb0721b339e1d3412bd2c9dd7a0fc1f27ebb74f54ce123a6ebf91ceed8,2,3,"1,0,3,2,4","1,0,3,2,4",0.060771469355878405,0.06077146935587846,0.06077146935587846,6.357043586855125e-16,1,,2,2,8,0.004630832,"Terminated - min grad norm reached after 1 iterations, 0.00 seconds.",True,1.0,4.0,
known_q_d4_det_+1,known_q_synthetic,TrustRegions,,,,,,,,094f4ad989115a71ef3e74c4cc3bb3f37886ef124f917d7cd3c129bc3bb24c2e,d59baceb0721b339e1d3412bd2c9dd7a0fc1f27ebb74f54ce123a6ebf91ceed8,3,1,"1,0,4,2,3","1,0,4,2,3",0.21622305974205025,0.12209620624320908,0.12209620624320908,8.178467197762313e-10,8,,9,9,25,0.015630541,"Terminated - min grad norm reached after 8 iterations, 0.02 seconds.",True,1.0,4.0,
known_q_d22_det_-1,known_q_synthetic,ConjugateGradient,,,,,,,,d56c37b63ff8bfc92a5981e385ff61a275a1fd37260b8a4c22b689a863c10520,acfbba5b28f8251c19d22dd133036e55f12e2ef8ec4a73bcc13c8d9f4da90b1a,0,1,"4,2,0,3,1","4,2,0,3,1",5.1217913467883236e-26,5.1217913467883236e-26,5.1217913467883236e-26,4.581705219571793e-14,1,1.0,1,1,0,0.001255832,"Terminated - min grad norm reached after 1 iterations, 0.00 seconds.",True,-1.0,22.0,
known_q_d22_det_-1,known_q_synthetic,ConjugateGradient,,,,,,,,d56c37b63ff8bfc92a5981e385ff61a275a1fd37260b8a4c22b689a863c10520,acfbba5b28f8251c19d22dd133036e55f12e2ef8ec4a73bcc13c8d9f4da90b1a,1,1,"4,2,0,3,1","4,2,0,3,1",0.02297589752153359,0.006949054432575324,0.006949054432575324,9.607031501289247e-07,116,116.0,304,116,0,0.255121625,"Terminated - min grad norm reached after 116 iterations, 0.25 seconds.",True,-1.0,22.0,
known_q_d22_det_-1,known_q_synthetic,ConjugateGradient,,,,,,,,d56c37b63ff8bfc92a5981e385ff61a275a1fd37260b8a4c22b689a863c10520,acfbba5b28f8251c19d22dd133036e55f12e2ef8ec4a73bcc13c8d9f4da90b1a,2,1,"3,2,0,4,1","3,2,0,4,1",0.1266248038977363,0.04318880658663175,0.04318880658663175,9.473750962116671e-07,114,114.0,294,114,0,0.259611999,"Terminated - min grad norm reached after 114 iterations, 0.26 seconds.",True,-1.0,22.0,
known_q_d22_det_-1,known_q_synthetic,ConjugateGradient,,,,,,,,d56c37b63ff8bfc92a5981e385ff61a275a1fd37260b8a4c22b689a863c10520,acfbba5b28f8251c19d22dd133036e55f12e2ef8ec4a73bcc13c8d9f4da90b1a,3,1,"3,2,0,4,1","3,2,0,4,1",0.12887283183805465,0.04563322760842492,0.04563322760842492,9.223049408258102e-07,123,123.0,316,123,0,0.281457209,"Terminated - min grad norm reached after 123 iterations, 0.28 seconds.",True,-1.0,22.0,
known_q_d22_det_-1,known_q_synthetic,TrustRegions,,,,,,,,d56c37b63ff8bfc92a5981e385ff61a275a1fd37260b8a4c22b689a863c10520,acfbba5b28f8251c19d22dd133036e55f12e2ef8ec4a73bcc13c8d9f4da90b1a,0,1,"4,2,0,3,1","4,2,0,3,1",5.1217913467883236e-26,1.920950259923025e-28,1.920950259923025e-28,9.631550540358309e-16,1,,2,2,30,0.040146125,"Terminated - min grad norm reached after 1 iterations, 0.04 seconds.",True,-1.0,22.0,
known_q_d22_det_-1,known_q_synthetic,TrustRegions,,,,,,,,d56c37b63ff8bfc92a5981e385ff61a275a1fd37260b8a4c22b689a863c10520,acfbba5b28f8251c19d22dd133036e55f12e2ef8ec4a73bcc13c8d9f4da90b1a,1,1,"4,2,0,3,1","4,2,0,3,1",0.02297589752153359,0.006949054393279577,0.006949054393279577,1.7288368199836116e-07,13,,14,14,103,0.145457624,"Terminated - min grad norm reached after 13 iterations, 0.15 seconds.",True,-1.0,22.0,
known_q_d22_det_-1,known_q_synthetic,TrustRegions,,,,,,,,d56c37b63ff8bfc92a5981e385ff61a275a1fd37260b8a4c22b689a863c10520,acfbba5b28f8251c19d22dd133036e55f12e2ef8ec4a73bcc13c8d9f4da90b1a,2,1,"3,2,0,4,1","3,2,0,4,1",0.1266248038977363,0.043188806271850934,0.043188806271850934,3.639533574521522e-07,18,,19,18,174,0.246529875,"Terminated - min grad norm reached after 18 iterations, 0.25 seconds.",True,-1.0,22.0,
known_q_d22_det_-1,known_q_synthetic,TrustRegions,,,,,,,,d56c37b63ff8bfc92a5981e385ff61a275a1fd37260b8a4c22b689a863c10520,acfbba5b28f8251c19d22dd133036e55f12e2ef8ec4a73bcc13c8d9f4da90b1a,3,1,"3,2,0,4,1","3,2,0,4,1",0.12887283183805465,0.04563322735924631,0.04563322735924631,4.6190173210834733e-07,15,,16,16,163,0.226266165,"Terminated - min grad norm reached after 15 iterations, 0.23 seconds.",True,-1.0,22.0,
real_audit_0,deterministic_real_audit_bank,ConjugateGradient,3.0,1test,left_hand,0.0,1.0,32.0,3292.0,e5bd806c9a1dac1634745c59bee260b725e59357a3904d02711c3b27d20afa46,4d5d9a675defa1abf85b0ddea9d964ae6edb131a1eb37051c36c505b04489b89,0,1,"0,4,2,3,1","0,4,2,3,1",7.619009737410292,4.204068371993108,4.204068371993108,0.00060280469001415,250,250.0,636,250,0,0.540640125,Terminated - max iterations reached after 0.54 seconds.,False,,,0.0
real_audit_0,deterministic_real_audit_bank,ConjugateGradient,3.0,1test,left_hand,0.0,1.0,32.0,3292.0,e5bd806c9a1dac1634745c59bee260b725e59357a3904d02711c3b27d20afa46,4d5d9a675defa1abf85b0ddea9d964ae6edb131a1eb37051c36c505b04489b89,1,1,"0,4,2,3,1","0,4,2,3,1",8.262412978889198,4.168630205192207,4.168630205192207,0.006140511687463824,250,250.0,619,250,0,0.535193708,Terminated - max iterations reached after 0.53 seconds.,False,,,0.0
real_audit_0,deterministic_real_audit_bank,ConjugateGradient,3.0,1test,left_hand,0.0,1.0,32.0,3292.0,e5bd806c9a1dac1634745c59bee260b725e59357a3904d02711c3b27d20afa46,4d5d9a675defa1abf85b0ddea9d964ae6edb131a1eb37051c36c505b04489b89,2,1,"1,4,3,2,0","1,4,3,2,0",7.878272038575647,3.8474459319566408,3.8474459319566408,0.0011967966799344488,250,250.0,631,250,0,0.541931333,Terminated - max iterations reached after 0.54 seconds.,False,,,0.0
real_audit_0,deterministic_real_audit_bank,ConjugateGradient,3.0,1test,left_hand,0.0,1.0,32.0,3292.0,e5bd806c9a1dac1634745c59bee260b725e59357a3904d02711c3b27d20afa46,4d5d9a675defa1abf85b0ddea9d964ae6edb131a1eb37051c36c505b04489b89,3,1,"1,4,3,2,0","1,4,3,2,0",8.2299444669677,3.848284486069417,3.848284486069417,0.00981950296291051,250,250.0,633,250,0,0.539058125,Terminated - max iterations reached after 0.54 seconds.,False,,,0.0
real_audit_0,deterministic_real_audit_bank,TrustRegions,3.0,1test,left_hand,0.0,1.0,32.0,3292.0,e5bd806c9a1dac1634745c59bee260b725e59357a3904d02711c3b27d20afa46,4d5d9a675defa1abf85b0ddea9d964ae6edb131a1eb37051c36c505b04489b89,0,1,"0,4,2,3,1","0,4,2,3,1",7.619009737410292,4.20406795916651,4.20406795916651,2.2271120129808045e-07,22,,23,23,391,0.518953083,"Terminated - min grad norm reached after 22 iterations, 0.52 seconds.",True,,,0.0
