session,geometry,subject,split,class_pair,D_exact,D_tan,C,relative_curvature
0train,AIRM,6,F,23,0.8164528839871632,0.8163403952754067,0.0001836708125489972,0.00027553571005627917
0train,AIRM,6,F,24,0.7300190288029677,0.7299561030703924,9.187000471477802e-05,0.00017238734355067993
0train,AIRM,6,F,34,0.5466194426449025,0.5464704344717989,0.00016287932562719654,0.0005451246395767278
0train,AIRM,7,F,12,0.5453966252835042,0.545165352762675,0.00025221701778321837,0.0008479094852172405
0train,AIRM,7,F,13,1.2117472544007009,1.2115867638844398,0.00038892212766761247,0.0002648735329119637
0train,AIRM,7,F,14,1.7316540567817207,1.7315437500663489,0.00038201397475612353,0.0001273963487795857
0train,AIRM,7,F,23,1.0080266268424294,1.0079305103561111,0.0001937667165956558,0.00019069318478439463
0train,AIRM,7,F,24,1.427206598544093,1.4270760905451576,0.0003725067221487244,0.00018287756243480277
0train,AIRM,7,F,34,0.959675732434786,0.9592221172311158,0.0008704412388984561,0.0009451275716302397
0train,AIRM,8,F,12,1.182387769323293,1.1819488835875418,0.0010376736314761104,0.0007422341350694592
0train,AIRM,8,F,13,0.7870599310618117,0.7864472373737144,0.0009640779102763064,0.0015563114968654207
0train,AIRM,8,F,14,2.004358383599307,2.0038962453898117,0.0018523676174417858,0.0004610801505813109
0train,AIRM,8,F,23,0.8466261187412987,0.8462753186191194,0.0005938700310634815,0.0008285297069813439
0train,AIRM,8,F,24,1.7670537399680903,1.7664935862011226,0.001979329845512634,0.0006338969441477289
0train,AIRM,8,F,34,1.7603753594369151,1.7601812798914738,0.000683268032261708,0.00022048575704887387
0train,AIRM,9,F,12,0.9459627577339541,0.9457136014069832,0.00047132313346121,0.0005267089267468226
0train,AIRM,9,F,13,1.210730297724812,1.210512391145271,0.0005276047125701844,0.0003599265180637487
0train,AIRM,9,F,14,2.332907629369168,2.332688220499499,0.0010236731117512221,0.00018809021776609533
0train,AIRM,9,F,23,0.8813565297549928,0.8811683212561525,0.0003317221563775563,0.00042704262594867894
0train,AIRM,9,F,24,1.9087902716557357,1.9086394606826917,0.0005757102924608404,0.0001580110896376605
0train,AIRM,9,F,34,1.5449425792856066,1.544651977912005,0.000897840422193763,0.00037616160840816415
1test,AIRM,1,F,12,1.0464054246024885,1.0456646239048102,0.0015498069515262891,0.0014153949435969878
1test,AIRM,1,F,13,2.026363282698669,2.0262317230300404,0.0005331580560392624,0.0001298438429672324
1test,AIRM,1,F,14,2.262820248404042,2.2626373899385337,0.0008275182394692493,0.00016161343548373768
1test,AIRM,1,F,23,2.2438485374859534,2.2436838427703982,0.0007390728689111725,0.00014679125497653366
