protocol,target_subject,condition,class_label,recall
T2,2,MOV_SENSOR,tongue,0.3888888888888889
T2,2,STATIC_PLUS_LEN,left_hand,0.375
T2,2,STATIC_PLUS_LEN,right_hand,0.2916666666666667
T2,2,STATIC_PLUS_LEN,feet,0.2638888888888889
T2,2,STATIC_PLUS_LEN,tongue,0.3888888888888889
T2,2,STATIC_PLUS_GRAM,left_hand,0.3611111111111111
T2,2,STATIC_PLUS_GRAM,right_hand,0.3194444444444444
T2,2,STATIC_PLUS_GRAM,feet,0.2777777777777778
T2,2,STATIC_PLUS_GRAM,tongue,0.3611111111111111
T2,2,STATIC_PLUS_SENSOR,left_hand,0.3055555555555556
T2,2,STATIC_PLUS_SENSOR,right_hand,0.3055555555555556
T2,2,STATIC_PLUS_SENSOR,feet,0.3055555555555556
T2,2,STATIC_PLUS_SENSOR,tongue,0.3611111111111111
T2,3,STATIC,left_hand,0.5833333333333334
T2,3,STATIC,right_hand,0.7083333333333334
T2,3,STATIC,feet,0.6805555555555556
T2,3,STATIC,tongue,0.6111111111111112
T2,3,MOV_LEN,left_hand,0.625
T2,3,MOV_LEN,right_hand,0.05555555555555555
T2,3,MOV_LEN,feet,0.1388888888888889
T2,3,MOV_LEN,tongue,0.25
T2,3,MOV_GRAM,left_hand,0.3611111111111111
T2,3,MOV_GRAM,right_hand,0.3055555555555556
T2,3,MOV_GRAM,feet,0.09722222222222222
T2,3,MOV_GRAM,tongue,0.2222222222222222
T2,3,MOV_SENSOR,left_hand,0.2916666666666667
T2,3,MOV_SENSOR,right_hand,0.2361111111111111
T2,3,MOV_SENSOR,feet,0.3472222222222222
T2,3,MOV_SENSOR,tongue,0.2638888888888889
T2,3,STATIC_PLUS_LEN,left_hand,0.5972222222222222
T2,3,STATIC_PLUS_LEN,right_hand,0.6944444444444444
T2,3,STATIC_PLUS_LEN,feet,0.6388888888888888
T2,3,STATIC_PLUS_LEN,tongue,0.6666666666666666
T2,3,STATIC_PLUS_GRAM,left_hand,0.5972222222222222
T2,3,STATIC_PLUS_GRAM,right_hand,0.7638888888888888
T2,3,STATIC_PLUS_GRAM,feet,0.6388888888888888
T2,3,STATIC_PLUS_GRAM,tongue,0.6527777777777778
T2,3,STATIC_PLUS_SENSOR,left_hand,0.6527777777777778
T2,3,STATIC_PLUS_SENSOR,right_hand,0.5138888888888888
T2,3,STATIC_PLUS_SENSOR,feet,0.6527777777777778
T2,3,STATIC_PLUS_SENSOR,tongue,0.5
T2,4,STATIC,left_hand,0.4861111111111111
T2,4,STATIC,right_hand,0.4722222222222222
T2,4,STATIC,feet,0.4861111111111111
T2,4,STATIC,tongue,0.4583333333333333
T2,4,MOV_LEN,left_hand,0.5
T2,4,MOV_LEN,right_hand,0.20833333333333334
T2,4,MOV_LEN,feet,0.041666666666666664
T2,4,MOV_LEN,tongue,0.2916666666666667
T2,4,MOV_GRAM,left_hand,0.3611111111111111
T2,4,MOV_GRAM,right_hand,0.4027777777777778
T2,4,MOV_GRAM,feet,0.1111111111111111
T2,4,MOV_GRAM,tongue,0.2222222222222222
T2,4,MOV_SENSOR,left_hand,0.20833333333333334
T2,4,MOV_SENSOR,right_hand,0.2222222222222222
T2,4,MOV_SENSOR,feet,0.3055555555555556
T2,4,MOV_SENSOR,tongue,0.3194444444444444
T2,4,STATIC_PLUS_LEN,left_hand,0.4583333333333333
T2,4,STATIC_PLUS_LEN,right_hand,0.4444444444444444
T2,4,STATIC_PLUS_LEN,feet,0.4722222222222222
T2,4,STATIC_PLUS_LEN,tongue,0.4861111111111111
T2,4,STATIC_PLUS_GRAM,left_hand,0.4722222222222222
T2,4,STATIC_PLUS_GRAM,right_hand,0.4444444444444444
T2,4,STATIC_PLUS_GRAM,feet,0.4722222222222222
T2,4,STATIC_PLUS_GRAM,tongue,0.5
T2,4,STATIC_PLUS_SENSOR,left_hand,0.4166666666666667
T2,4,STATIC_PLUS_SENSOR,right_hand,0.375
T2,4,STATIC_PLUS_SENSOR,feet,0.3055555555555556
T2,4,STATIC_PLUS_SENSOR,tongue,0.4166666666666667
T2,5,STATIC,left_hand,0.20833333333333334
T2,5,STATIC,right_hand,0.4027777777777778
T2,5,STATIC,feet,0.4166666666666667
T2,5,STATIC,tongue,0.3472222222222222
T2,5,MOV_LEN,left_hand,0.8194444444444444
T2,5,MOV_LEN,right_hand,0.18055555555555555
T2,5,MOV_LEN,feet,0.027777777777777776
T2,5,MOV_LEN,tongue,0.027777777777777776
T2,5,MOV_GRAM,left_hand,0.6666666666666666
T2,5,MOV_GRAM,right_hand,0.3472222222222222
T2,5,MOV_GRAM,feet,0.013888888888888888
T2,5,MOV_GRAM,tongue,0.013888888888888888
T2,5,MOV_SENSOR,left_hand,0.3333333333333333
T2,5,MOV_SENSOR,right_hand,0.375
T2,5,MOV_SENSOR,feet,0.25
T2,5,MOV_SENSOR,tongue,0.16666666666666666
T2,5,STATIC_PLUS_LEN,left_hand,0.2222222222222222
T2,5,STATIC_PLUS_LEN,right_hand,0.375
T2,5,STATIC_PLUS_LEN,feet,0.4305555555555556
T2,5,STATIC_PLUS_LEN,tongue,0.3888888888888889
T2,5,STATIC_PLUS_GRAM,left_hand,0.2222222222222222
T2,5,STATIC_PLUS_GRAM,right_hand,0.4027777777777778
T2,5,STATIC_PLUS_GRAM,feet,0.4027777777777778
T2,5,STATIC_PLUS_GRAM,tongue,0.4027777777777778
T2,5,STATIC_PLUS_SENSOR,left_hand,0.2361111111111111
T2,5,STATIC_PLUS_SENSOR,right_hand,0.4166666666666667
T2,5,STATIC_PLUS_SENSOR,feet,0.4027777777777778
T2,5,STATIC_PLUS_SENSOR,tongue,0.2916666666666667
T2,6,STATIC,left_hand,0.375
T2,6,STATIC,right_hand,0.3055555555555556
T2,6,STATIC,feet,0.2916666666666667
T2,6,STATIC,tongue,0.3888888888888889
T2,6,MOV_LEN,left_hand,0.041666666666666664
T2,6,MOV_LEN,right_hand,0.1527777777777778
T2,6,MOV_LEN,feet,0.2638888888888889
T2,6,MOV_LEN,tongue,0.4027777777777778
T2,6,MOV_GRAM,left_hand,0.2777777777777778
T2,6,MOV_GRAM,right_hand,0.125
T2,6,MOV_GRAM,feet,0.19444444444444445
T2,6,MOV_GRAM,tongue,0.4305555555555556
T2,6,MOV_SENSOR,left_hand,0.2222222222222222
T2,6,MOV_SENSOR,right_hand,0.2916666666666667
T2,6,MOV_SENSOR,feet,0.16666666666666666
T2,6,MOV_SENSOR,tongue,0.3888888888888889
T2,6,STATIC_PLUS_LEN,left_hand,0.3611111111111111
T2,6,STATIC_PLUS_LEN,right_hand,0.3472222222222222
T2,6,STATIC_PLUS_LEN,feet,0.3472222222222222
T2,6,STATIC_PLUS_LEN,tongue,0.3194444444444444
T2,6,STATIC_PLUS_GRAM,left_hand,0.4027777777777778
T2,6,STATIC_PLUS_GRAM,right_hand,0.3194444444444444
T2,6,STATIC_PLUS_GRAM,feet,0.3333333333333333
T2,6,STATIC_PLUS_GRAM,tongue,0.3055555555555556
T2,6,STATIC_PLUS_SENSOR,left_hand,0.3611111111111111
T2,6,STATIC_PLUS_SENSOR,right_hand,0.3194444444444444
T2,6,STATIC_PLUS_SENSOR,feet,0.2361111111111111
T2,6,STATIC_PLUS_SENSOR,tongue,0.3611111111111111
T2,7,STATIC,left_hand,0.5138888888888888
T2,7,STATIC,right_hand,0.2916666666666667
T2,7,STATIC,feet,0.3888888888888889
T2,7,STATIC,tongue,0.6111111111111112
T2,7,MOV_LEN,left_hand,0.4166666666666667
T2,7,MOV_LEN,right_hand,0.25
T2,7,MOV_LEN,feet,0.1111111111111111
T2,7,MOV_LEN,tongue,0.3333333333333333
T2,7,MOV_GRAM,left_hand,0.3888888888888889
T2,7,MOV_GRAM,right_hand,0.25
T2,7,MOV_GRAM,feet,0.125
T2,7,MOV_GRAM,tongue,0.25
T2,7,MOV_SENSOR,left_hand,0.3472222222222222
T2,7,MOV_SENSOR,right_hand,0.2222222222222222
T2,7,MOV_SENSOR,feet,0.2638888888888889
T2,7,MOV_SENSOR,tongue,0.4166666666666667
T2,7,STATIC_PLUS_LEN,left_hand,0.5277777777777778
T2,7,STATIC_PLUS_LEN,right_hand,0.2916666666666667
T2,7,STATIC_PLUS_LEN,feet,0.375
T2,7,STATIC_PLUS_LEN,tongue,0.625
T2,7,STATIC_PLUS_GRAM,left_hand,0.5138888888888888
T2,7,STATIC_PLUS_GRAM,right_hand,0.2777777777777778
T2,7,STATIC_PLUS_GRAM,feet,0.375
T2,7,STATIC_PLUS_GRAM,tongue,0.6111111111111112
T2,7,STATIC_PLUS_SENSOR,left_hand,0.5277777777777778
T2,7,STATIC_PLUS_SENSOR,right_hand,0.3472222222222222
T2,7,STATIC_PLUS_SENSOR,feet,0.3611111111111111
T2,7,STATIC_PLUS_SENSOR,tongue,0.5555555555555556
T2,8,STATIC,left_hand,0.7638888888888888
T2,8,STATIC,right_hand,0.6388888888888888
T2,8,STATIC,feet,0.5138888888888888
T2,8,STATIC,tongue,0.8611111111111112
T2,8,MOV_LEN,left_hand,0.4444444444444444
T2,8,MOV_LEN,right_hand,0.20833333333333334
T2,8,MOV_LEN,feet,0.1111111111111111
T2,8,MOV_LEN,tongue,0.3194444444444444
T2,8,MOV_GRAM,left_hand,0.5555555555555556
T2,8,MOV_GRAM,right_hand,0.2361111111111111
T2,8,MOV_GRAM,feet,0.08333333333333333
T2,8,MOV_GRAM,tongue,0.2361111111111111
T2,8,MOV_SENSOR,left_hand,0.5
T2,8,MOV_SENSOR,right_hand,0.3611111111111111
T2,8,MOV_SENSOR,feet,0.18055555555555555
T2,8,MOV_SENSOR,tongue,0.4305555555555556
T2,8,STATIC_PLUS_LEN,left_hand,0.75
T2,8,STATIC_PLUS_LEN,right_hand,0.6666666666666666
T2,8,STATIC_PLUS_LEN,feet,0.5416666666666666
T2,8,STATIC_PLUS_LEN,tongue,0.8611111111111112
T2,8,STATIC_PLUS_GRAM,left_hand,0.7638888888888888
T2,8,STATIC_PLUS_GRAM,right_hand,0.6805555555555556
T2,8,STATIC_PLUS_GRAM,feet,0.5833333333333334
T2,8,STATIC_PLUS_GRAM,tongue,0.8611111111111112
T2,8,STATIC_PLUS_SENSOR,left_hand,0.7777777777777778
T2,8,STATIC_PLUS_SENSOR,right_hand,0.5972222222222222
T2,8,STATIC_PLUS_SENSOR,feet,0.4166666666666667
T2,8,STATIC_PLUS_SENSOR,tongue,0.8194444444444444
T2,9,STATIC,left_hand,0.5972222222222222
T2,9,STATIC,right_hand,0.5833333333333334
T2,9,STATIC,feet,0.4305555555555556
T2,9,STATIC,tongue,0.6944444444444444
T2,9,MOV_LEN,left_hand,0.0
T2,9,MOV_LEN,right_hand,0.013888888888888888
T2,9,MOV_LEN,feet,0.027777777777777776
T2,9,MOV_LEN,tongue,1.0
T2,9,MOV_GRAM,left_hand,0.013888888888888888
T2,9,MOV_GRAM,right_hand,0.0
T2,9,MOV_GRAM,feet,0.041666666666666664
T2,9,MOV_GRAM,tongue,0.9861111111111112
T2,9,MOV_SENSOR,left_hand,0.4861111111111111
T2,9,MOV_SENSOR,right_hand,0.375
T2,9,MOV_SENSOR,feet,0.3611111111111111
T2,9,MOV_SENSOR,tongue,0.3472222222222222
T2,9,STATIC_PLUS_LEN,left_hand,0.5694444444444444
T2,9,STATIC_PLUS_LEN,right_hand,0.625
T2,9,STATIC_PLUS_LEN,feet,0.3888888888888889
T2,9,STATIC_PLUS_LEN,tongue,0.6666666666666666
T2,9,STATIC_PLUS_GRAM,left_hand,0.5277777777777778
T2,9,STATIC_PLUS_GRAM,right_hand,0.6111111111111112
T2,9,STATIC_PLUS_GRAM,feet,0.4166666666666667
T2,9,STATIC_PLUS_GRAM,tongue,0.6388888888888888
T2,9,STATIC_PLUS_SENSOR,left_hand,0.5555555555555556
T2,9,STATIC_PLUS_SENSOR,right_hand,0.5416666666666666
T2,9,STATIC_PLUS_SENSOR,feet,0.3888888888888889
T2,9,STATIC_PLUS_SENSOR,tongue,0.6666666666666666
