protocol,target_subject,condition,true_class,predicted_class,count
T2,3,STATIC_PLUS_GRAM,feet,right_hand,7
T2,3,STATIC_PLUS_GRAM,feet,feet,46
T2,3,STATIC_PLUS_GRAM,feet,tongue,8
T2,3,STATIC_PLUS_GRAM,tongue,left_hand,2
T2,3,STATIC_PLUS_GRAM,tongue,right_hand,6
T2,3,STATIC_PLUS_GRAM,tongue,feet,17
T2,3,STATIC_PLUS_GRAM,tongue,tongue,47
T2,3,STATIC_PLUS_SENSOR,left_hand,left_hand,47
T2,3,STATIC_PLUS_SENSOR,left_hand,right_hand,7
T2,3,STATIC_PLUS_SENSOR,left_hand,feet,6
T2,3,STATIC_PLUS_SENSOR,left_hand,tongue,12
T2,3,STATIC_PLUS_SENSOR,right_hand,left_hand,11
T2,3,STATIC_PLUS_SENSOR,right_hand,right_hand,37
T2,3,STATIC_PLUS_SENSOR,right_hand,feet,10
T2,3,STATIC_PLUS_SENSOR,right_hand,tongue,14
T2,3,STATIC_PLUS_SENSOR,feet,left_hand,7
T2,3,STATIC_PLUS_SENSOR,feet,right_hand,12
T2,3,STATIC_PLUS_SENSOR,feet,feet,47
T2,3,STATIC_PLUS_SENSOR,feet,tongue,6
T2,3,STATIC_PLUS_SENSOR,tongue,left_hand,5
T2,3,STATIC_PLUS_SENSOR,tongue,right_hand,10
T2,3,STATIC_PLUS_SENSOR,tongue,feet,21
T2,3,STATIC_PLUS_SENSOR,tongue,tongue,36
T2,4,STATIC,left_hand,left_hand,35
T2,4,STATIC,left_hand,right_hand,8
T2,4,STATIC,left_hand,feet,17
T2,4,STATIC,left_hand,tongue,12
T2,4,STATIC,right_hand,left_hand,12
T2,4,STATIC,right_hand,right_hand,34
T2,4,STATIC,right_hand,feet,13
T2,4,STATIC,right_hand,tongue,13
T2,4,STATIC,feet,left_hand,15
T2,4,STATIC,feet,right_hand,9
T2,4,STATIC,feet,feet,35
T2,4,STATIC,feet,tongue,13
T2,4,STATIC,tongue,left_hand,7
T2,4,STATIC,tongue,right_hand,15
T2,4,STATIC,tongue,feet,17
T2,4,STATIC,tongue,tongue,33
T2,4,MOV_LEN,left_hand,left_hand,36
T2,4,MOV_LEN,left_hand,right_hand,25
T2,4,MOV_LEN,left_hand,feet,0
T2,4,MOV_LEN,left_hand,tongue,11
T2,4,MOV_LEN,right_hand,left_hand,41
T2,4,MOV_LEN,right_hand,right_hand,15
