protocol,split,target_subject,condition,balanced_accuracy,accuracy,macro_f1,evaluation_n,confusion_matrix_json,recall_left_hand,recall_right_hand,recall_feet,recall_tongue
T2,SUBJECT_AVERAGE,3,MOV_SENSOR,0.2847222222222222,0.2847222222222222,0.2835101044814069,288,"[[21,14,22,15],[22,17,21,12],[21,11,25,15],[15,16,22,19]]",0.2916666666666667,0.2361111111111111,0.3472222222222222,0.2638888888888889
T2,SUBJECT_AVERAGE,3,STATIC_PLUS_LEN,0.6493055555555556,0.6493055555555556,0.6521229480971221,288,"[[43,3,5,21],[8,50,0,14],[11,7,46,8],[3,5,16,48]]",0.5972222222222222,0.6944444444444444,0.6388888888888888,0.6666666666666666
T2,SUBJECT_AVERAGE,3,STATIC_PLUS_GRAM,0.6631944444444444,0.6631944444444444,0.6644398749171562,288,"[[43,4,5,20],[6,55,0,11],[11,7,46,8],[2,6,17,47]]",0.5972222222222222,0.7638888888888888,0.6388888888888888,0.6527777777777778
T2,SUBJECT_AVERAGE,3,STATIC_PLUS_SENSOR,0.5798611111111112,0.5798611111111112,0.5787633829734259,288,"[[47,7,6,12],[11,37,10,14],[7,12,47,6],[5,10,21,36]]",0.6527777777777778,0.5138888888888888,0.6527777777777778,0.5
T2,SUBJECT_AVERAGE,4,STATIC,0.4756944444444444,0.4756944444444444,0.4763228599953855,288,"[[35,8,17,12],[12,34,13,13],[15,9,35,13],[7,15,17,33]]",0.4861111111111111,0.4722222222222222,0.4861111111111111,0.4583333333333333
T2,SUBJECT_AVERAGE,4,MOV_LEN,0.2604166666666667,0.2604166666666667,0.2338364310376106,288,"[[36,25,0,11],[41,15,6,10],[41,15,3,13],[37,13,1,21]]",0.5,0.20833333333333334,0.041666666666666664,0.2916666666666667
T2,SUBJECT_AVERAGE,4,MOV_GRAM,0.2743055555555556,0.2743055555555556,0.26168222933600954,288,"[[26,35,4,7],[27,29,4,12],[26,27,8,11],[29,26,1,16]]",0.3611111111111111,0.4027777777777778,0.1111111111111111,0.2222222222222222
T2,SUBJECT_AVERAGE,4,MOV_SENSOR,0.2638888888888889,0.2638888888888889,0.2629106221528263,288,"[[15,17,28,12],[13,16,26,17],[18,13,22,19],[13,15,21,23]]",0.20833333333333334,0.2222222222222222,0.3055555555555556,0.3194444444444444
T2,SUBJECT_AVERAGE,4,STATIC_PLUS_LEN,0.4652777777777778,0.4652777777777778,0.46618580468353343,288,"[[33,8,17,14],[12,32,15,13],[15,9,34,14],[6,13,18,35]]",0.4583333333333333,0.4444444444444444,0.4722222222222222,0.4861111111111111
T2,SUBJECT_AVERAGE,4,STATIC_PLUS_GRAM,0.4722222222222222,0.4722222222222222,0.4731547554157679,288,"[[34,8,17,13],[13,32,14,13],[16,8,34,14],[7,11,18,36]]",0.4722222222222222,0.4444444444444444,0.4722222222222222,0.5
T2,SUBJECT_AVERAGE,4,STATIC_PLUS_SENSOR,0.37847222222222227,0.3784722222222222,0.3794485479268088,288,"[[30,11,20,11],[17,27,18,10],[19,16,22,15],[12,14,16,30]]",0.4166666666666667,0.375,0.3055555555555556,0.4166666666666667
T2,SUBJECT_AVERAGE,5,STATIC,0.34375,0.34375,0.34179719313666135,288,"[[15,28,12,17],[16,29,11,16],[12,19,30,11],[14,20,13,25]]",0.20833333333333334,0.4027777777777778,0.4166666666666667,0.3472222222222222
T2,SUBJECT_AVERAGE,5,MOV_LEN,0.26388888888888884,0.2638888888888889,0.17937172295240097,288,"[[59,8,2,3],[58,13,0,1],[62,5,2,3],[49,18,3,2]]",0.8194444444444444,0.18055555555555555,0.027777777777777776,0.027777777777777776
T2,SUBJECT_AVERAGE,5,MOV_GRAM,0.26041666666666663,0.2604166666666667,0.18641597277710026,288,"[[48,18,3,3],[41,25,5,1],[46,22,1,3],[45,21,5,1]]",0.6666666666666666,0.3472222222222222,0.013888888888888888,0.013888888888888888
T2,SUBJECT_AVERAGE,5,MOV_SENSOR,0.28125,0.28125,0.2752779748394766,288,"[[24,23,14,11],[24,27,11,10],[27,18,18,9],[16,22,22,12]]",0.3333333333333333,0.375,0.25,0.16666666666666666
T2,SUBJECT_AVERAGE,5,STATIC_PLUS_LEN,0.35416666666666663,0.3541666666666667,0.35323111214567326,288,"[[16,27,12,17],[16,27,11,18],[12,19,31,10],[14,18,12,28]]",0.2222222222222222,0.375,0.4305555555555556,0.3888888888888889
T2,SUBJECT_AVERAGE,5,STATIC_PLUS_GRAM,0.35763888888888884,0.3576388888888889,0.356411526826978,288,"[[16,27,12,17],[16,29,10,17],[12,19,29,12],[16,16,11,29]]",0.2222222222222222,0.4027777777777778,0.4027777777777778,0.4027777777777778
T2,SUBJECT_AVERAGE,5,STATIC_PLUS_SENSOR,0.3368055555555556,0.3368055555555556,0.3334166405434633,288,"[[17,24,19,12],[17,30,11,14],[14,19,29,10],[11,22,18,21]]",0.2361111111111111,0.4166666666666667,0.4027777777777778,0.2916666666666667
T2,SUBJECT_AVERAGE,6,STATIC,0.3402777777777778,0.3402777777777778,0.3410002734094154,288,"[[27,16,20,9],[17,22,14,19],[8,14,21,29],[11,12,21,28]]",0.375,0.3055555555555556,0.2916666666666667,0.3888888888888889
