target_subject,condition,n_source,n_features,scaler_fit_n,model_fit_n,convergence_warning,warning_messages,n_iter_max,status,source_uid_sha256
6,MOV_GRAM,2304,10,2304,2304,False,"[""FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.""]",32,PASS,35dc1c3caa6e98fa6818cdf559f0610e6d88680259b36c7a2e9cbfc24b00585c
6,MOV_SENSOR,2304,1012,2304,2304,False,"[""FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.""]",243,PASS,35dc1c3caa6e98fa6818cdf559f0610e6d88680259b36c7a2e9cbfc24b00585c
6,STATIC_PLUS_LEN,2304,257,2304,2304,False,"[""FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.""]",87,PASS,35dc1c3caa6e98fa6818cdf559f0610e6d88680259b36c7a2e9cbfc24b00585c
6,STATIC_PLUS_GRAM,2304,263,2304,2304,False,"[""FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.""]",95,PASS,35dc1c3caa6e98fa6818cdf559f0610e6d88680259b36c7a2e9cbfc24b00585c
6,STATIC_PLUS_SENSOR,2304,1265,2304,2304,False,"[""FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.""]",95,PASS,35dc1c3caa6e98fa6818cdf559f0610e6d88680259b36c7a2e9cbfc24b00585c
7,STATIC,2304,253,2304,2304,False,"[""FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.""]",83,PASS,b6bafdec5d496d16a21fd56b79ee9a90b5bd8f28bbe70a189ad4bf00deaad6fa
7,MOV_LEN,2304,4,2304,2304,False,"[""FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.""]",10,PASS,b6bafdec5d496d16a21fd56b79ee9a90b5bd8f28bbe70a189ad4bf00deaad6fa
7,MOV_GRAM,2304,10,2304,2304,False,"[""FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.""]",31,PASS,b6bafdec5d496d16a21fd56b79ee9a90b5bd8f28bbe70a189ad4bf00deaad6fa
7,MOV_SENSOR,2304,1012,2304,2304,False,"[""FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.""]",255,PASS,b6bafdec5d496d16a21fd56b79ee9a90b5bd8f28bbe70a189ad4bf00deaad6fa
7,STATIC_PLUS_LEN,2304,257,2304,2304,False,"[""FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.""]",84,PASS,b6bafdec5d496d16a21fd56b79ee9a90b5bd8f28bbe70a189ad4bf00deaad6fa
